date,GDEN_Open,GDEN_High,GDEN_Low,GDEN_Close,GDEN_Volume,GDEN_Dividends,GDEN_Stock Splits
1999-01-04 00:00:00+00:00,9.5,9.5,8.125,6.8334550857543945,56100,0.0,
1999-01-05 00:00:00+00:00,8.375,10.5,8.375,8.567317962646484,167000,0.0,
1999-01-06 00:00:00+00:00,10.625,12.375,10.625,9.689228057861328,190800,0.0,
1999-01-07 00:00:00+00:00,12.0,12.0,9.125,7.64939022064209,120700,0.0,
1999-01-08 00:00:00+00:00,9.875,10.625,9.625,8.057356834411621,80700,0.0,
1999-01-11 00:00:00+00:00,9.875,10.25,9.5,8.363333702087402,404100,0.0,
1999-01-12 00:00:00+00:00,10.5,10.5,9.875,8.057356834411621,90800,0.0,
1999-01-13 00:00:00+00:00,9.5,9.875,9.5,7.853374004364014,67500,0.0,
1999-01-14 00:00:00+00:00,9.5,9.8125,9.375,7.700386047363281,48900,0.0,
1999-01-15 00:00:00+00:00,9.4375,10.0,9.4375,7.853374004364014,50000,0.0,
1999-01-19 00:00:00+00:00,9.6875,10.875,9.5625,8.210346221923828,121600,0.0,
1999-01-20 00:00:00+00:00,10.125,10.375,9.5,7.853374004364014,72700,0.0,
1999-01-21 00:00:00+00:00,9.875,10.5,9.625,8.057356834411621,69000,0.0,
1999-01-22 00:00:00+00:00,9.75,10.0,9.75,7.955366611480713,27900,0.0,
1999-01-25 00:00:00+00:00,9.75,9.875,9.5,7.853374004364014,67600,0.0,
1999-01-26 00:00:00+00:00,9.75,10.0,9.75,7.955366611480713,75600,0.0,
1999-01-27 00:00:00+00:00,9.75,10.375,9.75,8.108353614807129,39500,0.0,
1999-01-28 00:00:00+00:00,9.75,10.0,9.75,8.057356834411621,71700,0.0,
1999-01-29 00:00:00+00:00,9.75,10.0,9.625,7.904368877410889,56500,0.0,
1999-02-01 00:00:00+00:00,9.625,10.0,9.625,8.159350395202637,21200,0.0,
1999-02-02 00:00:00+00:00,9.75,10.0,9.75,8.159350395202637,34400,0.0,
1999-02-03 00:00:00+00:00,10.0,10.0625,9.875,8.057356834411621,74000,0.0,
1999-02-04 00:00:00+00:00,9.875,10.25,9.6875,8.159350395202637,95800,0.0,
1999-02-05 00:00:00+00:00,10.0,10.125,9.875,8.159350395202637,49600,0.0,
1999-02-08 00:00:00+00:00,10.0,10.125,9.75,8.057356834411621,20200,0.0,
1999-02-09 00:00:00+00:00,9.75,10.125,9.75,8.057356834411621,28200,0.0,
1999-02-10 00:00:00+00:00,9.875,10.0,9.625,8.006361961364746,14900,0.0,
1999-02-11 00:00:00+00:00,9.625,10.0,9.625,7.853374004364014,10500,0.0,
1999-02-12 00:00:00+00:00,9.625,10.0,9.625,8.057356834411621,30500,0.0,
1999-02-16 00:00:00+00:00,9.875,10.0,9.625,7.955366611480713,85000,0.0,
1999-02-17 00:00:00+00:00,9.75,9.75,9.125,7.445406436920166,20600,0.0,
1999-02-18 00:00:00+00:00,9.125,9.1875,9.0,7.343414306640625,146800,0.0,
1999-02-19 00:00:00+00:00,8.9375,9.125,8.875,7.445406436920166,36400,0.0,
1999-02-22 00:00:00+00:00,9.25,9.25,8.75,7.394410610198975,77500,0.0,
1999-02-23 00:00:00+00:00,9.0625,9.125,8.9375,7.292418956756592,48600,0.0,
1999-02-24 00:00:00+00:00,8.9375,9.0625,8.9375,7.292418956756592,17200,0.0,
1999-02-25 00:00:00+00:00,8.875,9.0625,8.875,7.343414306640625,79100,0.0,
1999-02-26 00:00:00+00:00,8.875,9.1875,8.875,7.445406436920166,72700,0.0,
1999-03-01 00:00:00+00:00,9.0,9.1875,9.0,7.496402263641357,25600,0.0,
1999-03-02 00:00:00+00:00,9.0,9.0625,9.0,7.343414306640625,36100,0.0,
1999-03-03 00:00:00+00:00,9.0,9.125,8.875,7.292418956756592,18700,0.0,
1999-03-04 00:00:00+00:00,8.9375,9.0,8.875,7.2414231300354,19800,0.0,
1999-03-05 00:00:00+00:00,8.875,8.875,8.625,7.037439346313477,30500,0.0,
1999-03-08 00:00:00+00:00,8.875,8.875,8.625,7.037439346313477,3700,0.0,
1999-03-09 00:00:00+00:00,8.625,8.625,8.375,6.8334550857543945,35100,0.0,
1999-03-10 00:00:00+00:00,8.375,8.5,8.0,6.8334550857543945,21800,0.0,
1999-03-11 00:00:00+00:00,8.4375,8.53125,8.25,6.782459735870361,9700,0.0,
1999-03-12 00:00:00+00:00,8.375,8.375,8.25,6.73146390914917,19800,0.0,
1999-03-15 00:00:00+00:00,8.375,8.4375,8.3125,6.8334550857543945,112600,0.0,
1999-03-16 00:00:00+00:00,8.375,8.625,8.375,7.037439346313477,164700,0.0,
1999-03-17 00:00:00+00:00,8.4375,8.625,8.375,6.8334550857543945,23000,0.0,
1999-03-18 00:00:00+00:00,8.375,8.5,8.25,6.8334550857543945,21300,0.0,
1999-03-19 00:00:00+00:00,8.3125,8.375,8.25,6.73146390914917,25400,0.0,
1999-03-22 00:00:00+00:00,8.25,8.28125,8.0,6.68046760559082,14200,0.0,
1999-03-23 00:00:00+00:00,8.0625,8.125,7.9375,6.4764838218688965,63100,0.0,
1999-03-24 00:00:00+00:00,7.875,8.25,7.875,6.73146390914917,983200,0.0,
1999-03-25 00:00:00+00:00,8.5,8.5,8.125,6.629471302032471,13700,0.0,
1999-03-26 00:00:00+00:00,8.125,8.25,8.125,6.629471302032471,8100,0.0,
1999-03-29 00:00:00+00:00,8.25,8.625,8.25,6.807957172393799,18800,0.0,
1999-03-30 00:00:00+00:00,8.25,8.5,8.125,6.68046760559082,53100,0.0,
1999-03-31 00:00:00+00:00,8.125,8.3125,8.125,6.68046760559082,66300,0.0,
