date,LGO_Open,LGO_High,LGO_Low,LGO_Close,LGO_Volume,LGO_Dividends,LGO_Stock Splits
2010-04-26 00:00:00+00:00,27.0,27.0,25.0,25.0,2001,,
2010-04-27 00:00:00+00:00,25.0,25.0,23.0,24.0,2070,,
2010-04-28 00:00:00+00:00,24.0,24.0,24.0,24.0,0,,
2010-04-29 00:00:00+00:00,22.0,23.0,22.0,22.0,2040,,
2010-04-30 00:00:00+00:00,21.0,21.0,21.0,21.0,75,,
2010-05-03 00:00:00+00:00,21.0,21.0,21.0,21.0,0,,
2010-05-04 00:00:00+00:00,20.0,21.0,20.0,21.0,1010,,
2010-05-05 00:00:00+00:00,19.0,22.0,19.0,22.0,624,,
2010-05-06 00:00:00+00:00,22.0,22.0,22.0,22.0,0,,
2010-05-07 00:00:00+00:00,20.0,20.0,20.0,20.0,1,,
2010-05-10 00:00:00+00:00,20.0,21.0,20.0,21.0,702,,
2010-05-11 00:00:00+00:00,21.0,21.0,21.0,21.0,100,,
2010-05-12 00:00:00+00:00,22.0,22.0,21.0,21.0,255,,
2010-05-13 00:00:00+00:00,21.0,21.0,21.0,21.0,0,,
2010-05-14 00:00:00+00:00,19.0,19.0,19.0,19.0,16,,
2010-05-17 00:00:00+00:00,19.0,19.0,19.0,19.0,10,,
2010-05-18 00:00:00+00:00,19.0,19.0,19.0,19.0,0,,
2010-05-19 00:00:00+00:00,16.0,16.0,16.0,16.0,690,,
2010-05-20 00:00:00+00:00,17.0,17.0,16.0,17.0,4032,,
2010-05-21 00:00:00+00:00,16.0,17.0,16.0,17.0,750,,
2010-05-24 00:00:00+00:00,17.0,17.0,17.0,17.0,0,,
2010-05-25 00:00:00+00:00,17.0,17.0,17.0,17.0,0,,
2010-05-26 00:00:00+00:00,14.0,14.0,14.0,14.0,70,,
2010-05-27 00:00:00+00:00,16.0,16.0,16.0,16.0,284,,
2010-05-28 00:00:00+00:00,15.0,15.0,15.0,15.0,620,,
2010-06-01 00:00:00+00:00,16.0,18.0,16.0,17.0,1090,,
2010-06-02 00:00:00+00:00,17.0,17.0,17.0,17.0,0,,
2010-06-03 00:00:00+00:00,18.0,18.0,17.0,17.0,90,,
2010-06-04 00:00:00+00:00,17.0,17.0,17.0,17.0,0,,
2010-06-07 00:00:00+00:00,17.0,17.0,16.0,16.0,854,,
2010-06-08 00:00:00+00:00,18.0,18.0,17.0,17.0,1040,,
2010-06-09 00:00:00+00:00,17.0,17.0,17.0,17.0,310,,
2010-06-10 00:00:00+00:00,17.0,17.0,17.0,17.0,0,,
2010-06-11 00:00:00+00:00,18.0,18.0,18.0,18.0,1020,,
2010-06-14 00:00:00+00:00,16.0,16.0,16.0,16.0,100,,
2010-06-15 00:00:00+00:00,16.0,16.0,16.0,16.0,0,,
2010-06-16 00:00:00+00:00,17.0,18.0,17.0,18.0,1114,,
2010-06-17 00:00:00+00:00,18.0,18.0,18.0,18.0,2000,,
2010-06-18 00:00:00+00:00,17.0,17.0,17.0,17.0,50,,
2010-06-21 00:00:00+00:00,20.0,20.0,20.0,20.0,30,,
2010-06-22 00:00:00+00:00,19.0,20.0,18.0,18.0,378,,
2010-06-23 00:00:00+00:00,17.0,19.0,17.0,18.0,572,,
2010-06-24 00:00:00+00:00,18.0,18.0,18.0,18.0,0,,
2010-06-25 00:00:00+00:00,18.0,18.0,18.0,18.0,0,,
2010-06-28 00:00:00+00:00,18.0,18.0,18.0,18.0,0,,
2010-06-29 00:00:00+00:00,17.0,17.0,17.0,17.0,470,,
2010-06-30 00:00:00+00:00,16.0,16.0,15.0,15.0,2570,,
2010-07-01 00:00:00+00:00,15.0,15.0,15.0,15.0,0,,
2010-07-02 00:00:00+00:00,15.0,16.0,14.0,16.0,320,,
2010-07-06 00:00:00+00:00,16.0,16.0,16.0,16.0,10,,
2010-07-07 00:00:00+00:00,12.0,15.0,12.0,15.0,298,,
2010-07-08 00:00:00+00:00,15.0,15.0,15.0,15.0,0,,
2010-07-09 00:00:00+00:00,7.0,7.0,7.0,7.0,30,,
2010-07-12 00:00:00+00:00,15.0,15.0,15.0,15.0,500,,
2010-07-13 00:00:00+00:00,15.0,15.0,15.0,15.0,0,,
2010-07-14 00:00:00+00:00,15.0,15.0,15.0,15.0,0,,
2010-07-15 00:00:00+00:00,15.0,15.0,15.0,15.0,0,,
2010-07-16 00:00:00+00:00,16.0,16.0,15.0,15.0,520,,
