date,EVC_Open,EVC_High,EVC_Low,EVC_Close,EVC_Volume,EVC_Dividends,EVC_Stock Splits
2000-08-02 00:00:00+00:00,18.625,19.6875,18.5,11.169256210327148,25829900,0.0,
2000-08-03 00:00:00+00:00,18.0,19.0,18.0,10.728363990783691,3285700,0.0,
2000-08-04 00:00:00+00:00,18.75,19.5,18.25,11.46318244934082,2037000,0.0,
2000-08-07 00:00:00+00:00,19.5,19.9375,19.1875,11.426444053649902,641900,0.0,
2000-08-08 00:00:00+00:00,19.5,19.625,19.4375,11.46318244934082,817800,0.0,
2000-08-09 00:00:00+00:00,19.5,19.75,16.75,10.103769302368164,7149700,0.0,
2000-08-10 00:00:00+00:00,17.0,17.0625,15.1875,9.40569019317627,2597300,0.0,
2000-08-11 00:00:00+00:00,16.0,18.125,15.9375,10.654885292053224,1083000,0.0,
2000-08-14 00:00:00+00:00,18.25,18.5,17.9375,10.87533187866211,381500,0.0,
2000-08-15 00:00:00+00:00,18.5,18.875,18.5,11.02229118347168,293900,0.0,
2000-08-16 00:00:00+00:00,18.75,19.1875,18.75,11.242740631103516,390200,0.0,
2000-08-17 00:00:00+00:00,19.375,20.3125,19.3125,11.426444053649902,889200,0.0,
2000-08-18 00:00:00+00:00,19.625,20.0625,19.125,11.75711441040039,378600,0.0,
2000-08-21 00:00:00+00:00,20.0,20.5,20.0,11.977558135986328,507700,0.0,
2000-08-22 00:00:00+00:00,20.375,20.5625,19.875,11.683631896972656,614100,0.0,
2000-08-23 00:00:00+00:00,19.6875,19.75,19.1875,11.426444053649902,145100,0.0,
2000-08-24 00:00:00+00:00,19.5625,19.75,19.375,11.426444053649902,160200,0.0,
2000-08-25 00:00:00+00:00,19.375,19.5,19.375,11.426444053649902,100000,0.0,
2000-08-28 00:00:00+00:00,19.3125,19.875,19.125,11.610146522521973,336100,0.0,
2000-08-29 00:00:00+00:00,19.75,19.75,19.25,11.389703750610352,254300,0.0,
2000-08-30 00:00:00+00:00,19.375,19.625,19.3125,11.49992561340332,441200,0.0,
2000-08-31 00:00:00+00:00,19.5,19.875,19.3125,11.646891593933104,873700,0.0,
2000-09-01 00:00:00+00:00,19.875,19.875,19.5,11.536667823791504,199700,0.0,
2000-09-05 00:00:00+00:00,19.25,19.375,18.75,11.059036254882812,892700,0.0,
2000-09-06 00:00:00+00:00,18.6875,18.8125,17.875,10.58139991760254,343500,0.0,
2000-09-07 00:00:00+00:00,18.0,18.0,17.0,10.21399211883545,571300,0.0,
2000-09-08 00:00:00+00:00,17.3125,17.5,16.6875,9.846583366394045,564900,0.0,
2000-09-11 00:00:00+00:00,16.625,16.625,15.75,9.589394569396973,1062100,0.0,
2000-09-12 00:00:00+00:00,16.5,18.5,16.5,10.69162368774414,332100,0.0,
2000-09-13 00:00:00+00:00,18.25,18.25,17.75,10.618144035339355,304900,0.0,
2000-09-14 00:00:00+00:00,18.0625,18.0625,17.5,10.397697448730469,188500,0.0,
2000-09-15 00:00:00+00:00,17.625,17.625,17.25,10.287474632263184,481700,0.0,
2000-09-18 00:00:00+00:00,17.5,17.5,17.0625,10.287474632263184,200800,0.0,
2000-09-19 00:00:00+00:00,17.375,17.375,17.0,9.993545532226562,743900,0.0,
2000-09-20 00:00:00+00:00,17.0,17.0625,17.0,10.030285835266112,40900,0.0,
2000-09-21 00:00:00+00:00,17.0,17.0625,17.0,10.030285835266112,47500,0.0,
2000-09-22 00:00:00+00:00,17.0625,17.0625,17.0,9.993545532226562,620400,0.0,
2000-09-25 00:00:00+00:00,17.0,17.125,16.5625,9.736356735229492,255900,0.0,
2000-09-26 00:00:00+00:00,16.5625,16.5625,16.0625,9.552654266357422,982500,0.0,
2000-09-27 00:00:00+00:00,16.375,17.125,16.0625,9.883323669433594,208600,0.0,
2000-09-28 00:00:00+00:00,16.875,17.125,16.375,9.993545532226562,161600,0.0,
2000-09-29 00:00:00+00:00,17.0,17.625,17.0,10.21399211883545,159700,0.0,
2000-10-02 00:00:00+00:00,17.375,17.625,17.25,10.140508651733398,14300,0.0,
2000-10-03 00:00:00+00:00,17.1875,17.25,17.0,9.993545532226562,29700,0.0,
2000-10-04 00:00:00+00:00,17.0,17.0,16.5,9.736356735229492,48700,0.0,
2000-10-05 00:00:00+00:00,16.5625,16.625,16.375,9.699618339538574,361700,0.0,
