date,DVN_Open,DVN_High,DVN_Low,DVN_Close,DVN_Volume,DVN_Dividends,DVN_Stock Splits
1985-07-22 00:00:00+00:00,0.0,5.625,5.25,3.3977291584014893,59400,0.0,
1985-07-23 00:00:00+00:00,0.0,5.8125,5.5625,3.3977291584014893,20800,0.0,
1985-07-24 00:00:00+00:00,0.0,5.5625,5.375,3.3222224712371826,32600,0.0,
1985-07-25 00:00:00+00:00,0.0,5.5625,5.5,3.359976530075073,16600,0.0,
1985-07-26 00:00:00+00:00,0.0,5.5625,5.4375,3.3222224712371826,10400,0.0,
1985-07-29 00:00:00+00:00,0.0,5.5,5.3125,3.284472703933716,25000,0.0,
1985-07-30 00:00:00+00:00,0.0,5.4375,5.375,3.246718168258667,10400,0.0,
1985-07-31 00:00:00+00:00,0.0,5.375,5.3125,3.246718168258667,12800,0.0,
1985-08-01 00:00:00+00:00,0.0,5.375,5.1875,3.246718168258667,31800,0.0,
1985-08-02 00:00:00+00:00,0.0,5.3125,5.1875,3.1712121963500977,13000,0.0,
1985-08-05 00:00:00+00:00,0.0,5.25,5.1875,3.1712121963500977,1200,0.0,
1985-08-06 00:00:00+00:00,0.0,5.25,5.125,3.1334614753723145,28600,0.0,
1985-08-07 00:00:00+00:00,5.1875,5.1875,5.1875,3.1334614753723145,0,0.0,
1985-08-08 00:00:00+00:00,0.0,5.1875,5.125,3.0957069396972656,600,0.0,
1985-08-09 00:00:00+00:00,0.0,5.1875,5.1875,3.1334614753723145,400,0.0,
1985-08-12 00:00:00+00:00,0.0,5.0625,4.9375,3.0579559803009038,3800,0.0,
1985-08-13 00:00:00+00:00,0.0,5.125,5.0625,3.0957069396972656,4400,0.0,
1985-08-14 00:00:00+00:00,0.0,5.0625,5.0625,3.0579559803009038,1400,0.0,
1985-08-15 00:00:00+00:00,0.0,5.0,5.0,3.02020263671875,1600,0.0,
1985-08-16 00:00:00+00:00,0.0,4.9375,4.9375,2.9824531078338623,800,0.0,
1985-08-19 00:00:00+00:00,0.0,4.875,4.875,2.944697856903076,5200,0.0,
1985-08-20 00:00:00+00:00,0.0,4.9375,4.8125,2.9824531078338623,3000,0.0,
1985-08-21 00:00:00+00:00,0.0,4.875,4.8125,2.906944513320923,3400,0.0,
1985-08-22 00:00:00+00:00,0.0,4.875,4.75,2.906944513320923,1600,0.0,
1985-08-23 00:00:00+00:00,0.0,4.875,4.8125,2.906944513320923,21800,0.0,
1985-08-26 00:00:00+00:00,4.8125,4.8125,4.8125,2.906944513320923,0,0.0,
1985-08-27 00:00:00+00:00,0.0,4.75,4.625,2.793688535690308,9200,0.0,
1985-08-28 00:00:00+00:00,0.0,4.6875,4.5625,2.8314402103424072,12400,0.0,
1985-08-29 00:00:00+00:00,0.0,4.875,4.6875,2.944697856903076,7200,0.0,
1985-08-30 00:00:00+00:00,0.0,5.0,4.9375,3.02020263671875,8400,0.0,
1985-09-03 00:00:00+00:00,0.0,5.0625,5.0,3.02020263671875,10200,0.0,
1985-09-04 00:00:00+00:00,0.0,4.9375,4.9375,2.9824531078338623,800,0.0,
1985-09-05 00:00:00+00:00,0.0,4.9375,4.8125,2.9824531078338623,11400,0.0,
1985-09-06 00:00:00+00:00,0.0,5.0,4.9375,3.02020263671875,9800,0.0,
1985-09-09 00:00:00+00:00,0.0,4.9375,4.9375,2.9824531078338623,200,0.0,
