date,SOWG_Open,SOWG_High,SOWG_Low,SOWG_Close,SOWG_Volume,SOWG_Dividends,SOWG_Stock Splits
2010-07-01 00:00:00+00:00,45.0,150.0,45.0,60.0,58,,
2010-07-02 00:00:00+00:00,63.0,147.0,63.0,120.0,171,,
2010-07-06 00:00:00+00:00,66.0,120.0,60.0,66.0,543,,
2010-07-07 00:00:00+00:00,66.0,84.0,66.0,84.0,976,,
2010-07-08 00:00:00+00:00,90.0,90.0,75.0,78.0,569,,
2010-07-09 00:00:00+00:00,78.0,90.0,78.0,81.0,46,,
2010-07-12 00:00:00+00:00,81.0,87.0,75.0,87.0,1108,,
2010-07-13 00:00:00+00:00,75.0,93.0,75.0,75.0,1867,,
2010-07-14 00:00:00+00:00,78.0,78.0,78.0,78.0,63,,
2010-07-15 00:00:00+00:00,81.0,81.0,78.0,78.0,1610,,
2010-07-16 00:00:00+00:00,81.0,81.0,78.0,81.0,195,,
2010-07-19 00:00:00+00:00,81.0,81.0,78.0,78.0,91,,
2010-07-20 00:00:00+00:00,78.0,87.0,75.0,75.0,316,,
2010-07-21 00:00:00+00:00,87.0,87.0,75.0,75.0,218,,
2010-07-22 00:00:00+00:00,75.0,75.0,75.0,75.0,252,,
2010-07-23 00:00:00+00:00,75.0,75.0,75.0,75.0,3,,
2010-07-26 00:00:00+00:00,75.0,81.0,75.0,78.0,1843,,
2010-07-27 00:00:00+00:00,75.0,81.0,75.0,78.0,147,,
2010-07-28 00:00:00+00:00,75.0,81.0,75.0,78.0,215,,
2010-07-29 00:00:00+00:00,78.0,78.0,78.0,78.0,41,,
2010-07-30 00:00:00+00:00,78.0,78.0,75.0,78.0,120,,
2010-08-02 00:00:00+00:00,78.0,81.0,78.0,81.0,165,,
2010-08-03 00:00:00+00:00,78.0,81.0,78.0,78.0,54,,
2010-08-04 00:00:00+00:00,78.0,81.0,78.0,81.0,230,,
2010-08-05 00:00:00+00:00,78.0,78.0,78.0,78.0,74,,
2010-08-06 00:00:00+00:00,78.0,81.0,66.0,75.0,171,,
2010-08-09 00:00:00+00:00,75.0,78.0,75.0,78.0,63,,
2010-08-10 00:00:00+00:00,69.0,78.0,69.0,75.0,136,,
2010-08-11 00:00:00+00:00,72.0,72.0,72.0,72.0,40,,
2010-08-12 00:00:00+00:00,72.0,72.0,72.0,72.0,22,,
2010-08-13 00:00:00+00:00,72.0,75.0,72.0,72.0,151,,
2010-08-16 00:00:00+00:00,69.0,72.0,69.0,72.0,24,,
2010-08-17 00:00:00+00:00,72.0,75.0,72.0,72.0,33,,
2010-08-18 00:00:00+00:00,72.0,75.0,72.0,75.0,123,,
2010-08-19 00:00:00+00:00,72.0,75.0,60.0,72.0,425,,
2010-08-20 00:00:00+00:00,72.0,72.0,72.0,72.0,110,,
2010-08-23 00:00:00+00:00,72.0,75.0,72.0,75.0,93,,
2010-08-24 00:00:00+00:00,75.0,75.0,69.0,69.0,97,,
2010-08-25 00:00:00+00:00,72.0,78.0,72.0,72.0,114,,
2010-08-26 00:00:00+00:00,72.0,75.0,66.0,66.0,115,,
2010-08-27 00:00:00+00:00,69.0,72.0,69.0,72.0,8,,
2010-08-30 00:00:00+00:00,81.0,81.0,72.0,72.0,90,,
2010-08-31 00:00:00+00:00,75.0,81.0,75.0,81.0,69,,
2010-09-01 00:00:00+00:00,81.0,81.0,75.0,75.0,45,,
2010-09-02 00:00:00+00:00,75.0,84.0,75.0,75.0,73,,
2010-09-03 00:00:00+00:00,75.0,78.0,75.0,78.0,5,,
2010-09-07 00:00:00+00:00,75.0,90.0,75.0,90.0,116,,
2010-09-08 00:00:00+00:00,78.0,78.0,78.0,78.0,8,,
2010-09-09 00:00:00+00:00,78.0,78.0,78.0,78.0,12,,
