date,MATW_Open,MATW_High,MATW_Low,MATW_Close,MATW_Volume,MATW_Dividends,MATW_Stock Splits
1994-07-20 00:00:00+00:00,4.0,4.0,3.5625,2.5351755619049072,594400,0.0,
1994-07-21 00:00:00+00:00,3.6875,3.75,3.5625,2.611667394638061,122800,0.0,
1994-07-22 00:00:00+00:00,3.75,3.8125,3.6875,2.578885555267334,122800,0.0,
1994-07-25 00:00:00+00:00,3.8125,3.8125,3.6875,2.6225950717926025,55600,0.0,
1994-07-26 00:00:00+00:00,3.875,3.875,3.6875,2.578885555267334,28000,0.0,
1994-07-27 00:00:00+00:00,3.875,4.0,3.75,2.666304588317871,92400,0.0,
1994-07-28 00:00:00+00:00,4.0,4.0625,3.8125,2.7100155353546143,23200,0.0,
1994-07-29 00:00:00+00:00,4.0625,4.0625,3.8125,2.7100155353546143,36000,0.0,
1994-08-01 00:00:00+00:00,4.0,4.0625,3.8125,2.841144323348999,51200,0.0,
1994-08-02 00:00:00+00:00,4.0625,4.0625,3.875,2.841144323348999,11200,0.0,
1994-08-03 00:00:00+00:00,4.0625,4.125,3.875,2.7537262439727783,106400,0.0,
1994-08-04 00:00:00+00:00,4.0625,4.0625,3.9375,2.7537262439727783,79600,0.0,
1994-08-05 00:00:00+00:00,4.0,4.0625,3.875,2.7100155353546143,12800,0.0,
1994-08-08 00:00:00+00:00,4.0625,4.0625,3.875,2.7100155353546143,22400,0.0,
1994-08-09 00:00:00+00:00,3.875,4.0,3.875,2.7974348068237305,14800,0.0,
1994-08-10 00:00:00+00:00,4.0,4.0,3.75,2.6225950717926025,116800,0.0,
1994-08-11 00:00:00+00:00,3.75,4.0,3.75,2.666304588317871,23200,0.0,
1994-08-12 00:00:00+00:00,3.9375,3.9375,3.75,2.7537262439727783,20400,0.0,
1994-08-15 00:00:00+00:00,3.9375,3.9375,3.75,2.6444499492645264,13200,0.0,
1994-08-16 00:00:00+00:00,3.9375,3.9375,3.75,2.6225950717926025,9200,0.0,
1994-08-17 00:00:00+00:00,3.78125,3.9375,3.75,2.7537262439727783,23600,0.0,
1994-08-18 00:00:00+00:00,3.9375,3.9375,3.8125,2.666304588317871,5600,0.0,
1994-08-19 00:00:00+00:00,3.8125,4.0,3.8125,2.7100155353546143,2800,0.0,
1994-08-22 00:00:00+00:00,3.75,4.0,3.75,2.7100155353546143,38800,0.0,
1994-08-23 00:00:00+00:00,3.75,4.0,3.75,2.6225950717926025,50400,0.0,
1994-08-24 00:00:00+00:00,4.0,4.03125,3.75,2.819290399551392,124000,0.0,
1994-08-25 00:00:00+00:00,3.9375,4.125,3.9375,2.884854555130005,5600,0.0,
1994-08-26 00:00:00+00:00,3.9375,4.125,3.9375,2.7537262439727783,10800,0.0,
1994-08-29 00:00:00+00:00,4.0625,4.0625,3.875,2.841144323348999,27200,0.0,
1994-08-30 00:00:00+00:00,4.0625,4.0625,3.8125,2.666304588317871,38800,0.0,
1994-08-31 00:00:00+00:00,4.0,4.0,3.875,2.7537262439727783,47600,0.0,
