date,USIO_Open,USIO_High,USIO_Low,USIO_Close,USIO_Volume,USIO_Dividends,USIO_Stock Splits
1999-02-22 00:00:00+00:00,104.53125,106.875,104.53125,105.46875,13127,,
1999-02-23 00:00:00+00:00,105.9375,105.9375,104.0625,104.0625,6027,,
1999-02-24 00:00:00+00:00,105.0,105.0,104.0625,105.0,2147,,
1999-02-25 00:00:00+00:00,105.0,105.0,104.0625,105.0,2393,,
1999-02-26 00:00:00+00:00,105.0,105.0,101.25,103.125,5700,,
1999-03-01 00:00:00+00:00,104.0625,104.0625,101.25,103.125,3300,,
1999-03-02 00:00:00+00:00,101.25,104.0625,101.25,104.0625,6760,,
1999-03-03 00:00:00+00:00,102.1875,104.0625,102.1875,103.125,2600,,
1999-03-04 00:00:00+00:00,104.0625,105.0,95.625,104.0625,3940,,
1999-03-05 00:00:00+00:00,104.0625,104.0625,99.375,101.25,3707,,
1999-03-08 00:00:00+00:00,101.25,101.25,90.9375,93.75,7013,,
1999-03-09 00:00:00+00:00,96.5625,96.5625,91.875,93.28125,5653,,
1999-03-10 00:00:00+00:00,94.6875,98.4375,92.8125,97.96875,12153,,
1999-03-11 00:00:00+00:00,98.4375,99.375,93.28125,98.4375,8820,,
1999-03-12 00:00:00+00:00,98.4375,99.375,97.5,99.375,5433,,
1999-03-15 00:00:00+00:00,97.5,103.125,97.5,102.1875,7460,,
1999-03-16 00:00:00+00:00,103.125,105.46875,102.1875,105.46875,6640,,
1999-03-17 00:00:00+00:00,105.0,106.875,104.53125,106.875,7313,,
1999-03-18 00:00:00+00:00,106.875,107.34375,105.0,107.34375,7680,,
1999-03-19 00:00:00+00:00,107.8125,107.8125,106.875,107.8125,4860,,
1999-03-22 00:00:00+00:00,107.8125,107.8125,105.9375,105.9375,7920,,
1999-03-23 00:00:00+00:00,105.9375,107.8125,104.0625,105.9375,5320,,
1999-03-24 00:00:00+00:00,104.0625,105.9375,102.1875,102.1875,2547,,
1999-03-25 00:00:00+00:00,102.1875,104.53125,102.1875,104.53125,1500,,
1999-03-26 00:00:00+00:00,104.53125,105.0,102.1875,105.0,4280,,
1999-03-29 00:00:00+00:00,105.0,105.46875,102.1875,104.0625,15867,,
1999-03-30 00:00:00+00:00,104.0625,104.0625,101.25,103.125,3387,,
1999-03-31 00:00:00+00:00,101.25,103.125,101.25,101.25,6133,,
1999-04-01 00:00:00+00:00,98.4375,98.4375,90.0,90.0,13547,,
1999-04-05 00:00:00+00:00,90.0,93.75,80.625,80.625,7880,,
1999-04-06 00:00:00+00:00,82.96875,82.96875,76.875,77.8125,18647,,
1999-04-07 00:00:00+00:00,76.875,78.75,72.65625,73.125,3080,,
1999-04-08 00:00:00+00:00,75.0,80.15625,71.25,79.6875,8973,,
1999-04-09 00:00:00+00:00,78.75,120.0,78.75,116.25,30660,,
1999-04-12 00:00:00+00:00,118.125,120.0,111.09375,116.25,22820,,
1999-04-13 00:00:00+00:00,116.25,135.0,115.78125,133.125,42733,,
1999-04-14 00:00:00+00:00,136.875,151.875,132.1875,133.125,80787,,
1999-04-15 00:00:00+00:00,134.0625,134.0625,123.75,126.5625,14620,,
1999-04-16 00:00:00+00:00,123.28125,125.625,119.0625,121.875,8780,,
1999-04-19 00:00:00+00:00,121.875,121.875,106.875,108.75,10813,,
1999-04-20 00:00:00+00:00,106.875,108.75,104.0625,105.9375,5773,,
1999-04-21 00:00:00+00:00,105.9375,105.9375,97.5,101.25,11987,,
1999-04-22 00:00:00+00:00,103.125,105.0,102.1875,102.1875,5813,,
1999-04-23 00:00:00+00:00,104.53125,106.875,102.1875,106.875,6760,,
1999-04-26 00:00:00+00:00,105.9375,108.28125,101.25,104.0625,8513,,
1999-04-27 00:00:00+00:00,105.0,105.9375,102.1875,103.125,2180,,
1999-04-28 00:00:00+00:00,106.875,108.75,103.125,105.9375,7793,,
1999-04-29 00:00:00+00:00,108.75,108.75,103.125,105.9375,8467,,
1999-04-30 00:00:00+00:00,108.75,108.75,103.125,104.53125,26033,,
1999-05-03 00:00:00+00:00,106.875,106.875,103.125,105.0,5967,,
1999-05-04 00:00:00+00:00,105.9375,105.9375,99.375,101.71875,5620,,
1999-05-05 00:00:00+00:00,103.125,103.125,97.5,102.1875,4840,,
1999-05-06 00:00:00+00:00,103.125,103.125,96.5625,97.03125,5440,,
1999-05-07 00:00:00+00:00,99.375,101.25,97.03125,97.5,3080,,
1999-05-10 00:00:00+00:00,100.3125,100.3125,95.625,96.5625,3713,,
1999-05-11 00:00:00+00:00,98.4375,103.125,96.5625,101.25,3920,,
1999-05-12 00:00:00+00:00,100.3125,100.3125,96.5625,96.5625,3507,,
1999-05-13 00:00:00+00:00,96.5625,99.375,96.5625,96.5625,1173,,
1999-05-14 00:00:00+00:00,99.375,99.375,95.625,97.5,2280,,
1999-05-17 00:00:00+00:00,99.375,99.375,93.75,93.75,2853,,
1999-05-18 00:00:00+00:00,91.875,93.75,91.875,93.75,2527,,
1999-05-19 00:00:00+00:00,99.375,99.375,90.0,92.8125,4120,,
1999-05-20 00:00:00+00:00,92.8125,93.75,87.1875,90.0,7727,,
1999-05-21 00:00:00+00:00,90.9375,90.9375,86.25,86.25,2040,,
1999-05-24 00:00:00+00:00,86.25,90.9375,83.4375,84.375,2833,,
1999-05-25 00:00:00+00:00,86.25,86.25,76.875,76.875,4287,,
