date,SIFY_Open,SIFY_High,SIFY_Low,SIFY_Close,SIFY_Volume,SIFY_Dividends,SIFY_Stock Splits
1999-10-19 00:00:00+00:00,45.5,47.0625,30.0,32.87847900390625,6362600,0.0,
1999-10-20 00:00:00+00:00,39.5625,53.0,38.25,46.24982833862305,3850900,0.0,
1999-10-21 00:00:00+00:00,47.3125,49.75,42.0,41.67694854736328,1528300,0.0,
1999-10-22 00:00:00+00:00,46.0,46.625,39.875,37.16194534301758,950000,0.0,
1999-10-25 00:00:00+00:00,40.0,40.125,36.0,37.04616928100586,518300,0.0,
1999-10-26 00:00:00+00:00,39.625,44.5625,38.0,38.08810043334961,804800,0.0,
1999-10-27 00:00:00+00:00,43.375,43.375,39.5,36.6409797668457,328800,0.0,
1999-10-28 00:00:00+00:00,40.5,42.5,38.0,35.71482849121094,383100,0.0,
1999-10-29 00:00:00+00:00,40.25,40.375,37.125,35.88848114013672,460700,0.0,
1999-11-01 00:00:00+00:00,39.0,43.0,38.5,38.66694641113281,634700,0.0,
1999-11-02 00:00:00+00:00,43.875,44.875,40.5,37.97232818603516,439700,0.0,
1999-11-03 00:00:00+00:00,42.375,42.5,39.4375,37.04616928100586,315200,0.0,
1999-11-04 00:00:00+00:00,40.5625,40.6875,38.25,36.12001800537109,286900,0.0,
1999-11-05 00:00:00+00:00,40.75,41.25,39.25,37.16194534301758,336800,0.0,
1999-11-08 00:00:00+00:00,40.0,42.25,40.0,37.97232818603516,235500,0.0,
1999-11-09 00:00:00+00:00,41.03125,44.0,39.0,39.82463455200195,480500,0.0,
1999-11-10 00:00:00+00:00,42.1875,53.5,41.625,48.27579498291016,1509800,0.0,
1999-11-11 00:00:00+00:00,56.0,62.0,55.0,53.83272171020508,1012600,0.0,
1999-11-12 00:00:00+00:00,59.375,60.0,50.25,52.79079818725586,739600,0.0,
1999-11-15 00:00:00+00:00,60.0,60.59375,55.375,55.10618209838867,301500,0.0,
1999-11-16 00:00:00+00:00,61.875,61.875,57.0,54.87464141845703,359500,0.0,
1999-11-17 00:00:00+00:00,60.0,60.125,57.5,54.41156768798828,273900,0.0,
1999-11-18 00:00:00+00:00,59.875,59.9375,54.75,51.17002487182617,257600,0.0,
1999-11-19 00:00:00+00:00,56.0,60.625,55.5,55.56925582885742,377900,0.0,
1999-11-22 00:00:00+00:00,63.5,77.25,63.375,69.4615707397461,1023200,0.0,
1999-11-23 00:00:00+00:00,81.0,81.125,70.375,68.18811798095703,726000,0.0,
1999-11-24 00:00:00+00:00,73.0,83.5,71.75,73.62926483154297,497500,0.0,
1999-11-26 00:00:00+00:00,90.0,106.375,85.5,97.7092742919922,636900,0.0,
1999-11-29 00:00:00+00:00,106.125,151.75,100.875,127.57775115966795,1206000,0.0,
1999-11-30 00:00:00+00:00,131.0,133.375,110.75,108.76525115966795,1154800,0.0,
1999-12-01 00:00:00+00:00,116.1875,121.9375,105.5,100.4877471923828,785700,0.0,
1999-12-02 00:00:00+00:00,111.125,122.0,111.0,106.5656280517578,490900,0.0,
1999-12-03 00:00:00+00:00,122.9375,128.875,120.0,113.1065902709961,537000,0.0,
1999-12-06 00:00:00+00:00,129.0625,137.25,123.0,125.49391174316406,524100,0.0,
1999-12-07 00:00:00+00:00,142.0,159.5,141.375,145.40623474121094,739700,0.0,
1999-12-08 00:00:00+00:00,162.625,170.0,148.375,140.31239318847656,578600,0.0,
1999-12-09 00:00:00+00:00,158.75,162.0,135.0,135.21852111816406,424800,0.0,
1999-12-10 00:00:00+00:00,166.25,168.0,155.125,152.93121337890625,504300,0.0,
1999-12-13 00:00:00+00:00,170.0,170.0,158.0,150.96316528320312,219800,0.0,
1999-12-14 00:00:00+00:00,160.0,160.125,135.0,126.47795104980467,563900,0.0,
1999-12-15 00:00:00+00:00,131.875,135.0,116.0,112.64351654052734,693200,0.0,
1999-12-16 00:00:00+00:00,129.875,146.0,129.625,134.2923583984375,619600,0.0,
1999-12-17 00:00:00+00:00,143.0,147.0,135.0,134.2923583984375,269200,0.0,
1999-12-20 00:00:00+00:00,156.0,166.0,152.5,151.77354431152344,474500,0.0,
1999-12-21 00:00:00+00:00,169.0,175.0,152.125,154.95718383789062,523900,0.0,
1999-12-22 00:00:00+00:00,168.5,169.0,157.0,150.96316528320312,162200,0.0,
1999-12-23 00:00:00+00:00,168.5,169.0,157.0,148.3004608154297,109100,0.0,
1999-12-27 00:00:00+00:00,158.9375,162.125,140.0,138.0548858642578,225100,0.0,
1999-12-28 00:00:00+00:00,159.0,160.5,148.0,138.9231414794922,120900,0.0,
1999-12-29 00:00:00+00:00,152.5,153.0,148.0,138.9231414794922,58500,0.0,
1999-12-30 00:00:00+00:00,149.5,150.0,141.0,131.513916015625,125800,0.0,
1999-12-31 00:00:00+00:00,143.0,158.75,140.125,143.55392456054688,101000,0.0,
2000-01-03 00:00:00+00:00,168.0,201.625,161.0,185.2308654785156,610100,0.0,
2000-01-04 00:00:00+00:00,194.0,245.0,180.0,205.60626220703125,937600,0.0,
2000-01-05 00:00:00+00:00,220.5,220.5,187.625,180.60009765625,849900,0.0,
2000-01-06 00:00:00+00:00,199.0,200.0,180.0,169.4862518310547,447100,0.0,
2000-01-07 00:00:00+00:00,183.5,200.0,180.0,184.246826171875,344700,0.0,
2000-01-10 00:00:00+00:00,216.0,234.0,197.0,185.6939392089844,698175,0.0,
2000-01-11 00:00:00+00:00,197.0,197.0,180.0,169.4862518310547,466350,0.0,
2000-01-12 00:00:00+00:00,187.75,194.5,180.25,174.580078125,198200,0.0,
2000-01-13 00:00:00+00:00,194.5,195.5,176.0,167.1708526611328,178475,0.0,
2000-01-14 00:00:00+00:00,191.0,191.5,177.0,170.4123992919922,165450,0.0,
2000-01-18 00:00:00+00:00,186.25,188.0,172.0,161.15084838867188,171875,0.0,
2000-01-19 00:00:00+00:00,174.5,175.75,160.0,152.120849609375,213900,0.0,
2000-01-20 00:00:00+00:00,166.875,189.875,165.75,172.0331573486328,274775,0.0,
2000-01-21 00:00:00+00:00,184.0,185.75,169.75,158.14085388183594,154450,0.0,
2000-01-24 00:00:00+00:00,171.5,174.0,155.0,144.01699829101562,314025,0.0,
2000-01-25 00:00:00+00:00,159.25,159.5,140.0,139.38623046875,304025,0.0,
2000-01-26 00:00:00+00:00,151.0,153.0,144.25,137.07083129882812,93750,0.0,
2000-01-27 00:00:00+00:00,148.0,168.0,148.0,154.66778564453125,299475,0.0,
2000-01-28 00:00:00+00:00,167.75,172.5,148.0,144.71160888671875,202650,0.0,
2000-01-31 00:00:00+00:00,149.0,156.5,144.5,142.62777709960938,117275,0.0,
2000-02-01 00:00:00+00:00,158.0,175.0,158.0,160.9193115234375,253750,0.0,
2000-02-02 00:00:00+00:00,173.75,195.5,173.5,175.04318237304688,322525,0.0,
2000-02-03 00:00:00+00:00,197.5,200.5,193.0,180.1370086669922,194825,0.0,
2000-02-04 00:00:00+00:00,184.0,194.0,179.125,173.88548278808594,189300,0.0,
2000-02-07 00:00:00+00:00,189.0,200.0,184.0,185.2308654785156,181025,0.0,
2000-02-08 00:00:00+00:00,200.0,220.0,199.5,196.80780029296875,309475,0.0,
2000-02-09 00:00:00+00:00,219.0,239.0,213.0,217.64627075195312,320400,0.0,
2000-02-10 00:00:00+00:00,239.75,326.0,239.75,277.6147766113281,775875,0.0,
2000-02-11 00:00:00+00:00,319.5,413.5,308.0,351.93865966796875,1438775,0.0,
2000-02-14 00:00:00+00:00,383.0,393.0,296.0,295.6747741699219,903975,0.0,
2000-02-15 00:00:00+00:00,292.0,305.5,266.25,251.9139404296875,564475,0.0,
2000-02-16 00:00:00+00:00,278.25,344.0,276.0,307.4832458496094,709025,0.0,
