date,RTO_Open,RTO_High,RTO_Low,RTO_Close,RTO_Volume,RTO_Dividends,RTO_Stock Splits
1996-11-18 00:00:00+00:00,17.609375,17.75,17.609375,10.979177474975586,3200,0.0,
1996-11-19 00:00:00+00:00,17.59375,17.8125,17.4375,10.969435691833496,17200,0.0,
1996-11-20 00:00:00+00:00,17.7890625,17.8125,17.25,11.09121036529541,10400,0.0,
1996-11-21 00:00:00+00:00,17.890625,17.890625,17.890625,11.154533386230469,2400,0.0,
1996-11-22 00:00:00+00:00,17.90625,17.90625,17.90625,11.164274215698242,6400,0.0,
1996-11-25 00:00:00+00:00,18.125,18.1875,18.125,11.300660133361816,32000,0.0,
1996-11-26 00:00:00+00:00,18.625,18.625,18.0625,11.61240291595459,16000,0.0,
1996-11-27 00:00:00+00:00,18.46875,18.46875,18.4375,11.514985084533691,52800,0.0,
1996-11-29 00:00:00+00:00,18.5625,18.59375,18.5625,11.573436737060549,60000,0.0,
1996-12-02 00:00:00+00:00,18.5,18.625,18.5,11.534467697143556,35200,0.0,
1996-12-03 00:00:00+00:00,18.40625,18.625,18.125,11.47601318359375,75200,0.0,
1996-12-04 00:00:00+00:00,18.5,18.625,18.25,11.534467697143556,34000,0.0,
1996-12-05 00:00:00+00:00,17.875,18.25,17.875,11.144792556762695,45200,0.0,
1996-12-06 00:00:00+00:00,18.0625,18.375,18.0625,11.261693954467772,7200,0.0,
1996-12-09 00:00:00+00:00,18.25,18.3125,18.25,11.378597259521484,25600,0.0,
1996-12-10 00:00:00+00:00,18.6875,18.6875,18.4375,11.651373863220217,27200,0.0,
1996-12-11 00:00:00+00:00,18.8125,18.875,18.59375,11.729304313659668,71600,0.0,
1996-12-12 00:00:00+00:00,18.6875,18.6875,18.5625,11.651373863220217,24000,0.0,
1996-12-13 00:00:00+00:00,18.6875,18.6875,18.6875,11.651373863220217,0,0.0,
1996-12-16 00:00:00+00:00,18.65625,18.65625,18.5625,11.631888389587402,3200,0.0,
1996-12-17 00:00:00+00:00,18.6875,18.6875,18.6875,11.651373863220217,37600,0.0,
1996-12-18 00:00:00+00:00,18.5,18.625,18.375,11.534467697143556,15200,0.0,
1996-12-19 00:00:00+00:00,18.5,18.5,18.28125,11.534467697143556,63600,0.0,
1996-12-20 00:00:00+00:00,18.46875,18.65625,18.4375,11.514985084533691,14400,0.0,
1996-12-23 00:00:00+00:00,18.75,18.75,18.4375,11.690338134765623,121600,0.0,
1996-12-24 00:00:00+00:00,18.625,18.625,18.625,11.61240291595459,3600,0.0,
1996-12-26 00:00:00+00:00,18.625,18.625,18.625,11.61240291595459,0,0.0,
1996-12-27 00:00:00+00:00,18.875,18.875,18.6875,11.768275260925291,4000,0.0,
1996-12-30 00:00:00+00:00,18.90625,18.9375,18.75,11.787758827209473,18400,0.0,
1996-12-31 00:00:00+00:00,19.0625,19.0625,19.0,11.885176658630373,26800,0.0,
1997-01-02 00:00:00+00:00,18.625,18.8125,18.5,11.61240291595459,266400,0.0,
1997-01-03 00:00:00+00:00,18.59375,18.625,18.4375,11.59291934967041,217200,0.0,
1997-01-06 00:00:00+00:00,18.5,18.625,18.28125,11.534467697143556,244400,0.0,
1997-01-07 00:00:00+00:00,18.34375,18.4375,18.25,11.43704891204834,142400,0.0,
1997-01-08 00:00:00+00:00,18.375,18.5,18.3125,11.456531524658203,80000,0.0,
1997-01-09 00:00:00+00:00,18.625,18.625,18.4375,11.61240291595459,4800,0.0,
1997-01-10 00:00:00+00:00,18.1875,18.4375,18.1875,11.339630126953123,17600,0.0,
1997-01-13 00:00:00+00:00,18.59375,18.625,18.375,11.59291934967041,26000,0.0,
1997-01-14 00:00:00+00:00,18.71875,18.78125,18.625,11.670853614807127,52400,0.0,
