date,HLIO_Open,HLIO_High,HLIO_Low,HLIO_Close,HLIO_Volume,HLIO_Dividends,HLIO_Stock Splits
1997-01-09 00:00:00+00:00,3.037036895751953,3.259258985519409,2.814815044403076,1.6314536333084106,1608863,0.0,
1997-01-10 00:00:00+00:00,3.259258985519409,3.481481075286865,3.037036895751953,1.769045114517212,683100,0.0,
1997-01-13 00:00:00+00:00,3.40740704536438,3.481481075286865,3.259258985519409,1.7493895292282104,641588,0.0,
1997-01-14 00:00:00+00:00,3.259258985519409,3.40740704536438,3.222222089767456,1.7100780010223389,589613,0.0,
1997-01-15 00:00:00+00:00,3.185184955596924,3.2962958812713623,3.1111109256744385,1.72973370552063,318600,0.0,
1997-01-16 00:00:00+00:00,3.222222089767456,3.259258985519409,3.1481480598449707,1.7223626375198364,179550,0.0,
1997-01-17 00:00:00+00:00,3.1481480598449707,3.259258985519409,3.1481480598449707,1.72973370552063,97538,0.0,
1997-01-20 00:00:00+00:00,3.259258985519409,3.2962958812713623,3.1111109256744385,1.6707655191421509,107663,0.0,
1997-01-21 00:00:00+00:00,3.259258985519409,3.2962958812713623,3.1111109256744385,1.6511094570159912,118800,0.0,
1997-01-22 00:00:00+00:00,3.2962958812713623,3.2962958812713623,3.1111109256744385,1.6707655191421509,61425,0.0,
1997-01-23 00:00:00+00:00,3.3333330154418945,3.3333330154418945,3.1481480598449707,1.6707655191421509,134663,0.0,
1997-01-24 00:00:00+00:00,3.1481480598449707,3.277777910232544,3.1481480598449707,1.6707655191421509,36450,0.0,
1997-01-27 00:00:00+00:00,3.259258985519409,3.555556058883667,3.259258985519409,1.8083571195602417,412425,0.0,
1997-01-28 00:00:00+00:00,3.370369911193848,3.6666669845581055,3.370369911193848,1.8869818449020384,179213,0.0,
1997-01-29 00:00:00+00:00,3.555556058883667,3.6666669845581055,3.481481075286865,1.8476697206497192,109013,0.0,
1997-01-30 00:00:00+00:00,3.6666669845581055,3.6666669845581055,3.481481075286865,1.8476697206497192,126563,0.0,
1997-01-31 00:00:00+00:00,3.7037041187286377,3.851851940155029,3.481481075286865,1.9262946844100952,248063,0.0,
1997-02-03 00:00:00+00:00,3.851851940155029,3.851851940155029,3.629630088806152,1.9459493160247805,117113,0.0,
1997-02-04 00:00:00+00:00,3.777777910232544,3.777777910232544,3.629630088806152,1.9262946844100952,162675,0.0,
1997-02-05 00:00:00+00:00,3.629630088806152,3.777777910232544,3.629630088806152,1.9262946844100952,133313,0.0,
1997-02-06 00:00:00+00:00,3.629630088806152,3.740741014480591,3.555556058883667,1.8869818449020384,200138,0.0,
1997-02-07 00:00:00+00:00,3.555556058883667,3.7037041187286377,3.555556058883667,1.8869818449020384,204525,0.0,
1997-02-10 00:00:00+00:00,3.555556058883667,3.7037041187286377,3.555556058883667,1.8869818449020384,23625,0.0,
1997-02-11 00:00:00+00:00,3.555556058883667,3.7037041187286377,3.555556058883667,1.8869818449020384,51638,0.0,
1997-02-12 00:00:00+00:00,3.555556058883667,3.7037041187286377,3.555556058883667,1.8869818449020384,67838,0.0,
1997-02-13 00:00:00+00:00,3.555556058883667,3.629630088806152,3.40740704536438,1.8476697206497192,159300,0.0,
1997-02-14 00:00:00+00:00,3.555556058883667,3.555556058883667,3.40740704536438,1.8869818449020384,59738,0.0,
1997-02-18 00:00:00+00:00,3.555556058883667,3.555556058883667,3.40740704536438,1.8476697206497192,102938,0.0,
1997-02-19 00:00:00+00:00,3.40740704536438,3.555556058883667,3.40740704536438,1.8083571195602417,78638,0.0,
1997-02-20 00:00:00+00:00,3.40740704536438,3.555556058883667,3.3333330154418945,1.769045114517212,99563,0.0,
1997-02-21 00:00:00+00:00,3.5185189247131348,3.5185189247131348,3.370369911193848,1.788701057434082,17888,0.0,
1997-02-24 00:00:00+00:00,3.370369911193848,3.5185189247131348,3.2962958812713623,1.769045114517212,136350,0.0,
1997-02-25 00:00:00+00:00,3.2962958812713623,3.444443941116333,3.2962958812713623,1.7493895292282104,37125,0.0,
1997-02-26 00:00:00+00:00,3.3333330154418945,3.3333330154418945,3.2962958812713623,1.7493895292282104,31725,0.0,
