date,HMY_Open,HMY_High,HMY_Low,HMY_Close,HMY_Volume,HMY_Dividends,HMY_Stock Splits
1994-05-17 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,500,0.0,
1994-05-18 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,0,0.0,
1994-05-19 00:00:00+00:00,5.0,5.25,5.0,3.787320375442505,1300,0.0,
1994-05-20 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,0,0.0,
1994-05-23 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,400,0.0,
1994-05-24 00:00:00+00:00,5.0,5.125,5.0,3.787320375442505,800,0.0,
1994-05-25 00:00:00+00:00,5.0,5.25,5.0,3.976685523986816,1300,0.0,
1994-05-26 00:00:00+00:00,5.0,5.375,5.0,3.787320375442505,1600,0.0,
1994-05-27 00:00:00+00:00,5.5,5.5,5.125,3.882002592086792,1600,0.0,
1994-05-31 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,1000,0.0,
1994-06-01 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,200,0.0,
1994-06-02 00:00:00+00:00,5.1875,5.1875,5.1875,3.929344415664673,300,0.0,
1994-06-03 00:00:00+00:00,5.25,5.25,5.1875,3.976685523986816,1400,0.0,
1994-06-06 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,0,0.0,
1994-06-07 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,1000,0.0,
1994-06-08 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,0,0.0,
1994-06-09 00:00:00+00:00,5.0,5.0,5.0,3.787320375442505,100,0.0,
1994-06-10 00:00:00+00:00,5.0,5.25,5.0,3.787320375442505,5100,0.0,
1994-06-13 00:00:00+00:00,5.375,5.375,5.375,4.071368217468262,1100,0.0,
1994-06-14 00:00:00+00:00,5.25,5.25,5.125,3.976685523986816,200,0.0,
1994-06-15 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,200,0.0,
1994-06-16 00:00:00+00:00,5.25,5.25,5.25,3.976685523986816,0,0.0,
1994-06-17 00:00:00+00:00,0.0,5.5,5.0,3.787320375442505,3100,0.0,
