date,ARE_Open,ARE_High,ARE_Low,ARE_Close,ARE_Volume,ARE_Dividends,ARE_Stock Splits
1997-05-28 00:00:00+00:00,20.625,21.375,20.625,7.949126720428467,1862700,0.0,
1997-05-29 00:00:00+00:00,21.0,21.375,21.0,8.091071128845215,296800,0.0,
1997-05-30 00:00:00+00:00,21.125,22.125,21.125,8.327651977539062,220400,0.0,
1997-06-02 00:00:00+00:00,22.125,22.25,21.5,8.327651977539062,66800,0.0,
1997-06-03 00:00:00+00:00,21.75,22.125,21.625,8.374968528747559,180000,0.0,
1997-06-04 00:00:00+00:00,22.25,22.25,21.75,8.2803373336792,99900,0.0,
1997-06-05 00:00:00+00:00,21.5,21.875,21.25,8.2803373336792,291600,0.0,
1997-06-06 00:00:00+00:00,21.5,21.5,21.5,8.138388633728027,0,0.0,
1997-06-09 00:00:00+00:00,21.5,21.5,21.5,8.138388633728027,0,0.0,
1997-06-10 00:00:00+00:00,21.5,21.75,21.5,8.23301887512207,57600,0.0,
1997-06-11 00:00:00+00:00,21.375,21.625,21.125,8.043755531311035,146600,0.0,
1997-06-12 00:00:00+00:00,21.25,21.625,21.125,8.091071128845215,73300,0.0,
1997-06-13 00:00:00+00:00,21.25,21.375,21.25,8.043755531311035,134200,0.0,
1997-06-16 00:00:00+00:00,21.25,21.625,21.25,8.185701370239258,73200,0.0,
1997-06-17 00:00:00+00:00,21.375,21.5,21.375,8.091071128845215,53300,0.0,
1997-06-18 00:00:00+00:00,21.5,21.625,21.375,8.138388633728027,54100,0.0,
1997-06-19 00:00:00+00:00,21.5,21.625,21.5,8.138388633728027,44100,0.0,
1997-06-20 00:00:00+00:00,21.5,21.75,21.5,8.185701370239258,37800,0.0,
1997-06-23 00:00:00+00:00,21.625,21.875,21.375,8.091071128845215,80800,0.0,
1997-06-24 00:00:00+00:00,21.5,21.5,21.25,8.138388633728027,116000,0.0,
1997-06-25 00:00:00+00:00,21.5,21.625,21.25,8.185701370239258,127400,0.0,
1997-06-26 00:00:00+00:00,21.625,21.75,21.5,8.185701370239258,52100,0.0,
1997-06-27 00:00:00+00:00,21.5,21.875,21.375,8.23301887512207,44500,0.0,
1997-06-30 00:00:00+00:00,21.75,21.875,21.375,8.2803373336792,60300,0.0,
1997-07-01 00:00:00+00:00,21.625,22.625,21.625,8.516918182373047,121300,0.0,
1997-07-02 00:00:00+00:00,22.5,22.5,22.125,8.516918182373047,77300,0.0,
1997-07-03 00:00:00+00:00,22.625,22.75,22.375,8.611547470092773,46000,0.0,
1997-07-07 00:00:00+00:00,22.75,23.0,22.625,8.611547470092773,122200,0.0,
1997-07-08 00:00:00+00:00,22.75,22.75,22.375,8.611547470092773,50400,0.0,
1997-07-09 00:00:00+00:00,22.75,22.875,22.5,8.611547470092773,97000,0.0,
1997-07-10 00:00:00+00:00,22.75,22.875,22.625,8.611547470092773,99000,0.0,
1997-07-11 00:00:00+00:00,22.75,22.875,22.25,8.658865928649902,136100,0.0,
1997-07-14 00:00:00+00:00,22.875,23.875,22.875,8.895447731018066,106600,0.0,
1997-07-15 00:00:00+00:00,23.25,24.0,23.25,8.990077018737793,85400,0.0,
1997-07-16 00:00:00+00:00,24.0,24.25,23.75,9.08471393585205,68800,0.0,
1997-07-17 00:00:00+00:00,23.75,24.125,23.625,9.037395477294922,53000,0.0,
1997-07-18 00:00:00+00:00,23.75,23.875,23.75,9.037395477294922,126500,0.0,
1997-07-21 00:00:00+00:00,23.875,24.0,23.75,9.08471393585205,111800,0.0,
1997-07-22 00:00:00+00:00,24.0,24.0,23.75,9.08471393585205,38800,0.0,
1997-07-23 00:00:00+00:00,24.0,24.25,23.875,9.179339408874512,180000,0.0,
1997-07-24 00:00:00+00:00,24.0,24.125,24.0,9.08471393585205,47600,0.0,
1997-07-25 00:00:00+00:00,24.125,24.25,24.0,9.179339408874512,25500,0.0,
1997-07-28 00:00:00+00:00,24.25,24.5,24.125,9.179339408874512,96800,0.0,
1997-07-29 00:00:00+00:00,24.25,24.375,24.0,9.226658821105955,19900,0.0,
1997-07-30 00:00:00+00:00,24.375,24.625,24.375,9.273974418640137,59600,0.0,
