date,ATLC_Open,ATLC_High,ATLC_Low,ATLC_Close,ATLC_Volume,ATLC_Dividends,ATLC_Stock Splits
1999-04-23 00:00:00+00:00,12.625,16.0,12.125,12.279519081115724,3096600,0.0,
1999-04-26 00:00:00+00:00,14.375,14.375,13.375,12.065962791442873,395600,0.0,
1999-04-27 00:00:00+00:00,14.3125,14.5,14.0,11.959183692932127,273000,0.0,
1999-04-28 00:00:00+00:00,13.875,14.25,13.0,11.15834617614746,456400,0.0,
1999-04-29 00:00:00+00:00,13.4375,14.25,13.25,11.959183692932127,208100,0.0,
1999-04-30 00:00:00+00:00,14.5,18.125,14.375,13.667638778686523,387800,0.0,
1999-05-03 00:00:00+00:00,16.8125,17.125,16.125,14.094752311706545,131500,0.0,
1999-05-04 00:00:00+00:00,16.375,17.0,16.375,14.094752311706545,96700,0.0,
1999-05-05 00:00:00+00:00,16.375,17.25,16.375,14.361698150634766,204900,0.0,
1999-05-06 00:00:00+00:00,16.75,17.0,16.6875,14.25492000579834,62100,0.0,
1999-05-07 00:00:00+00:00,16.6875,17.0,16.375,14.094752311706545,36800,0.0,
1999-05-10 00:00:00+00:00,16.3125,16.625,16.25,14.094752311706545,157400,0.0,
1999-05-11 00:00:00+00:00,16.375,16.9375,16.375,14.201530456542969,60200,0.0,
1999-05-12 00:00:00+00:00,16.5625,19.0,16.5625,16.01676368713379,125300,0.0,
1999-05-13 00:00:00+00:00,19.0,21.125,18.9375,17.191326141357422,232800,0.0,
1999-05-14 00:00:00+00:00,20.125,21.125,20.0,17.084548950195312,328200,0.0,
1999-05-17 00:00:00+00:00,20.0,20.0,19.75,16.870990753173828,26200,0.0,
1999-05-18 00:00:00+00:00,20.125,20.625,20.125,17.45827293395996,240800,0.0,
1999-05-19 00:00:00+00:00,20.625,20.625,20.0,17.191326141357422,74500,0.0,
1999-05-20 00:00:00+00:00,20.0,20.25,19.5,16.76421356201172,31200,0.0,
1999-05-21 00:00:00+00:00,19.5,19.5,17.8125,15.909985542297363,49600,0.0,
1999-05-24 00:00:00+00:00,18.25,18.5,18.0,15.58965015411377,85900,0.0,
1999-05-25 00:00:00+00:00,18.5,18.5,18.0,15.803207397460938,10200,0.0,
1999-05-26 00:00:00+00:00,18.5625,19.0,18.25,15.58965015411377,379600,0.0,
1999-05-27 00:00:00+00:00,18.25,18.5625,16.375,14.148141860961914,49300,0.0,
1999-05-28 00:00:00+00:00,16.375,16.75,16.25,13.934584617614746,213400,0.0,
1999-06-01 00:00:00+00:00,16.75,17.375,16.375,14.842201232910156,122200,0.0,
1999-06-02 00:00:00+00:00,17.25,18.0,17.25,15.376093864440918,46700,0.0,
1999-06-03 00:00:00+00:00,18.0,18.125,18.0,15.482872009277344,17400,0.0,
1999-06-04 00:00:00+00:00,18.0,18.0,17.625,15.269314765930176,24400,0.0,
1999-06-07 00:00:00+00:00,18.0,18.125,17.75,15.376093864440918,13300,0.0,
1999-06-08 00:00:00+00:00,17.75,18.1875,17.75,15.269314765930176,89600,0.0,
1999-06-09 00:00:00+00:00,18.1875,19.75,18.0,16.550657272338867,73200,0.0,
1999-06-10 00:00:00+00:00,19.5,19.875,19.375,16.817602157592773,67000,0.0,
1999-06-11 00:00:00+00:00,20.0,20.125,19.6875,16.817602157592773,113400,0.0,
1999-06-14 00:00:00+00:00,19.75,20.0,19.0,16.443878173828125,50600,0.0,
1999-06-15 00:00:00+00:00,18.75,18.75,16.8125,14.628644943237305,142400,0.0,
1999-06-16 00:00:00+00:00,17.375,18.625,17.375,15.376093864440918,36700,0.0,
1999-06-17 00:00:00+00:00,18.5,18.5,18.0,15.803207397460938,6500,0.0,
1999-06-18 00:00:00+00:00,18.4375,18.625,18.125,15.696429252624512,15800,0.0,
1999-06-21 00:00:00+00:00,18.5,18.75,18.25,15.803207397460938,52500,0.0,
1999-06-22 00:00:00+00:00,18.3125,19.0,18.3125,16.12354278564453,116400,0.0,
1999-06-23 00:00:00+00:00,19.0,19.0,18.625,15.963375091552734,77500,0.0,
1999-06-24 00:00:00+00:00,18.625,19.0,18.625,16.01676368713379,71400,0.0,
1999-06-25 00:00:00+00:00,19.0,19.0,18.75,16.12354278564453,18200,0.0,
1999-06-28 00:00:00+00:00,18.875,18.9375,18.5,16.01676368713379,23600,0.0,
1999-06-29 00:00:00+00:00,18.5,18.5,17.75,15.269314765930176,26200,0.0,
1999-06-30 00:00:00+00:00,18.0625,20.25,17.875,16.230321884155273,180700,0.0,
1999-07-01 00:00:00+00:00,18.875,19.5,18.5,16.283710479736328,32100,0.0,
