date,ORC_Open,ORC_High,ORC_Low,ORC_Close,ORC_Volume,ORC_Dividends,ORC_Stock Splits
2013-02-14 00:00:00+00:00,73.0,74.0,72.19999694824219,11.876787185668944,48860,0.0,
2013-02-15 00:00:00+00:00,73.5,74.1500015258789,73.0,11.876787185668944,4760,0.0,
2013-02-19 00:00:00+00:00,74.44999694824219,77.0,73.44999694824219,11.836663246154783,2200,0.0,
2013-02-20 00:00:00+00:00,74.0,74.5,73.0,11.876787185668944,5680,0.0,
2013-02-21 00:00:00+00:00,73.5,73.69999694824219,73.0,11.828633308410645,520,0.0,
2013-02-22 00:00:00+00:00,73.30000305175781,73.75,73.05000305175781,11.828633308410645,1000,0.0,
2013-02-25 00:00:00+00:00,73.5,73.55000305175781,73.0,11.772469520568848,1400,0.0,
2013-02-26 00:00:00+00:00,73.05000305175781,73.55000305175781,73.0,11.788511276245115,3220,0.0,
2013-02-27 00:00:00+00:00,73.69999694824219,73.69999694824219,73.0,11.716290473937988,1360,0.0,
2013-02-28 00:00:00+00:00,73.5,73.5,72.0,11.62801742553711,3240,0.0,
2013-03-01 00:00:00+00:00,72.75,72.75,72.0,11.555794715881348,11940,0.0,
2013-03-04 00:00:00+00:00,71.94999694824219,72.44999694824219,71.05000305175781,11.62801742553711,2220,0.0,
2013-03-05 00:00:00+00:00,71.5,72.0,71.0,11.555794715881348,2460,0.0,
2013-03-06 00:00:00+00:00,71.80000305175781,72.25,71.5,11.595921516418455,3260,0.0,
2013-03-07 00:00:00+00:00,71.75,72.05000305175781,71.75,11.555794715881348,860,0.0,
2013-03-08 00:00:00+00:00,72.4000015258789,73.44999694824219,72.4000015258789,11.788511276245115,220,0.0,
2013-03-11 00:00:00+00:00,73.44999694824219,73.44999694824219,70.05000305175781,11.676169395446776,3260,0.0,
2013-03-12 00:00:00+00:00,72.25,72.5,70.0,11.555794715881348,3780,0.0,
2013-03-13 00:00:00+00:00,72.5,73.0,71.75,11.636040687561035,2540,0.0,
