date,WDS_Open,WDS_High,WDS_Low,WDS_Close,WDS_Volume,WDS_Dividends,WDS_Stock Splits
1996-11-18 00:00:00+00:00,6.90625,7.046875,6.90625,2.5366599559783936,1300,0.0,
1996-11-19 00:00:00+00:00,6.84375,7.0,6.84375,2.5137038230896,1800,0.0,
1996-11-20 00:00:00+00:00,6.84375,6.84375,6.84375,2.5137038230896,0,0.0,
1996-11-21 00:00:00+00:00,6.84375,6.84375,6.84375,2.5137038230896,0,0.0,
1996-11-22 00:00:00+00:00,7.0,7.0,7.0,2.571094512939453,200,0.0,
1996-11-25 00:00:00+00:00,7.25,7.25,7.09375,2.662919521331787,1800,0.0,
1996-11-26 00:00:00+00:00,7.15625,7.296875,7.15625,2.6284847259521484,6300,0.0,
1996-11-27 00:00:00+00:00,7.046875,7.046875,7.046875,2.5883114337921143,1600,0.0,
1996-11-29 00:00:00+00:00,7.0,7.0,7.0,2.571094512939453,100,0.0,
1996-12-02 00:00:00+00:00,7.046875,7.046875,7.046875,2.5883114337921143,2200,0.0,
1996-12-03 00:00:00+00:00,6.953125,6.953125,6.90625,2.553876638412476,3000,0.0,
1996-12-04 00:00:00+00:00,6.953125,6.953125,6.953125,2.553876638412476,0,0.0,
1996-12-05 00:00:00+00:00,6.90625,6.90625,6.90625,2.5366599559783936,200,0.0,
1996-12-06 00:00:00+00:00,6.796875,6.953125,6.796875,2.496485948562622,4000,0.0,
1996-12-09 00:00:00+00:00,6.84375,7.0,6.84375,2.5137038230896,1800,0.0,
1996-12-10 00:00:00+00:00,6.90625,7.046875,6.90625,2.5366599559783936,300,0.0,
1996-12-11 00:00:00+00:00,6.65625,6.703125,6.65625,2.444835901260376,300,0.0,
1996-12-12 00:00:00+00:00,6.5,6.65625,6.5,2.3874452114105225,7600,0.0,
1996-12-13 00:00:00+00:00,6.5,6.5,6.5,2.3874452114105225,1000,0.0,
1996-12-16 00:00:00+00:00,6.65625,6.65625,6.65625,2.444835901260376,500,0.0,
1996-12-17 00:00:00+00:00,6.65625,6.65625,6.65625,2.444835901260376,0,0.0,
1996-12-18 00:00:00+00:00,6.84375,6.84375,6.703125,2.5137038230896,2900,0.0,
1996-12-19 00:00:00+00:00,6.75,6.75,6.75,2.4792697429656982,1000,0.0,
1996-12-20 00:00:00+00:00,7.09375,7.09375,7.0,2.6055283546447754,3500,0.0,
1996-12-23 00:00:00+00:00,7.046875,7.046875,7.0,2.5883114337921143,4000,0.0,
1996-12-24 00:00:00+00:00,7.046875,7.046875,7.046875,2.5883114337921143,0,0.0,
1996-12-26 00:00:00+00:00,7.203125,7.203125,7.046875,2.6457018852233887,500,0.0,
1996-12-27 00:00:00+00:00,7.09375,7.25,7.09375,2.6055283546447754,2600,0.0,
1996-12-30 00:00:00+00:00,7.09375,7.09375,7.09375,2.6055283546447754,400,0.0,
1996-12-31 00:00:00+00:00,7.203125,7.203125,7.203125,2.6457018852233887,400,0.0,
1997-01-02 00:00:00+00:00,7.296875,7.296875,7.15625,2.68013596534729,5600,0.0,
1997-01-03 00:00:00+00:00,7.15625,7.15625,7.15625,2.6284847259521484,200,0.0,
1997-01-06 00:00:00+00:00,7.34375,7.34375,7.34375,2.6973540782928467,200,0.0,
