date,NYCB-PU_Open,NYCB-PU_High,NYCB-PU_Low,NYCB-PU_Close,NYCB-PU_Volume,NYCB-PU_Dividends,NYCB-PU_Stock Splits
2003-12-01 00:00:00+00:00,77.5,77.5,77.5,22.08390998840332,1400,0.0,
2003-12-02 00:00:00+00:00,77.25,78.02999877929688,77.19999694824219,22.08390998840332,26700,0.0,
2003-12-03 00:00:00+00:00,77.5999984741211,77.80000305175781,76.9800033569336,21.944276809692383,30700,0.0,
2003-12-04 00:00:00+00:00,76.5,76.5,75.5,21.51399040222168,24900,0.0,
2003-12-05 00:00:00+00:00,75.5,75.5,75.0,21.471248626708984,1100,0.0,
2003-12-08 00:00:00+00:00,75.9000015258789,76.0,75.9000015258789,21.656475067138672,100500,0.0,
2003-12-09 00:00:00+00:00,75.5,75.5,75.06999969482422,21.39145851135254,700,0.0,
2003-12-10 00:00:00+00:00,74.5,74.5,72.97000122070312,20.94408416748047,17100,0.0,
2003-12-11 00:00:00+00:00,74.0,74.25,73.5999984741211,21.157794952392575,1000,0.0,
2003-12-12 00:00:00+00:00,74.4000015258789,74.77999877929688,74.4000015258789,21.308826446533203,50200,0.0,
2003-12-15 00:00:00+00:00,75.0,75.02400207519531,74.5,21.22904586791992,50300,0.0,
2003-12-16 00:00:00+00:00,74.43418884277344,74.5,73.5,21.22904586791992,52500,0.0,
2003-12-17 00:00:00+00:00,75.0,75.80000305175781,75.0,21.599485397338867,115500,0.0,
2003-12-18 00:00:00+00:00,75.25,76.0,75.25,21.4427547454834,400,0.0,
2003-12-19 00:00:00+00:00,75.5,75.5,75.25,21.4427547454834,200,0.0,
2003-12-22 00:00:00+00:00,75.0,75.0,74.25,21.157794952392575,10600,0.0,
2003-12-23 00:00:00+00:00,74.75,75.375,74.75,21.371524810791016,7700,0.0,
2003-12-24 00:00:00+00:00,75.0,75.0,75.0,21.371524810791016,0,0.0,
2003-12-26 00:00:00+00:00,75.36000061035156,75.36000061035156,75.36000061035156,21.474103927612305,100,0.0,
2003-12-29 00:00:00+00:00,75.0999984741211,75.5,75.0999984741211,21.51399040222168,400,0.0,
2003-12-30 00:00:00+00:00,75.7699966430664,75.7699966430664,75.7699966430664,21.59092903137207,100,0.0,
2003-12-31 00:00:00+00:00,76.0,76.06999969482422,76.0,21.676424026489254,300,0.0,
2004-01-02 00:00:00+00:00,75.56999969482422,75.91000366210938,75.5,21.51399040222168,27100,0.0,
