date,WHG_Open,WHG_High,WHG_Low,WHG_Close,WHG_Volume,WHG_Dividends,WHG_Stock Splits
2002-06-13 00:00:00+00:00,13.479999542236328,16.239999771118164,13.239999771118164,5.769220352172852,20400,0.0,
2002-06-14 00:00:00+00:00,16.239999771118164,16.239999771118164,16.239999771118164,5.769220352172852,0,0.0,
2002-06-17 00:00:00+00:00,16.239999771118164,16.239999771118164,16.239999771118164,5.769220352172852,0,0.0,
2002-06-18 00:00:00+00:00,16.239999771118164,16.239999771118164,16.239999771118164,5.769220352172852,2000,0.0,
2002-06-19 00:00:00+00:00,16.239999771118164,16.479999542236328,16.239999771118164,5.769220352172852,18400,0.0,
2002-06-20 00:00:00+00:00,16.0,16.0,15.399999618530272,5.470814228057861,6900,0.0,
2002-06-21 00:00:00+00:00,15.640000343322754,15.640000343322754,15.399999618530272,5.470814228057861,5400,0.0,
2002-06-24 00:00:00+00:00,15.239999771118164,15.479999542236328,15.239999771118164,5.499235153198242,1700,0.0,
2002-06-25 00:00:00+00:00,15.640000343322754,15.880000114440918,15.640000343322754,5.584492206573486,19800,0.0,
2002-06-26 00:00:00+00:00,15.239999771118164,15.720000267028809,15.239999771118164,5.413974285125732,3000,0.0,
2002-06-27 00:00:00+00:00,15.0,15.0,14.720000267028809,5.229246616363525,2200,0.0,
2002-06-28 00:00:00+00:00,14.880000114440918,15.0,14.0,4.973465442657471,70900,0.0,
2002-07-01 00:00:00+00:00,14.0,14.0,13.079999923706056,4.6466383934021,52100,0.0,
2002-07-02 00:00:00+00:00,13.0,13.149999618530272,12.899999618530272,4.5826945304870605,99800,0.0,
2002-07-03 00:00:00+00:00,12.899999618530272,13.050000190734863,12.600000381469728,4.476121425628662,60200,0.0,
2002-07-05 00:00:00+00:00,12.699999809265137,12.699999809265137,12.43000030517578,4.472569942474365,49900,0.0,
2002-07-08 00:00:00+00:00,12.649999618530272,12.949999809265137,12.550000190734863,4.476121425628662,140500,0.0,
2002-07-09 00:00:00+00:00,12.550000190734863,12.699999809265137,12.399999618530272,4.405072212219238,62300,0.0,
2002-07-10 00:00:00+00:00,12.5,12.5,11.449999809265137,4.159950256347656,72700,0.0,
