date,ETD_Open,ETD_High,ETD_Low,ETD_Close,ETD_Volume,ETD_Dividends,ETD_Stock Splits
1993-03-16 00:00:00+00:00,6.708333015441895,6.875,6.6666669845581055,2.853825092315674,10505700,0.0,
1993-03-17 00:00:00+00:00,6.708333015441895,6.9166669845581055,6.708333015441895,2.8894975185394287,2322600,0.0,
1993-03-18 00:00:00+00:00,6.75,6.7916669845581055,6.6666669845581055,2.8894975185394287,1085100,0.0,
1993-03-19 00:00:00+00:00,6.6666669845581055,6.708333015441895,6.6666669845581055,2.853825092315674,1076100,0.0,
1993-03-22 00:00:00+00:00,6.6666669845581055,6.708333015441895,6.4166669845581055,2.8716611862182617,1107600,0.0,
1993-03-23 00:00:00+00:00,6.708333015441895,6.75,6.6666669845581055,2.8716611862182617,711300,0.0,
1993-03-24 00:00:00+00:00,6.75,6.75,6.5,2.81815242767334,241200,0.0,
1993-03-25 00:00:00+00:00,6.5416669845581055,6.708333015441895,6.5416669845581055,2.853825092315674,538500,0.0,
1993-03-26 00:00:00+00:00,6.6666669845581055,6.75,6.6666669845581055,2.8894975185394287,125400,0.0,
1993-03-29 00:00:00+00:00,6.75,6.75,6.625,2.8894975185394287,380100,0.0,
1993-03-30 00:00:00+00:00,6.75,6.875,6.75,2.9430060386657715,152100,0.0,
1993-03-31 00:00:00+00:00,6.875,7.0416669845581055,6.875,2.9608423709869385,471000,0.0,
1993-04-01 00:00:00+00:00,6.833333015441895,6.833333015441895,6.6666669845581055,2.853825092315674,210000,0.0,
1993-04-02 00:00:00+00:00,6.6666669845581055,6.708333015441895,6.583333015441895,2.81815242767334,808800,0.0,
1993-04-05 00:00:00+00:00,6.583333015441895,6.6666669845581055,6.583333015441895,2.853825092315674,456000,0.0,
1993-04-06 00:00:00+00:00,6.6666669845581055,6.6666669845581055,6.5416669845581055,2.81815242767334,303600,0.0,
1993-04-07 00:00:00+00:00,6.625,6.625,6.458333015441895,2.782478094100952,241800,0.0,
1993-04-08 00:00:00+00:00,6.5,6.5416669845581055,6.1666669845581055,2.6932971477508545,81900,0.0,
1993-04-12 00:00:00+00:00,6.5416669845581055,6.583333015441895,6.5,2.81815242767334,234900,0.0,
1993-04-13 00:00:00+00:00,6.625,6.833333015441895,6.625,2.9251697063446045,142200,0.0,
1993-04-14 00:00:00+00:00,6.958333015441895,7.0416669845581055,6.9166669845581055,2.9608423709869385,198900,0.0,
1993-04-15 00:00:00+00:00,6.875,6.875,6.6666669845581055,2.853825092315674,109200,0.0,
1993-04-16 00:00:00+00:00,6.75,6.7916669845581055,6.6666669845581055,2.8894975185394287,74100,0.0,
1993-04-19 00:00:00+00:00,6.708333015441895,6.75,6.6666669845581055,2.8716611862182617,138000,0.0,
1993-04-20 00:00:00+00:00,6.75,6.7916669845581055,6.6666669845581055,2.8894975185394287,244800,0.0,
1993-04-21 00:00:00+00:00,6.9166669845581055,7.0,6.75,2.907334566116333,459900,0.0,
1993-04-22 00:00:00+00:00,6.708333015441895,6.833333015441895,6.708333015441895,2.8894975185394287,117600,0.0,
1993-04-23 00:00:00+00:00,6.75,6.7916669845581055,6.708333015441895,2.907334566116333,41400,0.0,
1993-04-26 00:00:00+00:00,6.7916669845581055,6.7916669845581055,6.583333015441895,2.81815242767334,81900,0.0,
1993-04-27 00:00:00+00:00,6.583333015441895,6.583333015441895,6.458333015441895,2.782478094100952,261900,0.0,
1993-04-28 00:00:00+00:00,6.458333015441895,6.5,6.4166669845581055,2.7646420001983643,65700,0.0,
1993-04-29 00:00:00+00:00,6.5,6.6666669845581055,6.5,2.835988759994507,46800,0.0,
1993-04-30 00:00:00+00:00,6.625,6.6666669845581055,6.625,2.835988759994507,28200,0.0,
1993-05-03 00:00:00+00:00,6.6666669845581055,6.6666669845581055,6.6666669845581055,2.853825092315674,10500,0.0,
1993-05-04 00:00:00+00:00,6.75,6.958333015441895,6.75,2.978679656982422,139200,0.0,
1993-05-05 00:00:00+00:00,7.0,7.0416669845581055,6.9166669845581055,2.978679656982422,79800,0.0,
1993-05-06 00:00:00+00:00,6.875,6.958333015441895,6.875,2.9608423709869385,99300,0.0,
1993-05-07 00:00:00+00:00,6.9166669845581055,7.0,6.875,2.9608423709869385,67500,0.0,
1993-05-10 00:00:00+00:00,6.958333015441895,6.958333015441895,6.833333015441895,2.9608423709869385,72600,0.0,
1993-05-11 00:00:00+00:00,6.9166669845581055,6.9166669845581055,6.7916669845581055,2.907334566116333,89700,0.0,
1993-05-12 00:00:00+00:00,6.708333015441895,6.7916669845581055,6.5,2.782478094100952,378000,0.0,
1993-05-13 00:00:00+00:00,6.4166669845581055,6.4166669845581055,6.208333015441895,2.728968381881714,197400,0.0,
1993-05-14 00:00:00+00:00,6.4166669845581055,6.458333015441895,6.333333015441895,2.711132764816284,46500,0.0,
1993-05-17 00:00:00+00:00,6.458333015441895,6.5,6.333333015441895,2.711132764816284,267900,0.0,
1993-05-18 00:00:00+00:00,6.333333015441895,6.375,6.25,2.728968381881714,169800,0.0,
1993-05-19 00:00:00+00:00,6.2916669845581055,6.458333015441895,6.2916669845581055,2.7646420001983643,152400,0.0,
1993-05-20 00:00:00+00:00,6.25,6.25,6.0416669845581055,2.675462007522583,1114800,0.0,
1993-05-21 00:00:00+00:00,6.333333015441895,6.5,6.208333015441895,2.675462007522583,100200,0.0,
1993-05-24 00:00:00+00:00,6.1666669845581055,6.1666669845581055,6.0,2.586277484893799,482700,0.0,
1993-05-25 00:00:00+00:00,6.0416669845581055,6.083333015441895,6.0,2.568441867828369,425700,0.0,
1993-05-26 00:00:00+00:00,6.0,6.0416669845581055,5.875,2.514932155609131,58500,0.0,
1993-05-27 00:00:00+00:00,5.7916669845581055,5.9166669845581055,5.7916669845581055,2.497096538543701,291300,0.0,
1993-05-28 00:00:00+00:00,5.833333015441895,6.0,5.833333015441895,2.568441867828369,14100,0.0,
