date,TMV_Open,TMV_High,TMV_Low,TMV_Close,TMV_Volume,TMV_Dividends,TMV_Stock Splits
2009-04-16 00:00:00+00:00,768.0,774.875,760.0,629.3952026367188,2504,0.0,
2009-04-17 00:00:00+00:00,785.75,811.5,783.625,653.0864868164062,4688,0.0,
2009-04-20 00:00:00+00:00,779.5,779.5,756.75,618.2105102539062,2224,0.0,
2009-04-21 00:00:00+00:00,747.5,781.875,732.5,635.2926635742188,1816,0.0,
2009-04-22 00:00:00+00:00,779.25,815.875,779.25,656.7468872070312,2496,0.0,
2009-04-23 00:00:00+00:00,813.125,818.0,798.25,652.27294921875,3448,0.0,
2009-04-24 00:00:00+00:00,825.0,844.75,821.875,679.6248779296875,5248,0.0,
2009-04-27 00:00:00+00:00,821.25,847.875,814.875,665.79638671875,2808,0.0,
2009-04-28 00:00:00+00:00,817.125,875.625,813.0,706.0614013671875,1648,0.0,
2009-04-29 00:00:00+00:00,864.25,940.0,841.875,725.7872924804688,4000,0.0,
2009-04-30 00:00:00+00:00,916.75,924.625,899.375,737.4804077148438,4896,0.0,
2009-05-01 00:00:00+00:00,932.25,944.25,924.875,754.4608154296875,1528,0.0,
2009-05-04 00:00:00+00:00,920.875,937.5,901.875,742.3609619140625,5808,0.0,
2009-05-05 00:00:00+00:00,912.625,930.5,900.0,745.7164306640625,5856,0.0,
2009-05-06 00:00:00+00:00,923.625,933.75,902.5,753.4440307617188,6864,0.0,
2009-05-07 00:00:00+00:00,938.75,1027.75,938.75,824.8229370117188,4152,0.0,
2009-05-08 00:00:00+00:00,1006.875,1016.125,988.375,818.518798828125,3280,0.0,
2009-05-11 00:00:00+00:00,993.75,993.75,952.75,775.0000610351562,3248,0.0,
2009-05-12 00:00:00+00:00,963.375,973.625,933.625,768.6958618164062,2440,0.0,
2009-05-13 00:00:00+00:00,921.25,921.25,900.0,741.140869140625,9920,0.0,
2009-05-14 00:00:00+00:00,919.25,922.625,893.75,729.8544921875,4184,0.0,
2009-05-15 00:00:00+00:00,905.75,917.875,901.0,738.2938232421875,3296,0.0,
2009-05-18 00:00:00+00:00,910.0,956.875,906.125,778.3555297851562,3848,0.0,
2009-05-19 00:00:00+00:00,964.875,976.75,952.75,783.0327758789062,3640,0.0,
2009-05-20 00:00:00+00:00,966.875,978.5,932.375,762.1884765625,5368,0.0,
2009-05-21 00:00:00+00:00,924.5,1037.5,915.0,827.3649291992188,3496,0.0,
2009-05-22 00:00:00+00:00,1044.125,1056.5,1012.5,857.86865234375,4048,0.0,
2009-05-26 00:00:00+00:00,1028.125,1108.25,1026.125,901.4891357421876,6480,0.0,
2009-05-27 00:00:00+00:00,1091.75,1178.25,1089.125,955.7861328125,7696,0.0,
2009-05-28 00:00:00+00:00,1109.5,1177.5,1100.25,906.1664428710938,12184,0.0,
2009-05-29 00:00:00+00:00,1117.5,1117.5,1007.5,822.5860595703125,8952,0.0,
2009-06-01 00:00:00+00:00,1073.0,1128.0,1070.5,904.5394897460938,5672,0.0,
2009-06-02 00:00:00+00:00,1094.625,1118.75,1075.75,883.8985595703125,3688,0.0,
2009-06-03 00:00:00+00:00,1078.5,1088.625,1052.0,860.1057739257812,2928,0.0,
2009-06-04 00:00:00+00:00,1093.125,1142.5,1086.625,916.0293579101562,6648,0.0,
2009-06-05 00:00:00+00:00,1160.75,1169.5,1111.625,941.7542114257812,7400,0.0,
2009-06-08 00:00:00+00:00,1095.25,1172.0,1095.25,953.345703125,3328,0.0,
2009-06-09 00:00:00+00:00,1159.5,1182.5,1137.5,944.49951171875,3800,0.0,
2009-06-10 00:00:00+00:00,1194.125,1296.125,1178.0,1000.5248413085938,12776,0.0,
2009-06-11 00:00:00+00:00,1251.0,1258.25,1163.0,959.6497802734376,13104,0.0,
2009-06-12 00:00:00+00:00,1170.0,1172.625,1120.625,935.5518188476562,6152,0.0,
2009-06-15 00:00:00+00:00,1121.0,1129.5,1100.0,906.1664428710938,4848,0.0,
2009-06-16 00:00:00+00:00,1110.25,1116.625,1049.75,853.9031372070312,6112,0.0,
2009-06-17 00:00:00+00:00,1047.875,1074.0,1016.875,870.9854125976562,6992,0.0,
