date,OEF_Open,OEF_High,OEF_Low,OEF_Close,OEF_Volume,OEF_Dividends,OEF_Stock Splits
2000-10-27 00:00:00+00:00,72.625,72.625,72.4375,46.96226501464844,33000,0.0,
2000-10-30 00:00:00+00:00,72.484375,73.65625,72.484375,47.75241088867188,700,0.0,
2000-10-31 00:00:00+00:00,74.328125,74.375,74.328125,48.218387603759766,3200,0.0,
2000-11-01 00:00:00+00:00,75.0,75.328125,74.59375,48.36022186279297,1600,0.0,
2000-11-02 00:00:00+00:00,75.390625,75.390625,75.3125,48.82618713378906,3800,0.0,
2000-11-03 00:00:00+00:00,75.0,75.390625,75.0,48.82618713378906,4000,0.0,
2000-11-06 00:00:00+00:00,75.59375,76.046875,75.265625,48.97810363769531,16500,0.0,
2000-11-07 00:00:00+00:00,75.171875,76.125,75.171875,49.33266830444336,9200,0.0,
2000-11-08 00:00:00+00:00,74.875,74.875,74.5625,48.339942932128906,1100,0.0,
2000-11-09 00:00:00+00:00,74.09375,74.09375,73.0,47.89421844482422,3800,0.0,
2000-11-10 00:00:00+00:00,73.0,73.0,72.390625,46.93188095092773,2000,0.0,
2000-11-13 00:00:00+00:00,72.390625,72.390625,72.390625,46.93188095092773,0,0.0,
2000-11-14 00:00:00+00:00,72.4375,72.859375,72.4375,47.18513870239258,3500,0.0,
2000-11-15 00:00:00+00:00,73.21875,73.8125,73.21875,47.85371780395508,4100,0.0,
2000-11-16 00:00:00+00:00,73.0,73.0,72.75,47.16485595703125,1800,0.0,
2000-11-17 00:00:00+00:00,73.03125,73.03125,72.296875,46.87108612060547,6000,0.0,
2000-11-20 00:00:00+00:00,72.296875,72.296875,72.296875,46.87108612060547,0,0.0,
2000-11-21 00:00:00+00:00,71.59375,71.703125,71.53125,46.37472534179688,1100,0.0,
2000-11-22 00:00:00+00:00,70.4375,70.5,70.25,45.544090270996094,6600,0.0,
2000-11-24 00:00:00+00:00,70.25,70.25,70.25,45.544090270996094,0,0.0,
2000-11-27 00:00:00+00:00,70.25,70.25,70.25,45.544090270996094,0,0.0,
2000-11-28 00:00:00+00:00,71.875,71.875,71.75,46.516544342041016,3000,0.0,
2000-11-29 00:00:00+00:00,71.5,71.5,71.5,46.354469299316406,23400,0.0,
2000-11-30 00:00:00+00:00,70.0,70.0,68.9375,44.693145751953125,1100,0.0,
2000-12-01 00:00:00+00:00,70.5,70.5,70.46875,45.685882568359375,600,0.0,
2000-12-04 00:00:00+00:00,69.375,70.5625,69.375,45.74668502807617,16500,0.0,
