date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2008-07-15 00:00:00+00:00,337.5,359.0,311.5,322.0,1914,,
2008-07-16 00:00:00+00:00,321.0,356.5,317.5,350.0,750,,
2008-07-17 00:00:00+00:00,355.0,373.0,349.5,363.5,530,,
2008-07-18 00:00:00+00:00,350.5,367.0,350.5,362.5,862,,
2008-07-21 00:00:00+00:00,372.5,372.5,342.0,346.0,558,,
2008-07-22 00:00:00+00:00,341.0,381.5,320.0,374.5,1806,,
2008-07-23 00:00:00+00:00,372.5,416.5,369.5,397.5,1788,,
2008-07-24 00:00:00+00:00,406.0,406.0,361.5,375.5,510,,
2008-07-25 00:00:00+00:00,376.5,376.5,327.5,339.5,1510,,
2008-07-28 00:00:00+00:00,336.5,336.5,313.0,318.5,506,,
2008-07-29 00:00:00+00:00,322.0,355.5,320.0,349.0,1032,,
2008-07-30 00:00:00+00:00,340.5,365.5,330.5,338.5,1018,,
2008-07-31 00:00:00+00:00,333.0,349.5,333.0,335.0,210,,
2008-08-01 00:00:00+00:00,333.5,345.0,325.5,339.5,376,,
2008-08-04 00:00:00+00:00,349.0,349.0,325.0,332.5,248,,
2008-08-05 00:00:00+00:00,325.5,340.0,325.0,327.5,220,,
2008-08-06 00:00:00+00:00,327.0,347.5,327.0,334.5,872,,
2008-08-07 00:00:00+00:00,334.0,335.5,320.0,322.5,378,,
2008-08-08 00:00:00+00:00,341.0,341.0,315.5,323.0,278,,
2008-08-11 00:00:00+00:00,321.0,321.0,300.0,309.5,570,,
2008-08-12 00:00:00+00:00,308.0,309.0,295.0,303.5,638,,
2008-08-13 00:00:00+00:00,308.5,330.0,308.0,314.5,872,,
2008-08-14 00:00:00+00:00,315.5,349.5,314.0,344.0,1730,,
2008-08-15 00:00:00+00:00,345.0,345.5,308.5,317.5,702,,
2008-08-18 00:00:00+00:00,323.5,333.0,307.0,320.0,316,,
2008-08-19 00:00:00+00:00,301.0,336.0,301.0,312.5,316,,
2008-08-20 00:00:00+00:00,306.5,312.5,300.0,309.5,534,,
2008-08-21 00:00:00+00:00,300.0,302.5,289.0,292.5,488,,
2008-08-22 00:00:00+00:00,292.5,300.0,292.5,293.0,242,,
2008-08-25 00:00:00+00:00,293.0,302.0,289.5,291.5,114,,
2008-08-26 00:00:00+00:00,289.5,297.0,289.5,290.5,270,,
2008-08-27 00:00:00+00:00,290.5,304.5,289.5,300.5,354,,
2008-08-28 00:00:00+00:00,298.5,312.5,290.5,308.0,452,,
2008-08-29 00:00:00+00:00,306.5,306.5,296.5,297.5,372,,
2008-09-02 00:00:00+00:00,300.0,319.0,300.0,308.0,704,,
2008-09-03 00:00:00+00:00,311.0,312.0,303.0,311.5,580,,
2008-09-04 00:00:00+00:00,311.5,311.5,292.5,300.0,340,,
2008-09-05 00:00:00+00:00,292.5,295.5,283.0,294.0,174,,
2008-09-08 00:00:00+00:00,294.5,308.0,251.0,267.5,542,,
2008-09-09 00:00:00+00:00,255.0,257.0,233.5,250.0,910,,
2008-09-10 00:00:00+00:00,242.5,250.5,235.5,250.5,748,,
2008-09-11 00:00:00+00:00,240.0,250.5,240.0,250.5,280,,
2008-09-12 00:00:00+00:00,244.5,244.5,236.0,242.5,128,,
2008-09-15 00:00:00+00:00,235.5,241.5,213.0,221.0,678,,
2008-09-16 00:00:00+00:00,216.0,244.0,182.5,238.0,688,,
2008-09-17 00:00:00+00:00,237.5,245.0,202.5,245.0,498,,
2008-09-18 00:00:00+00:00,240.5,255.5,223.0,249.0,458,,
2008-09-19 00:00:00+00:00,260.0,272.5,244.5,259.0,840,,
2008-09-22 00:00:00+00:00,250.0,250.0,230.5,235.5,142,,
2008-09-23 00:00:00+00:00,225.0,239.5,219.5,239.5,138,,
2008-09-24 00:00:00+00:00,227.0,246.5,227.0,246.5,84,,
2008-09-25 00:00:00+00:00,215.0,247.0,212.5,247.0,342,,
2008-09-26 00:00:00+00:00,224.0,246.5,218.0,246.0,444,,
2008-09-29 00:00:00+00:00,213.0,235.0,165.5,200.5,338,,
