date,VOOG_Open,VOOG_High,VOOG_Low,VOOG_Close,VOOG_Volume,VOOG_Dividends,VOOG_Stock Splits
2010-09-09 00:00:00+00:00,50.9900016784668,50.9900016784668,50.83000183105469,42.53534698486328,800,0.0,
2010-09-10 00:00:00+00:00,50.7599983215332,50.95000076293945,50.7599983215332,42.61064529418945,25600,0.0,
2010-09-13 00:00:00+00:00,51.40999984741211,51.61000061035156,51.38999938964844,43.18805313110352,14400,0.0,
2010-09-14 00:00:00+00:00,51.52000045776367,51.900001525878906,51.369998931884766,43.255001068115234,37100,0.0,
2010-09-15 00:00:00+00:00,51.63999938964844,51.77999877929688,51.63999938964844,43.32195663452149,2100,0.0,
2010-09-16 00:00:00+00:00,51.79999923706055,51.90999984741211,51.68999862670898,43.439109802246094,6000,0.0,
2010-09-17 00:00:00+00:00,52.150001525878906,52.18000030517578,51.93000030517578,43.56462097167969,11800,0.0,
2010-09-20 00:00:00+00:00,52.2599983215332,52.2599983215332,52.2599983215332,43.73200607299805,500,0.0,
2010-09-21 00:00:00+00:00,53.040000915527344,53.040000915527344,52.630001068115234,44.04160690307617,6500,0.0,
2010-09-22 00:00:00+00:00,52.56999969482422,52.56999969482422,52.470001220703125,43.90773010253906,300,0.0,
2010-09-23 00:00:00+00:00,52.34000015258789,52.68999862670898,52.34000015258789,43.80730056762695,6900,0.0,
2010-09-24 00:00:00+00:00,52.91999816894531,53.34999847412109,52.91999816894531,44.63574981689453,3600,0.0,
2010-09-27 00:00:00+00:00,53.25,53.25,53.18999862670898,44.51022720336914,3600,0.0,
2010-09-28 00:00:00+00:00,52.869998931884766,53.380001068115234,52.790000915527344,44.6692008972168,12000,0.0,
2010-09-29 00:00:00+00:00,53.119998931884766,53.310001373291016,53.119998931884766,44.476749420166016,15100,0.0,
2010-09-30 00:00:00+00:00,53.54999923706055,53.59999847412109,52.880001068115234,44.40143203735352,20300,0.0,
2010-10-01 00:00:00+00:00,53.43000030517578,53.43000030517578,52.9900016784668,44.50186538696289,204500,0.0,
2010-10-04 00:00:00+00:00,53.09999847412109,53.11000061035156,52.47999954223633,43.91608047485352,14200,0.0,
2010-10-05 00:00:00+00:00,53.2400016784668,53.77000045776367,53.2400016784668,44.98721694946289,14700,0.0,
2010-10-06 00:00:00+00:00,53.790000915527344,53.790000915527344,53.4900016784668,44.8784294128418,58600,0.0,
