date,PB_Open,PB_High,PB_Low,PB_Close,PB_Volume,PB_Dividends,PB_Stock Splits
1998-11-12 00:00:00+00:00,6.25,6.5,6.09375,3.787670612335205,2264600,0.0,
1998-11-13 00:00:00+00:00,6.21875,6.28125,6.15625,3.749603748321533,126200,0.0,
1998-11-16 00:00:00+00:00,6.15625,6.1875,6.03125,3.730570077896118,123000,0.0,
1998-11-17 00:00:00+00:00,6.125,6.125,6.0625,3.6925010681152335,19200,0.0,
1998-11-18 00:00:00+00:00,6.0625,6.0625,6.03125,3.6925010681152335,34200,0.0,
1998-11-19 00:00:00+00:00,6.03125,6.0625,6.03125,3.673469066619873,57400,0.0,
1998-11-20 00:00:00+00:00,6.0625,6.0625,6.03125,3.6925010681152335,63600,0.0,
1998-11-23 00:00:00+00:00,6.0625,6.21875,6.0625,3.787670612335205,6200,0.0,
1998-11-24 00:00:00+00:00,6.21875,6.21875,6.0625,3.730570077896118,21200,0.0,
1998-11-25 00:00:00+00:00,6.1875,6.1875,6.125,3.730570077896118,19200,0.0,
1998-11-27 00:00:00+00:00,6.125,6.125,6.125,3.730570077896118,0,0.0,
1998-11-30 00:00:00+00:00,6.125,6.21875,6.125,3.730570077896118,21800,0.0,
1998-12-01 00:00:00+00:00,6.125,6.1875,6.03125,3.711538314819336,239200,0.0,
1998-12-02 00:00:00+00:00,6.0625,6.125,6.0,3.730570077896118,37600,0.0,
1998-12-03 00:00:00+00:00,6.125,6.125,6.0,3.6544363498687744,31600,0.0,
1998-12-04 00:00:00+00:00,6.0,6.0625,6.0,3.6544363498687744,60000,0.0,
1998-12-07 00:00:00+00:00,6.0,6.125,6.0,3.6925010681152335,4200,0.0,
1998-12-08 00:00:00+00:00,6.0,6.0625,6.0,3.6544363498687744,41600,0.0,
1998-12-09 00:00:00+00:00,6.0625,6.09375,6.0625,3.711538314819336,20800,0.0,
1998-12-10 00:00:00+00:00,6.125,6.25,6.09375,3.768638610839844,41200,0.0,
1998-12-11 00:00:00+00:00,6.25,6.25,6.1875,3.768638610839844,50000,0.0,
1998-12-14 00:00:00+00:00,6.1875,6.1875,6.125,3.730570077896118,5000,0.0,
1998-12-15 00:00:00+00:00,6.09375,6.125,6.09375,3.730570077896118,9400,0.0,
1998-12-16 00:00:00+00:00,6.09375,6.09375,6.09375,3.711538314819336,16200,0.0,
1998-12-17 00:00:00+00:00,6.09375,6.09375,6.09375,3.711538314819336,0,0.0,
1998-12-18 00:00:00+00:00,6.09375,6.25,6.09375,3.806704521179199,10600,0.0,
1998-12-21 00:00:00+00:00,6.25,6.25,6.25,3.806704521179199,3400,0.0,
1998-12-22 00:00:00+00:00,6.1875,6.3125,6.0,3.6544363498687744,109000,0.0,
1998-12-23 00:00:00+00:00,6.0,6.0,6.0,3.6544363498687744,0,0.0,
1998-12-24 00:00:00+00:00,6.0,6.0,6.0,3.6544363498687744,0,0.0,
1998-12-28 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,1200,0.0,
1998-12-29 00:00:00+00:00,6.1875,6.3125,6.1875,3.8447704315185542,30200,0.0,
1998-12-30 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,1200,0.0,
1998-12-31 00:00:00+00:00,6.25,6.25,6.1875,3.768638610839844,12000,0.0,
1999-01-04 00:00:00+00:00,6.1875,6.1875,6.1875,3.768638610839844,200,0.0,
1999-01-05 00:00:00+00:00,6.3125,6.3125,6.25,3.8447704315185542,2000,0.0,
1999-01-06 00:00:00+00:00,6.3125,6.5,6.1875,3.958971261978149,307800,0.0,
1999-01-07 00:00:00+00:00,6.5,6.5625,6.5,3.997037649154663,24400,0.0,
1999-01-08 00:00:00+00:00,6.5,6.5,6.5,3.958971261978149,7400,0.0,
1999-01-11 00:00:00+00:00,6.625,6.625,6.5625,3.997037649154663,1400,0.0,
1999-01-12 00:00:00+00:00,6.5625,6.5625,6.4375,3.920906782150269,11200,0.0,
1999-01-13 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,15800,0.0,
1999-01-14 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,0,0.0,
1999-01-15 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,800,0.0,
1999-01-19 00:00:00+00:00,6.3125,6.375,6.3125,3.8447704315185542,28000,0.0,
1999-01-20 00:00:00+00:00,6.3125,6.3125,6.25,3.806704521179199,4400,0.0,
1999-01-21 00:00:00+00:00,6.25,6.25,6.1875,3.768638610839844,9400,0.0,
1999-01-22 00:00:00+00:00,6.25,6.25,6.1875,3.768638610839844,3000,0.0,
1999-01-25 00:00:00+00:00,6.1875,6.25,6.1875,3.768638610839844,3800,0.0,
1999-01-26 00:00:00+00:00,6.1875,6.21875,6.1875,3.787670612335205,8200,0.0,
1999-01-27 00:00:00+00:00,6.21875,6.21875,6.21875,3.787670612335205,0,0.0,
1999-01-28 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,200,0.0,
1999-01-29 00:00:00+00:00,6.3125,6.3125,6.3125,3.8447704315185542,400,0.0,
1999-02-01 00:00:00+00:00,6.25,6.3125,6.1875,3.768638610839844,6800,0.0,
1999-02-02 00:00:00+00:00,6.1875,6.1875,6.0625,3.6925010681152335,6400,0.0,
1999-02-03 00:00:00+00:00,6.125,6.125,6.125,3.730570077896118,4000,0.0,
1999-02-04 00:00:00+00:00,6.1875,6.1875,6.125,3.730570077896118,40000,0.0,
1999-02-05 00:00:00+00:00,6.125,6.25,6.125,3.806704521179199,125000,0.0,
1999-02-08 00:00:00+00:00,6.25,6.25,6.25,3.806704521179199,1400,0.0,
1999-02-09 00:00:00+00:00,6.25,6.25,6.25,3.806704521179199,0,0.0,
1999-02-10 00:00:00+00:00,6.1875,6.1875,6.1875,3.768638610839844,2000,0.0,
1999-02-11 00:00:00+00:00,6.1875,6.1875,6.1875,3.768638610839844,1200,0.0,
1999-02-12 00:00:00+00:00,6.25,6.25,6.25,3.806704521179199,1400,0.0,
1999-02-16 00:00:00+00:00,6.125,6.125,6.0625,3.6925010681152335,4000,0.0,
1999-02-17 00:00:00+00:00,6.25,6.25,6.25,3.806704521179199,200,0.0,
1999-02-18 00:00:00+00:00,6.0625,6.21875,6.0,3.787670612335205,13200,0.0,
1999-02-19 00:00:00+00:00,6.125,6.125,6.0,3.6925010681152335,43400,0.0,
1999-02-22 00:00:00+00:00,6.09375,6.1875,6.09375,3.768638610839844,1600,0.0,
1999-02-23 00:00:00+00:00,6.1875,6.1875,6.0625,3.6925010681152335,25600,0.0,
1999-02-24 00:00:00+00:00,6.0625,6.140625,6.0625,3.7400870323181152,11400,0.0,
1999-02-25 00:00:00+00:00,6.1875,6.1875,6.1875,3.768638610839844,4000,0.0,
