date,EG_Open,EG_High,EG_Low,EG_Close,EG_Volume,EG_Dividends,EG_Stock Splits
1995-10-03 00:00:00+00:00,18.75,19.875,18.5,12.67348289489746,10364800,0.0,
1995-10-04 00:00:00+00:00,19.5,19.625,18.75,12.10842227935791,1810800,0.0,
1995-10-05 00:00:00+00:00,19.125,19.5,19.0,12.51203727722168,1216500,0.0,
1995-10-06 00:00:00+00:00,19.625,19.875,19.375,12.83492660522461,1538100,0.0,
1995-10-09 00:00:00+00:00,19.875,19.875,19.375,12.51203727722168,869200,0.0,
1995-10-10 00:00:00+00:00,19.375,19.5,19.0,12.431316375732422,840800,0.0,
1995-10-11 00:00:00+00:00,19.375,19.5,19.25,12.51203727722168,630400,0.0,
1995-10-12 00:00:00+00:00,19.375,19.5,19.125,12.51203727722168,519700,0.0,
1995-10-13 00:00:00+00:00,19.5,20.0,19.5,12.915650367736816,557300,0.0,
1995-10-16 00:00:00+00:00,20.125,20.125,19.625,12.754202842712402,188700,0.0,
1995-10-17 00:00:00+00:00,19.75,19.875,19.625,12.754202842712402,244600,0.0,
1995-10-18 00:00:00+00:00,19.625,19.75,19.5,12.67348289489746,152500,0.0,
1995-10-19 00:00:00+00:00,19.5,19.625,19.5,12.67348289489746,180400,0.0,
1995-10-20 00:00:00+00:00,19.625,19.75,19.375,12.59274959564209,298900,0.0,
1995-10-23 00:00:00+00:00,19.25,19.375,19.125,12.431316375732422,731100,0.0,
1995-10-24 00:00:00+00:00,19.375,19.375,19.0,12.26986598968506,670500,0.0,
1995-10-25 00:00:00+00:00,19.125,19.25,19.0,12.26986598968506,749900,0.0,
1995-10-26 00:00:00+00:00,19.125,19.125,19.0,12.26986598968506,810900,0.0,
1995-10-27 00:00:00+00:00,19.0,19.25,19.0,12.431316375732422,460500,0.0,
1995-10-30 00:00:00+00:00,19.375,19.375,19.25,12.431316375732422,76200,0.0,
1995-10-31 00:00:00+00:00,20.75,20.75,19.875,13.157822608947754,2034100,0.0,
1995-11-01 00:00:00+00:00,20.25,20.5,20.0,13.157822608947754,398600,0.0,
1995-11-02 00:00:00+00:00,20.375,20.5,20.375,13.238534927368164,221200,0.0,
1995-11-03 00:00:00+00:00,20.5,20.875,20.375,13.399988174438477,306800,0.0,
1995-11-06 00:00:00+00:00,20.625,21.25,20.625,13.319255828857422,137200,0.0,
1995-11-07 00:00:00+00:00,20.625,20.625,20.375,13.319255828857422,566300,0.0,
1995-11-08 00:00:00+00:00,20.5,20.875,20.5,13.399988174438477,264700,0.0,
1995-11-09 00:00:00+00:00,20.625,20.75,20.625,13.399988174438477,70700,0.0,
1995-11-10 00:00:00+00:00,20.625,20.625,20.375,13.157822608947754,190500,0.0,
1995-11-13 00:00:00+00:00,20.375,20.625,20.375,13.238534927368164,135900,0.0,
1995-11-14 00:00:00+00:00,20.625,20.75,20.5,13.319255828857422,206900,0.0,
1995-11-15 00:00:00+00:00,20.5,20.625,20.25,13.238534927368164,615500,0.0,
1995-11-16 00:00:00+00:00,20.75,21.0,20.375,13.177104949951172,381400,0.03,
1995-11-17 00:00:00+00:00,20.5,20.875,20.375,13.338775634765623,178000,0.0,
1995-11-20 00:00:00+00:00,20.75,21.375,20.5,13.257938385009766,377000,0.0,
1995-11-21 00:00:00+00:00,20.625,20.75,20.5,13.419626235961914,391400,0.0,
1995-11-22 00:00:00+00:00,20.5,20.875,20.5,13.500468254089355,92600,0.0,
1995-11-24 00:00:00+00:00,20.875,20.875,20.75,13.500468254089355,7900,0.0,
1995-11-27 00:00:00+00:00,20.75,21.125,20.625,13.419626235961914,455000,0.0,
1995-11-28 00:00:00+00:00,21.0,21.0,20.75,13.419626235961914,130200,0.0,
1995-11-29 00:00:00+00:00,20.75,20.875,20.75,13.419626235961914,59500,0.0,
1995-11-30 00:00:00+00:00,20.625,21.0,20.625,13.500468254089355,180100,0.0,
1995-12-01 00:00:00+00:00,21.0,21.25,20.875,13.742981910705566,94400,0.0,
1995-12-04 00:00:00+00:00,21.25,21.25,21.0,13.581302642822266,228600,0.0,
1995-12-05 00:00:00+00:00,21.0,21.125,20.875,13.662144660949709,251400,0.0,
1995-12-06 00:00:00+00:00,21.25,21.25,21.0,13.581302642822266,109900,0.0,
1995-12-07 00:00:00+00:00,21.25,21.625,21.25,13.82383155822754,171800,0.0,
1995-12-08 00:00:00+00:00,21.125,21.375,21.0,13.742981910705566,224000,0.0,
1995-12-11 00:00:00+00:00,21.25,21.75,21.25,13.904672622680664,123800,0.0,
1995-12-12 00:00:00+00:00,21.5,21.625,21.25,13.904672622680664,192100,0.0,
1995-12-13 00:00:00+00:00,21.5,21.875,21.375,13.98551082611084,81800,0.0,
1995-12-14 00:00:00+00:00,21.875,22.375,21.875,14.147193908691406,251200,0.0,
1995-12-15 00:00:00+00:00,22.0,22.5,22.0,14.38971710205078,220800,0.0,
1995-12-18 00:00:00+00:00,22.125,22.125,21.875,14.308878898620604,320900,0.0,
1995-12-19 00:00:00+00:00,22.0,23.0,21.875,14.87475872039795,361400,0.0,
1995-12-20 00:00:00+00:00,23.25,23.375,22.375,14.470552444458008,168300,0.0,
1995-12-21 00:00:00+00:00,22.375,23.0,22.375,14.793925285339355,90300,0.0,
1995-12-22 00:00:00+00:00,23.0,23.0,22.625,14.793925285339355,104500,0.0,
1995-12-26 00:00:00+00:00,22.625,23.0,22.625,14.87475872039795,109100,0.0,
1995-12-27 00:00:00+00:00,23.0,23.0,22.75,14.793925285339355,108400,0.0,
1995-12-28 00:00:00+00:00,23.0,23.0,22.625,14.632241249084473,74100,0.0,
1995-12-29 00:00:00+00:00,22.625,23.5,22.625,15.117289543151855,230800,0.0,
1996-01-02 00:00:00+00:00,23.25,23.25,22.25,14.793925285339355,237100,0.0,
1996-01-03 00:00:00+00:00,22.75,22.875,22.5,14.7130765914917,249500,0.0,
1996-01-04 00:00:00+00:00,22.5,22.5,22.0,14.38971710205078,276800,0.0,
1996-01-05 00:00:00+00:00,22.25,22.5,22.25,14.551400184631348,171100,0.0,
1996-01-08 00:00:00+00:00,22.5,22.5,22.25,14.470552444458008,62200,0.0,
1996-01-09 00:00:00+00:00,22.5,22.5,22.0,14.470552444458008,65300,0.0,
1996-01-10 00:00:00+00:00,22.25,22.625,22.125,14.470552444458008,535400,0.0,
