date,BRZU_Open,BRZU_High,BRZU_Low,BRZU_Close,BRZU_Volume,BRZU_Dividends,BRZU_Stock Splits
2013-04-10 00:00:00+00:00,14759.5,14770.0,14752.5,11908.607421875,3,0.0,
2013-04-11 00:00:00+00:00,14770.0,14770.0,14770.0,11908.607421875,0,0.0,
2013-04-12 00:00:00+00:00,14700.0,14700.0,13660.5,11225.69921875,2,0.0,
2013-04-15 00:00:00+00:00,13230.0,13230.0,12330.5,9955.8212890625,2,0.0,
2013-04-16 00:00:00+00:00,12348.0,12348.0,12348.0,9955.8212890625,0,0.0,
2013-04-17 00:00:00+00:00,12211.5,12211.5,12117.0,9803.4375,2,0.0,
2013-04-18 00:00:00+00:00,12159.0,12159.0,12159.0,9803.4375,0,0.0,
2013-04-19 00:00:00+00:00,12159.0,12159.0,12159.0,9803.4375,0,0.0,
2013-04-22 00:00:00+00:00,12159.0,12159.0,12159.0,9803.4375,0,0.0,
2013-04-23 00:00:00+00:00,12159.0,12159.0,12159.0,9803.4375,0,0.0,
2013-04-24 00:00:00+00:00,12159.0,12159.0,12159.0,9803.4375,0,0.0,
2013-04-25 00:00:00+00:00,13352.5,13352.5,13352.5,10765.720703125,1,0.0,
2013-04-26 00:00:00+00:00,13244.0,13244.0,12680.5,10271.87890625,3,0.0,
2013-04-29 00:00:00+00:00,13202.0,13279.0,12257.0,10610.5126953125,10,0.0,
2013-04-30 00:00:00+00:00,13160.0,13160.0,13160.0,10610.5126953125,0,0.0,
2013-05-01 00:00:00+00:00,13139.0,13422.5,13125.0,10652.841796875,5,0.0,
2013-05-02 00:00:00+00:00,13391.0,13464.5,13226.5,10856.0224609375,3,0.0,
2013-05-03 00:00:00+00:00,14122.5,14122.5,13807.5,11132.57421875,2,0.0,
2013-05-06 00:00:00+00:00,13517.0,13517.0,13181.0,10822.1591796875,16,0.0,
2013-05-07 00:00:00+00:00,14038.5,14199.5,13979.0,11296.24609375,3,0.0,
2013-05-08 00:00:00+00:00,14626.5,14626.5,13839.0,11361.1513671875,9,0.0,
2013-05-09 00:00:00+00:00,14374.5,14374.5,13776.0,11107.1748046875,2,0.0,
2013-05-10 00:00:00+00:00,13776.0,13776.0,13776.0,11107.1748046875,0,0.0,
2013-05-13 00:00:00+00:00,13776.0,13776.0,13776.0,11107.1748046875,0,0.0,
2013-05-14 00:00:00+00:00,13482.0,13636.0,13167.0,10678.2412109375,7,0.0,
2013-05-15 00:00:00+00:00,13384.0,13384.0,13100.5,10562.541015625,4,0.0,
2013-05-16 00:00:00+00:00,13405.0,13405.0,13405.0,10808.0498046875,1,0.0,
2013-05-17 00:00:00+00:00,13405.0,13405.0,13405.0,10808.0498046875,0,0.0,
2013-05-20 00:00:00+00:00,13048.0,13601.0,13048.0,10906.81640625,11,0.0,
2013-05-21 00:00:00+00:00,13527.5,13527.5,13527.5,10906.81640625,0,0.0,
2013-05-22 00:00:00+00:00,14115.5,14115.5,13426.0,10892.708984375,14,0.0,
2013-05-23 00:00:00+00:00,12929.0,13342.0,12922.0,10745.9658203125,13,0.0,
2013-05-24 00:00:00+00:00,13072.5,13072.5,13072.5,10539.96484375,1,0.0,
2013-05-28 00:00:00+00:00,13394.5,13615.0,13125.0,10582.29296875,3,0.0,
2013-05-29 00:00:00+00:00,12575.5,12666.5,11553.5,9377.3232421875,21,0.0,
