date,WGO_Open,WGO_High,WGO_Low,WGO_Close,WGO_Volume,WGO_Dividends,WGO_Stock Splits
1973-02-21 00:00:00+00:00,0.0,10.6875,9.5,5.545335292816162,158600,0.0,
1973-02-22 00:00:00+00:00,0.0,9.875,9.5625,5.581814765930176,130400,0.0,
1973-02-23 00:00:00+00:00,0.0,9.625,8.5,4.998097896575928,430800,0.0,
1973-02-26 00:00:00+00:00,0.0,8.8125,8.5625,5.034578800201416,134000,0.0,
1973-02-27 00:00:00+00:00,0.0,8.6875,7.6875,4.669754981994629,137800,0.0,
1973-02-28 00:00:00+00:00,0.0,8.5625,8.0,4.925133228302002,124600,0.0,
1973-03-01 00:00:00+00:00,0.0,8.5,7.9375,4.669754981994629,207400,0.0,
1973-03-02 00:00:00+00:00,0.0,8.1875,7.9375,4.742720603942871,156200,0.0,
1973-03-05 00:00:00+00:00,0.0,8.3125,8.125,4.742720603942871,79000,0.0,
1973-03-06 00:00:00+00:00,0.0,9.125,8.125,5.253476142883301,137800,0.0,
1973-03-07 00:00:00+00:00,0.0,9.3125,8.6875,5.253476142883301,126000,0.0,
1973-03-08 00:00:00+00:00,0.0,9.0625,8.75,5.107544898986816,39000,0.0,
1973-03-09 00:00:00+00:00,0.0,8.75,8.75,5.107544898986816,21400,0.0,
1973-03-12 00:00:00+00:00,0.0,8.75,8.625,5.071060657501221,23200,0.0,
1973-03-13 00:00:00+00:00,0.0,8.625,8.5,4.998097896575928,54000,0.0,
1973-03-14 00:00:00+00:00,0.0,8.625,8.125,4.88864803314209,35200,0.0,
1973-03-15 00:00:00+00:00,0.0,8.3125,8.0625,4.779201507568359,17800,0.0,
1973-03-16 00:00:00+00:00,0.0,8.25,8.0,4.669754981994629,75600,0.0,
1973-03-19 00:00:00+00:00,0.0,8.0625,7.6875,4.523824691772461,40800,0.0,
1973-03-20 00:00:00+00:00,0.0,7.9375,7.6875,4.633273124694824,50400,0.0,
1973-03-21 00:00:00+00:00,0.0,8.1875,7.0625,4.195484638214111,106200,0.0,
1973-03-22 00:00:00+00:00,0.0,7.1875,6.875,4.049553394317627,105600,0.0,
1973-03-23 00:00:00+00:00,0.0,7.375,6.8125,4.159003257751465,113800,0.0,
1973-03-26 00:00:00+00:00,0.0,8.140625,7.25,4.742720603942871,64600,0.0,
1973-03-27 00:00:00+00:00,0.0,8.5625,8.0,4.85216760635376,64800,0.0,
1973-03-28 00:00:00+00:00,0.0,8.3125,7.8125,4.596790313720703,31400,0.0,
1973-03-29 00:00:00+00:00,0.0,7.875,7.0,4.268449306488037,453200,0.0,
1973-03-30 00:00:00+00:00,0.0,7.3125,7.0,4.159003257751465,56600,0.0,
1973-04-02 00:00:00+00:00,0.0,7.3125,7.125,4.159003257751465,26200,0.0,
1973-04-03 00:00:00+00:00,0.0,7.25,7.125,4.159003257751465,22200,0.0,
1973-04-04 00:00:00+00:00,0.0,7.1875,7.0625,4.122518062591553,79800,0.0,
1973-04-05 00:00:00+00:00,0.0,7.125,7.0625,4.122518062591553,15600,0.0,
1973-04-06 00:00:00+00:00,0.0,7.1875,7.0625,4.122518062591553,27800,0.0,
1973-04-09 00:00:00+00:00,0.0,7.1875,6.8125,4.159003257751465,106200,0.0,
1973-04-10 00:00:00+00:00,0.0,7.1875,6.625,3.867142915725708,51600,0.0,
1973-04-11 00:00:00+00:00,0.0,6.6875,6.25,3.757693767547608,91600,0.0,
1973-04-12 00:00:00+00:00,0.0,6.6875,6.25,3.648247003555298,75400,0.0,
1973-04-13 00:00:00+00:00,0.0,6.375,6.125,3.684727907180786,58400,0.0,
1973-04-16 00:00:00+00:00,0.0,6.625,6.375,3.757693767547608,33200,0.0,
1973-04-17 00:00:00+00:00,0.0,6.5625,6.375,3.757693767547608,35000,0.0,
1973-04-18 00:00:00+00:00,0.0,6.75,6.375,3.940105676651001,25000,0.0,
1973-04-19 00:00:00+00:00,0.0,6.6875,6.4375,3.7941761016845694,25000,0.0,
1973-04-23 00:00:00+00:00,0.0,6.4375,6.25,3.648247003555298,26800,0.0,
1973-04-24 00:00:00+00:00,0.0,6.3125,6.0,3.538799524307251,24600,0.0,
1973-04-25 00:00:00+00:00,0.0,6.0625,5.5,3.210456609725952,87400,0.0,
1973-04-26 00:00:00+00:00,0.0,6.0625,5.125,3.538799524307251,143400,0.0,
1973-04-27 00:00:00+00:00,0.0,6.0625,5.4375,3.2834219932556152,38800,0.0,
1973-04-30 00:00:00+00:00,0.0,6.375,5.9375,3.6117639541625977,88400,0.0,
1973-05-01 00:00:00+00:00,0.0,6.25,5.9375,3.6117639541625977,54400,0.0,
1973-05-02 00:00:00+00:00,0.0,6.3125,6.125,3.6117639541625977,35000,0.0,
1973-05-03 00:00:00+00:00,0.0,6.9375,5.75,4.049553394317627,89800,0.0,
1973-05-04 00:00:00+00:00,0.0,6.875,6.4375,3.7941761016845694,46200,0.0,
1973-05-07 00:00:00+00:00,0.0,4.875,4.6875,2.8091490268707275,433800,0.0,
1973-05-08 00:00:00+00:00,0.0,4.8125,4.3125,2.772667646408081,215600,0.0,
1973-05-09 00:00:00+00:00,0.0,4.75,4.5,2.7361836433410645,97200,0.0,
1973-05-10 00:00:00+00:00,0.0,4.625,4.375,2.553772449493408,124000,0.0,
1973-05-11 00:00:00+00:00,0.0,4.4375,4.0,2.3348774909973145,152400,0.0,
1973-05-14 00:00:00+00:00,0.0,3.9375,3.6875,2.225430488586426,228400,0.0,
1973-05-15 00:00:00+00:00,0.0,4.1875,3.75,2.407842874526977,107400,0.0,
1973-05-16 00:00:00+00:00,0.0,4.3125,3.9375,2.444324016571045,80000,0.0,
1973-05-17 00:00:00+00:00,0.0,4.1875,3.875,2.298395156860352,65400,0.0,
1973-05-18 00:00:00+00:00,0.0,3.875,3.75,2.1889476776123047,150400,0.0,
1973-05-21 00:00:00+00:00,0.0,3.625,3.1875,2.1159827709198,196200,0.0,
1973-05-22 00:00:00+00:00,0.0,3.375,2.5,1.4592993259429932,389000,0.0,
1973-05-23 00:00:00+00:00,0.0,3.1875,2.625,1.6417109966278076,400800,0.0,
1973-05-24 00:00:00+00:00,0.0,3.625,3.0,2.0795016288757324,257400,0.0,
