date,KMPR_Open,KMPR_High,KMPR_Low,KMPR_Close,KMPR_Volume,KMPR_Dividends,KMPR_Stock Splits
1990-04-23 00:00:00+00:00,0.0,16.6875,15.4375,4.868833065032959,3044600,0.0,
1990-04-24 00:00:00+00:00,0.0,15.875,15.5625,4.830496311187744,2390600,0.0,
1990-04-25 00:00:00+00:00,0.0,16.5,15.625,5.060518741607666,961400,0.0,
1990-04-26 00:00:00+00:00,0.0,16.625,16.125,5.022181510925293,829000,0.0,
1990-04-27 00:00:00+00:00,0.0,16.375,15.875,4.868833065032959,835000,0.0,
1990-04-30 00:00:00+00:00,0.0,16.0,15.75,4.868833065032959,311400,0.0,
1990-05-01 00:00:00+00:00,0.0,16.0,15.5,4.772988319396973,405000,0.0,
1990-05-02 00:00:00+00:00,0.0,15.75,15.4375,4.753821849822998,1110200,0.0,
1990-05-03 00:00:00+00:00,0.0,15.625,15.25,4.677146911621094,1210400,0.0,
1990-05-04 00:00:00+00:00,0.0,15.5,15.125,4.677146911621094,358600,0.0,
1990-05-07 00:00:00+00:00,0.0,15.375,15.125,4.696316242218018,849800,0.0,
1990-05-08 00:00:00+00:00,0.0,15.375,15.0,4.677146911621094,286200,0.0,
1990-05-09 00:00:00+00:00,0.0,15.25,14.875,4.600474834442139,200000,0.0,
1990-05-10 00:00:00+00:00,0.0,15.125,14.9375,4.600474834442139,342000,0.0,
1990-05-11 00:00:00+00:00,0.0,15.25,14.9375,4.677146911621094,1410600,0.0,
1990-05-14 00:00:00+00:00,0.0,15.75,15.125,4.792159080505371,1316200,0.0,
1990-05-15 00:00:00+00:00,0.0,15.8125,15.5,4.830496311187744,458800,0.0,
1990-05-16 00:00:00+00:00,0.0,15.75,15.5,4.753821849822998,211400,0.0,
1990-05-17 00:00:00+00:00,0.0,16.375,15.5,5.022181510925293,545600,0.0,
1990-05-18 00:00:00+00:00,0.0,16.625,16.25,5.060518741607666,620000,0.0,
1990-05-21 00:00:00+00:00,0.0,16.625,16.375,5.041351318359375,310200,0.0,
1990-05-22 00:00:00+00:00,0.0,16.5,16.25,5.060518741607666,391800,0.0,
1990-05-23 00:00:00+00:00,0.0,16.5,16.125,4.983845233917236,339800,0.0,
1990-05-24 00:00:00+00:00,0.0,16.375,16.0,4.926339626312256,437800,0.0,
1990-05-25 00:00:00+00:00,0.0,16.125,15.875,4.907172203063965,981000,0.0,
1990-05-29 00:00:00+00:00,0.0,16.0,15.75,4.868833065032959,527200,0.0,
1990-05-30 00:00:00+00:00,0.0,16.0,15.75,4.849664211273193,431400,0.0,
1990-05-31 00:00:00+00:00,0.0,15.875,15.75,4.830496311187744,179200,0.0,
1990-06-01 00:00:00+00:00,0.0,15.875,15.75,4.849664211273193,1195800,0.0,
1990-06-04 00:00:00+00:00,0.0,16.0,15.8125,4.907172203063965,1166600,0.0,
1990-06-05 00:00:00+00:00,0.0,16.25,16.0,4.945508003234863,406000,0.0,
1990-06-06 00:00:00+00:00,0.0,16.25,16.0625,4.983845233917236,392200,0.0,
1990-06-07 00:00:00+00:00,0.0,16.625,16.125,5.060518741607666,369200,0.0,
1990-06-08 00:00:00+00:00,0.0,16.5,16.25,5.060518741607666,203200,0.0,
1990-06-11 00:00:00+00:00,0.0,16.8125,16.25,5.060518741607666,99200,0.0,
