date,PNFP_Open,PNFP_High,PNFP_Low,PNFP_Close,PNFP_Volume,PNFP_Dividends,PNFP_Stock Splits
2000-08-22 00:00:00+00:00,4.75,4.75,4.75,4.235482692718506,23400,0.0,
2000-08-23 00:00:00+00:00,4.75,4.8125,4.75,4.29121208190918,39000,0.0,
2000-08-24 00:00:00+00:00,4.75,4.8125,4.75,4.235482692718506,29800,0.0,
2000-08-25 00:00:00+00:00,4.75,4.8125,4.75,4.263347148895264,32000,0.0,
2000-08-28 00:00:00+00:00,4.78125,4.78125,4.75,4.235482692718506,19000,0.0,
2000-08-29 00:00:00+00:00,4.625,4.8125,4.625,4.124021530151367,23200,0.0,
2000-08-30 00:00:00+00:00,4.6875,4.6875,4.625,4.124021530151367,21200,0.0,
2000-08-31 00:00:00+00:00,4.625,4.6875,4.625,4.179751873016357,34800,0.0,
2000-09-01 00:00:00+00:00,4.625,4.75,4.625,4.124021530151367,18200,0.0,
2000-09-05 00:00:00+00:00,4.625,4.625,4.5,4.01256275177002,3000,0.0,
2000-09-06 00:00:00+00:00,4.5,4.5,4.5,4.01256275177002,8000,0.0,
2000-09-07 00:00:00+00:00,4.5,4.71875,4.5,4.2076191902160645,3200,0.0,
2000-09-08 00:00:00+00:00,4.71875,4.71875,4.53125,4.040427207946777,8600,0.0,
2000-09-11 00:00:00+00:00,4.71875,4.71875,4.5,4.01256275177002,17600,0.0,
2000-09-12 00:00:00+00:00,4.71875,4.71875,4.5,4.01256275177002,5000,0.0,
2000-09-13 00:00:00+00:00,4.5,4.5,4.5,4.01256275177002,0,0.0,
2000-09-14 00:00:00+00:00,4.71875,4.71875,4.5,4.01256275177002,12000,0.0,
2000-09-15 00:00:00+00:00,4.5,4.5,4.5,4.01256275177002,0,0.0,
2000-09-18 00:00:00+00:00,4.625,4.625,4.5,4.124021530151367,8600,0.0,
2000-09-19 00:00:00+00:00,4.625,4.71875,4.25,3.78964114189148,48400,0.0,
2000-09-20 00:00:00+00:00,4.25,4.25,4.25,3.78964114189148,0,0.0,
2000-09-21 00:00:00+00:00,4.0,4.0,3.75,3.3438024520874023,12000,0.0,
2000-09-22 00:00:00+00:00,3.5625,3.5625,3.0,3.120882749557495,28800,0.0,
2000-09-25 00:00:00+00:00,3.6875,3.75,3.6875,3.3438024520874023,9000,0.0,
2000-09-26 00:00:00+00:00,3.75,3.75,3.75,3.3438024520874023,0,0.0,
2000-09-27 00:00:00+00:00,4.125,4.125,4.0,3.5667223930358887,6400,0.0,
2000-09-28 00:00:00+00:00,4.0,4.0,4.0,3.5667223930358887,0,0.0,
2000-09-29 00:00:00+00:00,4.0,4.0,4.0,3.5667223930358887,0,0.0,
