date,WCC_Open,WCC_High,WCC_Low,WCC_Close,WCC_Volume,WCC_Dividends,WCC_Stock Splits
1999-05-12 00:00:00+00:00,20.0,20.8125,19.625,19.716550827026367,4504800,0.0,
1999-05-13 00:00:00+00:00,20.0,21.25,19.75,20.763994216918945,417900,0.0,
1999-05-14 00:00:00+00:00,21.1875,21.1875,19.25,19.83978271484375,308800,0.0,
1999-05-17 00:00:00+00:00,20.25,20.375,19.75,19.716550827026367,147400,0.0,
1999-05-18 00:00:00+00:00,20.375,20.5,19.0,19.346866607666016,236900,0.0,
1999-05-19 00:00:00+00:00,19.875,20.25,19.5,19.28525161743164,140100,0.0,
1999-05-20 00:00:00+00:00,19.8125,19.9375,19.6875,19.593324661254883,75200,0.0,
1999-05-21 00:00:00+00:00,19.8125,20.125,19.8125,19.716550827026367,57800,0.0,
1999-05-24 00:00:00+00:00,20.125,20.5,20.0,19.963010787963867,60300,0.0,
1999-05-25 00:00:00+00:00,20.25,20.375,20.0,19.716550827026367,120900,0.0,
1999-05-26 00:00:00+00:00,19.875,19.875,19.1875,19.10041236877441,91700,0.0,
1999-05-27 00:00:00+00:00,19.4375,19.4375,18.875,18.66911125183105,224600,0.0,
1999-05-28 00:00:00+00:00,18.9375,19.8125,18.9375,19.53171157836914,155900,0.0,
1999-06-01 00:00:00+00:00,19.5625,19.5625,19.3125,19.2236385345459,13300,0.0,
1999-06-02 00:00:00+00:00,19.3125,19.4375,19.25,19.03879737854004,27200,0.0,
1999-06-03 00:00:00+00:00,19.3125,19.625,19.3125,19.10041236877441,81500,0.0,
1999-06-04 00:00:00+00:00,19.25,19.4375,19.25,19.03879737854004,84300,0.0,
1999-06-07 00:00:00+00:00,19.375,19.5,19.3125,19.2236385345459,28100,0.0,
1999-06-08 00:00:00+00:00,19.375,20.0,19.375,19.67034339904785,59500,0.0,
1999-06-09 00:00:00+00:00,19.5,19.9375,19.375,19.654937744140625,65900,0.0,
1999-06-10 00:00:00+00:00,19.9375,20.0,19.625,19.346866607666016,67400,0.0,
1999-06-11 00:00:00+00:00,19.625,19.625,19.1875,19.346866607666016,104900,0.0,
1999-06-14 00:00:00+00:00,19.5,19.5,18.375,18.114582061767575,88900,0.0,
1999-06-15 00:00:00+00:00,18.25,18.375,17.875,17.62166976928711,241700,0.0,
1999-06-16 00:00:00+00:00,18.0,18.0,17.75,17.49843978881836,12000,0.0,
1999-06-17 00:00:00+00:00,18.0,18.0,17.875,17.744897842407227,49700,0.0,
1999-06-18 00:00:00+00:00,17.875,17.9375,17.625,17.375213623046875,10500,0.0,
1999-06-21 00:00:00+00:00,17.625,17.6875,17.5,17.436826705932617,19000,0.0,
1999-06-22 00:00:00+00:00,17.625,18.125,17.625,17.868125915527344,32600,0.0,
1999-06-23 00:00:00+00:00,18.0,18.125,17.875,17.8065128326416,52000,0.0,
1999-06-24 00:00:00+00:00,18.0,18.0,17.625,17.375213623046875,92000,0.0,
1999-06-25 00:00:00+00:00,17.5625,18.0,17.5625,17.49843978881836,114000,0.0,
1999-06-28 00:00:00+00:00,17.6875,18.0625,17.6875,17.744897842407227,44900,0.0,
1999-06-29 00:00:00+00:00,18.0,18.25,17.9375,17.868125915527344,104400,0.0,
1999-06-30 00:00:00+00:00,18.0,20.5,18.0,20.2094669342041,210600,0.0,
1999-07-01 00:00:00+00:00,20.25,20.25,19.0,19.28525161743164,158200,0.0,
1999-07-02 00:00:00+00:00,19.4375,20.0,19.375,19.716550827026367,44700,0.0,
1999-07-06 00:00:00+00:00,20.25,22.1875,20.1875,21.873048782348636,112000,0.0,
1999-07-07 00:00:00+00:00,22.25,22.375,21.1875,21.380136489868164,88300,0.0,
