date,CGA_Open,CGA_High,CGA_Low,CGA_Close,CGA_Volume,CGA_Dividends,CGA_Stock Splits
2008-04-16 00:00:00+00:00,240.0,240.0,240.0,229.0909118652344,8,0.0,
2008-04-17 00:00:00+00:00,288.0,288.0,288.0,274.9090881347656,8,0.0,
2008-04-18 00:00:00+00:00,288.0,288.0,288.0,274.9090881347656,8,0.0,
2008-04-21 00:00:00+00:00,288.0,288.0,288.0,274.9090881347656,8,0.0,
2008-04-22 00:00:00+00:00,288.0,312.0,282.0,297.81817626953125,42,0.0,
2008-04-23 00:00:00+00:00,312.0,312.0,312.0,297.81817626953125,0,0.0,
2008-04-24 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,8,0.0,
2008-04-25 00:00:00+00:00,360.0,360.0,360.0,343.6363525390625,17,0.0,
2008-04-28 00:00:00+00:00,360.0,360.0,360.0,343.6363525390625,0,0.0,
2008-04-29 00:00:00+00:00,360.0,360.0,360.0,343.6363525390625,17,0.0,
2008-04-30 00:00:00+00:00,360.0,360.0,336.0,320.7272644042969,50,0.0,
2008-05-01 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-02 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-05 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-06 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-07 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-08 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-09 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-12 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-13 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-14 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-15 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-16 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-19 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-20 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-21 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-22 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-23 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-27 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-28 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-29 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-05-30 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-06-02 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-06-03 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-06-04 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-06-05 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
2008-06-06 00:00:00+00:00,336.0,336.0,336.0,320.7272644042969,0,0.0,
