date,SRS_Open,SRS_High,SRS_Low,SRS_Close,SRS_Volume,SRS_Dividends,SRS_Stock Splits
2007-02-01 00:00:00+00:00,8332.7998046875,8340.0,8244.0,6831.1083984375,10,0.0,
2007-02-02 00:00:00+00:00,8257.2001953125,8269.2001953125,8176.7998046875,6775.42578125,23,0.0,
2007-02-05 00:00:00+00:00,8161.2001953125,8173.2001953125,8127.60009765625,6760.51123046875,43,0.0,
2007-02-06 00:00:00+00:00,8046.0,8079.60009765625,7935.60009765625,6575.56298828125,58,0.0,
2007-02-07 00:00:00+00:00,7992.0,7992.0,7665.60009765625,6351.83740234375,62,0.0,
2007-02-08 00:00:00+00:00,7740.0,7802.39990234375,7636.7998046875,6463.203125,507,0.0,
2007-02-09 00:00:00+00:00,7766.39990234375,8311.2001953125,7748.39990234375,6640.1962890625,267,0.0,
2007-02-12 00:00:00+00:00,8170.7998046875,8340.0,8170.7998046875,6890.76904296875,414,0.0,
2007-02-13 00:00:00+00:00,8323.2001953125,8630.400390625,8022.0,6647.15576171875,498,0.0,
2007-02-14 00:00:00+00:00,8128.7998046875,8128.7998046875,7980.0,6715.7646484375,174,0.0,
2007-02-15 00:00:00+00:00,8088.0,8096.39990234375,7911.60009765625,6624.28515625,118,0.0,
2007-02-16 00:00:00+00:00,8034.0,8193.599609375,8034.0,6704.826171875,173,0.0,
2007-02-20 00:00:00+00:00,8108.39990234375,8172.0,7908.0,6573.5751953125,2094,0.0,
2007-02-21 00:00:00+00:00,7986.0,8055.60009765625,7986.0,6632.2412109375,680,0.0,
2007-02-22 00:00:00+00:00,7980.0,8128.7998046875,7972.7998046875,6705.822265625,453,0.0,
2007-02-23 00:00:00+00:00,8169.60009765625,8361.599609375,8169.60009765625,6921.59375,499,0.0,
2007-02-26 00:00:00+00:00,8304.0,8724.0,8301.599609375,7013.0732421875,787,0.0,
2007-02-27 00:00:00+00:00,8634.0,9060.0,8634.0,7507.2578125,654,0.0,
2007-02-28 00:00:00+00:00,8880.0,9480.0,8673.599609375,7407.8251953125,189,0.0,
2007-03-01 00:00:00+00:00,9318.0,9372.0,8812.7998046875,7390.91943359375,163,0.0,
2007-03-02 00:00:00+00:00,9140.400390625,9960.0,9012.0,7735.9560546875,787,0.0,
2007-03-05 00:00:00+00:00,9720.0,10063.2001953125,9577.2001953125,8307.7001953125,673,0.0,
2007-03-06 00:00:00+00:00,9690.0,9702.0,9294.0,7780.703125,572,0.0,
2007-03-07 00:00:00+00:00,9420.0,9657.599609375,9274.7998046875,8002.4384765625,457,0.0,
2007-03-08 00:00:00+00:00,9348.0,9406.7998046875,9190.7998046875,7760.81494140625,797,0.0,
2007-03-09 00:00:00+00:00,9174.0,9279.599609375,9085.2001953125,7596.74853515625,458,0.0,
2007-03-12 00:00:00+00:00,9198.0,9264.0,8941.2001953125,7521.17919921875,252,0.0,
