date,LCII_Open,LCII_High,LCII_Low,LCII_Close,LCII_Volume,LCII_Dividends,LCII_Stock Splits
1985-05-29 00:00:00+00:00,0.0,3.125,2.8125,1.8174076080322263,36960,0.0,
1985-05-30 00:00:00+00:00,0.0,3.125,2.8125,1.8174076080322263,63040,0.0,
1985-05-31 00:00:00+00:00,0.0,3.125,2.8125,1.8174076080322263,29320,0.0,
1985-06-03 00:00:00+00:00,0.0,3.125,2.8125,1.8174076080322263,27640,0.0,
1985-06-04 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,32720,0.0,
1985-06-05 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,5360,0.0,
1985-06-06 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,5800,0.0,
1985-06-07 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,22040,0.0,
1985-06-10 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,21080,0.0,
1985-06-11 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,5840,0.0,
1985-06-12 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,4400,0.0,
1985-06-13 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,46640,0.0,
1985-06-14 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,2360,0.0,
1985-06-17 00:00:00+00:00,0.0,2.8125,2.8125,1.8174076080322263,11320,0.0,
1985-06-18 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,62240,0.0,
1985-06-19 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,17600,0.0,
1985-06-20 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,21560,0.0,
1985-06-21 00:00:00+00:00,0.0,2.8125,2.5,1.615472674369812,14000,0.0,
1985-06-24 00:00:00+00:00,0.0,2.5,2.1875,1.4135388135910034,14360,0.0,
1985-06-25 00:00:00+00:00,0.0,2.5,2.1875,1.4135388135910034,4200,0.0,
1985-06-26 00:00:00+00:00,0.0,2.5,2.1875,1.4135388135910034,43320,0.0,
1985-06-27 00:00:00+00:00,0.0,2.5,2.5,1.615472674369812,9320,0.0,
1985-06-28 00:00:00+00:00,0.0,2.5,2.5,1.615472674369812,17280,0.0,
1985-07-01 00:00:00+00:00,0.0,2.5,2.1875,1.4135388135910034,23480,0.0,
1985-07-02 00:00:00+00:00,0.0,2.5,2.1875,1.4135388135910034,13600,0.0,
1985-07-03 00:00:00+00:00,0.0,2.1875,2.1875,1.4135388135910034,2760,0.0,
1985-07-05 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,9120,0.0,
1985-07-08 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,80720,0.0,
1985-07-09 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,77080,0.0,
1985-07-10 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,11240,0.0,
1985-07-11 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,8400,0.0,
1985-07-12 00:00:00+00:00,0.0,2.1875,2.1875,1.4135388135910034,6320,0.0,
1985-07-15 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,10960,0.0,
1985-07-16 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,9440,0.0,
1985-07-17 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,4920,0.0,
1985-07-18 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,7320,0.0,
1985-07-19 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,2120,0.0,
1985-07-22 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,7440,0.0,
1985-07-23 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,9160,0.0,
1985-07-24 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,5840,0.0,
1985-07-25 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,7640,0.0,
1985-07-26 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,5040,0.0,
1985-07-29 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,5640,0.0,
1985-07-30 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,17440,0.0,
1985-07-31 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,21440,0.0,
1985-08-01 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,3240,0.0,
1985-08-02 00:00:00+00:00,0.0,2.1875,1.875,1.4135388135910034,4320,0.0,
1985-08-05 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,10480,0.0,
1985-08-06 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,14080,0.0,
1985-08-07 00:00:00+00:00,0.0,2.1875,1.875,1.2116050720214844,2480,0.0,
