date,APTO_Open,APTO_High,APTO_Low,APTO_Close,APTO_Volume,APTO_Dividends,APTO_Stock Splits
1992-03-16 00:00:00+00:00,0.0,2070.0,1890.0,1890.0,47,,
1992-03-17 00:00:00+00:00,1890.0,1890.0,1890.0,1890.0,0,,
1992-03-18 00:00:00+00:00,0.0,2070.0,1890.0,1890.0,6,,
1992-03-19 00:00:00+00:00,1890.0,1890.0,1890.0,1890.0,0,,
1992-03-20 00:00:00+00:00,1890.0,1890.0,1890.0,1890.0,0,,
1992-03-23 00:00:00+00:00,0.0,1845.0,1620.0,1620.0,31,,
1992-03-24 00:00:00+00:00,0.0,1845.0,1620.0,1620.0,11,,
1992-03-25 00:00:00+00:00,1620.0,1620.0,1620.0,1620.0,0,,
1992-03-26 00:00:00+00:00,1620.0,1620.0,1620.0,1620.0,0,,
1992-03-27 00:00:00+00:00,0.0,1845.0,1620.0,1620.0,4,,
1992-03-30 00:00:00+00:00,0.0,1665.0,1485.0,1485.0,12,,
1992-03-31 00:00:00+00:00,1485.0,1485.0,1485.0,1485.0,0,,
1992-04-01 00:00:00+00:00,0.0,1620.0,1395.0,1395.0,3,,
1992-04-02 00:00:00+00:00,0.0,1665.0,1440.0,1440.0,1,,
1992-04-03 00:00:00+00:00,0.0,1620.0,1350.0,1350.0,2,,
1992-04-06 00:00:00+00:00,0.0,1395.0,1125.0,1125.0,17,,
1992-04-07 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,0,,
1992-04-08 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,0,,
1992-04-09 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,0,,
1992-04-10 00:00:00+00:00,0.0,1350.0,1125.0,1125.0,3,,
1992-04-13 00:00:00+00:00,0.0,1350.0,1125.0,1125.0,1,,
1992-04-14 00:00:00+00:00,0.0,1350.0,1125.0,1125.0,2,,
1992-04-15 00:00:00+00:00,0.0,1260.0,1125.0,1125.0,8,,
1992-04-16 00:00:00+00:00,0.0,1260.0,1125.0,1125.0,0,,
1992-04-20 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,0,,
1992-04-21 00:00:00+00:00,0.0,1080.0,810.0,810.0,14,,
1992-04-22 00:00:00+00:00,810.0,810.0,810.0,810.0,0,,
1992-04-23 00:00:00+00:00,0.0,1125.0,855.0,855.0,7,,
1992-04-24 00:00:00+00:00,855.0,855.0,855.0,855.0,0,,
