date,IAI_Open,IAI_High,IAI_Low,IAI_Close,IAI_Volume,IAI_Dividends,IAI_Stock Splits
2006-05-05 00:00:00+00:00,50.869998931884766,51.02999877929688,50.869998931884766,38.66634368896485,600,0.0,
2006-05-08 00:00:00+00:00,51.2599983215332,51.29999923706055,51.02999877929688,38.68907165527344,28200,0.0,
2006-05-09 00:00:00+00:00,51.11000061035156,51.18000030517578,50.959999084472656,38.704227447509766,15100,0.0,
2006-05-10 00:00:00+00:00,50.970001220703125,51.0099983215332,50.5099983215332,38.590579986572266,33200,0.0,
2006-05-11 00:00:00+00:00,51.0099983215332,51.0099983215332,49.59000015258789,37.57523727416992,107300,0.0,
2006-05-12 00:00:00+00:00,49.34000015258789,49.5,48.720001220703125,36.93116760253906,552100,0.0,
2006-05-15 00:00:00+00:00,48.400001525878906,48.400001525878906,47.38999938964844,35.90824890136719,70500,0.0,
2006-05-16 00:00:00+00:00,48.0,48.060001373291016,47.91999816894531,36.309844970703125,105800,0.0,
2006-05-17 00:00:00+00:00,47.25,47.25,45.9900016784668,35.0141487121582,310500,0.0,
2006-05-18 00:00:00+00:00,46.75,46.75,45.7599983215332,34.67317199707031,943700,0.0,
2006-05-19 00:00:00+00:00,45.95000076293945,46.560001373291016,45.70000076293945,35.15812301635742,854300,0.0,
2006-05-22 00:00:00+00:00,45.68999862670898,45.75,44.43999862670898,34.233699798583984,825000,0.0,
2006-05-23 00:00:00+00:00,45.59000015258789,46.02999877929688,44.7599983215332,33.91545486450195,500300,0.0,
2006-05-24 00:00:00+00:00,44.52000045776367,45.04999923706055,43.220001220703125,33.61236953735352,339700,0.0,
2006-05-25 00:00:00+00:00,45.06999969482422,45.59000015258789,44.560001373291016,34.498905181884766,1004700,0.0,
2006-05-26 00:00:00+00:00,46.31999969482422,46.43999862670898,45.79999923706055,35.14297103881836,22600,0.0,
2006-05-30 00:00:00+00:00,46.09000015258789,46.09000015258789,45.0099983215332,34.10487747192383,272600,0.0,
2006-05-31 00:00:00+00:00,45.27000045776367,45.72999954223633,45.27000045776367,34.65044403076172,64900,0.0,
2006-06-01 00:00:00+00:00,45.810001373291016,46.45000076293945,45.58000183105469,35.18842315673828,1531800,0.0,
2006-06-02 00:00:00+00:00,47.29999923706055,47.43000030517578,46.45000076293945,35.33998107910156,1308700,0.0,
2006-06-05 00:00:00+00:00,46.43000030517578,46.66999816894531,45.209999084472656,34.27914810180664,152300,0.0,
