date,KNW_Open,KNW_High,KNW_Low,KNW_Close,KNW_Volume,KNW_Dividends,KNW_Stock Splits
2006-04-18 00:00:00+00:00,165.0,165.0,151.5,151.5,143,,
2006-04-19 00:00:00+00:00,157.5,165.0,156.0,165.0,253,,
2006-04-20 00:00:00+00:00,172.5,180.0,163.5,178.5,214,,
2006-04-21 00:00:00+00:00,178.5,178.5,165.0,165.0,80,,
2006-04-24 00:00:00+00:00,165.0,165.0,165.0,165.0,47,,
2006-04-25 00:00:00+00:00,165.0,165.0,165.0,165.0,13,,
2006-04-26 00:00:00+00:00,165.0,165.0,156.0,156.0,48,,
2006-04-27 00:00:00+00:00,172.5,172.5,172.5,172.5,20,,
2006-04-28 00:00:00+00:00,171.0,171.0,171.0,171.0,3,,
2006-05-01 00:00:00+00:00,171.0,177.0,169.5,177.0,227,,
2006-05-02 00:00:00+00:00,177.0,195.0,177.0,189.0,431,,
2006-05-03 00:00:00+00:00,180.0,180.0,178.5,180.0,127,,
2006-05-04 00:00:00+00:00,186.0,186.0,186.0,186.0,13,,
2006-05-05 00:00:00+00:00,180.0,186.0,177.0,186.0,147,,
2006-05-08 00:00:00+00:00,189.0,189.0,183.0,183.0,233,,
2006-05-09 00:00:00+00:00,183.0,183.0,180.0,180.0,73,,
2006-05-10 00:00:00+00:00,183.0,183.0,183.0,183.0,7,,
2006-05-11 00:00:00+00:00,181.5,183.0,180.0,183.0,180,,
2006-05-12 00:00:00+00:00,181.5,187.5,172.5,187.5,43,,
2006-05-15 00:00:00+00:00,187.5,187.5,187.5,187.5,0,,
2006-05-16 00:00:00+00:00,187.5,187.5,187.5,187.5,13,,
2006-05-17 00:00:00+00:00,174.0,174.0,172.5,172.5,17,,
2006-05-18 00:00:00+00:00,187.5,187.5,172.5,172.5,18,,
2006-05-19 00:00:00+00:00,186.0,186.0,174.0,174.0,11,,
2006-05-22 00:00:00+00:00,174.0,174.0,172.5,172.5,15,,
2006-05-23 00:00:00+00:00,172.5,172.5,165.0,172.5,53,,
2006-05-24 00:00:00+00:00,172.5,172.5,172.5,172.5,3,,
2006-05-25 00:00:00+00:00,172.5,172.5,165.0,165.0,13,,
2006-05-26 00:00:00+00:00,165.0,165.0,165.0,165.0,0,,
2006-05-30 00:00:00+00:00,160.5,162.0,160.5,162.0,33,,
2006-05-31 00:00:00+00:00,159.0,159.0,156.0,157.5,167,,
2006-06-01 00:00:00+00:00,172.5,172.5,165.0,165.0,20,,
2006-06-02 00:00:00+00:00,157.5,157.5,157.5,157.5,7,,
2006-06-05 00:00:00+00:00,157.5,157.5,157.5,157.5,0,,
2006-06-06 00:00:00+00:00,157.5,157.5,157.5,157.5,10,,
2006-06-07 00:00:00+00:00,165.0,165.0,165.0,165.0,3,,
2006-06-08 00:00:00+00:00,157.5,157.5,157.5,157.5,30,,
2006-06-09 00:00:00+00:00,156.0,156.0,156.0,156.0,13,,
2006-06-12 00:00:00+00:00,157.5,157.5,157.5,157.5,17,,
2006-06-13 00:00:00+00:00,157.5,157.5,157.5,157.5,0,,
2006-06-14 00:00:00+00:00,157.5,172.5,157.5,172.5,83,,
2006-06-15 00:00:00+00:00,172.5,172.5,172.5,172.5,82,,
2006-06-16 00:00:00+00:00,172.5,172.5,172.5,172.5,57,,
2006-06-19 00:00:00+00:00,165.0,165.0,156.0,156.0,60,,
2006-06-20 00:00:00+00:00,120.0,121.5,120.0,121.5,13,,
2006-06-21 00:00:00+00:00,121.5,121.5,121.5,121.5,0,,
2006-06-22 00:00:00+00:00,154.5,154.5,154.5,154.5,7,,
2006-06-23 00:00:00+00:00,156.0,156.0,150.0,150.0,15,,
2006-06-26 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2006-06-27 00:00:00+00:00,142.5,142.5,142.5,142.5,20,,
2006-06-28 00:00:00+00:00,121.5,150.0,121.5,142.5,30,,
2006-06-29 00:00:00+00:00,142.5,142.5,142.5,142.5,0,,
2006-06-30 00:00:00+00:00,142.5,142.5,142.5,142.5,7,,
2006-07-03 00:00:00+00:00,142.5,142.5,142.5,142.5,0,,
2006-07-05 00:00:00+00:00,142.5,142.5,142.5,142.5,0,,
2006-07-06 00:00:00+00:00,142.5,142.5,142.5,142.5,7,,
2006-07-07 00:00:00+00:00,144.0,144.0,144.0,144.0,7,,
2006-07-10 00:00:00+00:00,144.0,144.0,142.5,144.0,27,,
2006-07-11 00:00:00+00:00,142.5,145.5,135.0,142.5,80,,
2006-07-12 00:00:00+00:00,142.5,142.5,142.5,142.5,7,,
2006-07-13 00:00:00+00:00,127.5,127.5,127.5,127.5,13,,
2006-07-14 00:00:00+00:00,127.5,142.5,127.5,142.5,64,,
2006-07-17 00:00:00+00:00,135.0,135.0,135.0,135.0,17,,
2006-07-18 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-19 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-20 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-21 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-24 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-25 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-26 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2006-07-27 00:00:00+00:00,150.0,150.0,150.0,150.0,7,,
2006-07-28 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2006-07-31 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2006-08-01 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2006-08-02 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2006-08-03 00:00:00+00:00,150.0,150.0,150.0,150.0,7,,
2006-08-04 00:00:00+00:00,120.0,150.0,120.0,120.0,57,,
2006-08-07 00:00:00+00:00,120.0,127.5,120.0,120.0,17,,
2006-08-08 00:00:00+00:00,120.0,120.0,120.0,120.0,13,,
2006-08-09 00:00:00+00:00,120.0,120.0,112.5,112.5,67,,
2006-08-10 00:00:00+00:00,97.5,97.5,97.5,97.5,14,,
2006-08-11 00:00:00+00:00,97.5,97.5,97.5,97.5,17,,
2006-08-14 00:00:00+00:00,97.5,97.5,97.5,97.5,17,,
2006-08-15 00:00:00+00:00,97.5,97.5,97.5,97.5,0,,
2006-08-16 00:00:00+00:00,97.5,97.5,97.5,97.5,0,,
2006-08-17 00:00:00+00:00,97.5,97.5,97.5,97.5,0,,
2006-08-18 00:00:00+00:00,97.5,97.5,97.5,97.5,0,,
2006-08-21 00:00:00+00:00,97.5,97.5,97.5,97.5,0,,
2006-08-22 00:00:00+00:00,97.5,97.5,97.5,97.5,7,,
2006-08-23 00:00:00+00:00,97.5,97.5,90.0,90.0,46,,
2006-08-24 00:00:00+00:00,90.0,90.0,90.0,90.0,0,,
2006-08-25 00:00:00+00:00,90.0,90.0,90.0,90.0,0,,
2006-08-28 00:00:00+00:00,90.0,90.0,90.0,90.0,33,,
2006-08-29 00:00:00+00:00,90.0,91.5,76.5,76.5,160,,
2006-08-30 00:00:00+00:00,67.5,91.5,67.5,91.5,407,,
2006-08-31 00:00:00+00:00,91.5,91.5,90.0,90.0,153,,
2006-09-01 00:00:00+00:00,90.0,112.5,90.0,112.5,67,,
2006-09-05 00:00:00+00:00,112.5,112.5,112.5,112.5,0,,
2006-09-06 00:00:00+00:00,112.5,112.5,112.5,112.5,57,,
2006-09-07 00:00:00+00:00,112.5,120.0,112.5,112.5,135,,
2006-09-08 00:00:00+00:00,105.0,105.0,105.0,105.0,20,,
2006-09-11 00:00:00+00:00,120.0,120.0,105.0,109.5,173,,
2006-09-12 00:00:00+00:00,112.5,120.0,112.5,120.0,27,,
2006-09-13 00:00:00+00:00,120.0,135.0,120.0,135.0,196,,
2006-09-14 00:00:00+00:00,135.0,139.5,127.5,127.5,133,,
2006-09-15 00:00:00+00:00,127.5,135.0,127.5,135.0,127,,
2006-09-18 00:00:00+00:00,135.0,142.5,135.0,142.5,123,,
2006-09-19 00:00:00+00:00,142.5,153.0,142.5,153.0,70,,
2006-09-20 00:00:00+00:00,165.0,180.0,165.0,180.0,151,,
2006-09-21 00:00:00+00:00,165.0,168.0,151.5,157.5,247,,
2006-09-22 00:00:00+00:00,157.5,159.0,151.5,159.0,127,,
2006-09-25 00:00:00+00:00,157.5,162.0,157.5,157.5,83,,
