date,TECS_Open,TECS_High,TECS_Low,TECS_Close,TECS_Volume,TECS_Dividends,TECS_Stock Splits
2008-12-30 00:00:00+00:00,3505500.0,3533000.0,3327000.0,3035450.0,0,0.0,
2008-12-31 00:00:00+00:00,3332000.0,3332000.0,3140000.0,2943411.5,0,0.0,
2009-01-02 00:00:00+00:00,3169000.0,3169000.0,2800500.0,2583003.0,0,0.0,
2009-01-05 00:00:00+00:00,2891500.0,2916000.0,2723000.0,2554298.25,0,0.0,
2009-01-06 00:00:00+00:00,2719000.0,2720000.0,2488000.0,2338326.25,0,0.0,
2009-01-07 00:00:00+00:00,2718000.0,2885000.0,2697000.0,2597583.25,1,0.0,
2009-01-08 00:00:00+00:00,2873000.0,2943000.0,2759000.0,2536072.75,1,0.0,
2009-01-09 00:00:00+00:00,2788000.0,2979500.0,2788000.0,2691444.75,1,0.0,
2009-01-12 00:00:00+00:00,2915000.0,3178000.0,2915000.0,2875066.0,0,0.0,
2009-01-13 00:00:00+00:00,3139500.0,3240500.0,3011000.0,2839526.25,0,0.0,
2009-01-14 00:00:00+00:00,3258000.0,3504000.0,3250000.0,3142979.75,0,0.0,
2009-01-15 00:00:00+00:00,3479500.0,3698000.0,3328000.0,3072811.75,1,0.0,
2009-01-16 00:00:00+00:00,3177000.0,3503000.0,3139000.0,2963915.0,0,0.0,
2009-01-20 00:00:00+00:00,3310500.0,3773500.0,3310000.0,3438688.0,0,0.0,
2009-01-21 00:00:00+00:00,3535000.0,3628500.0,3155000.0,2875066.0,1,0.0,
2009-01-22 00:00:00+00:00,3425000.0,3524500.0,3212500.0,3050941.75,1,0.0,
2009-01-23 00:00:00+00:00,3499500.0,3525000.0,3030000.0,2896936.5,1,0.0,
2009-01-26 00:00:00+00:00,3161000.0,3175000.0,2964500.0,2813555.25,1,0.0,
2009-01-27 00:00:00+00:00,3001500.0,3070000.0,2905000.0,2695545.5,0,0.0,
2009-01-28 00:00:00+00:00,2805500.0,2823000.0,2605000.0,2428997.75,1,0.0,
2009-01-29 00:00:00+00:00,2781500.0,2924500.0,2781500.0,2652259.75,1,0.0,
2009-01-30 00:00:00+00:00,2893000.0,3180500.0,2868500.0,2878711.25,1,0.0,
2009-02-02 00:00:00+00:00,3309000.0,3309000.0,3000500.0,2777559.75,1,0.0,
2009-02-03 00:00:00+00:00,3050000.0,3188000.0,2860500.0,2637223.5,1,0.0,
2009-02-04 00:00:00+00:00,2890000.0,2890000.0,2630500.0,2580269.0,1,0.0,
2009-02-05 00:00:00+00:00,3170000.0,3170000.0,2592000.0,2430364.75,1,0.0,
2009-02-06 00:00:00+00:00,2627000.0,2649000.0,2340000.0,2174296.5,1,0.0,
2009-02-09 00:00:00+00:00,2392500.0,2437000.0,2326000.0,2149237.25,0,0.0,
2009-02-10 00:00:00+00:00,2413500.0,2689500.0,2334000.0,2413962.0,1,0.0,
2009-02-11 00:00:00+00:00,2638500.0,2736500.0,2562500.0,2404849.0,1,0.0,
2009-02-12 00:00:00+00:00,2728000.0,2809500.0,2584500.0,2355185.0,1,0.0,
2009-02-13 00:00:00+00:00,2546000.0,2599500.0,2483500.0,2341971.25,0,0.0,
2009-02-17 00:00:00+00:00,2800000.0,2935000.0,2788000.0,2656360.25,1,0.0,
2009-02-18 00:00:00+00:00,2871500.0,2997000.0,2780000.0,2645425.25,0,0.0,
2009-02-19 00:00:00+00:00,2900500.0,3195000.0,2881500.0,2890101.5,1,0.0,
2009-02-20 00:00:00+00:00,3350500.0,3350500.0,3077500.0,2892380.5,1,0.0,
2009-02-23 00:00:00+00:00,3102500.0,3612500.0,3102500.0,3256889.5,1,0.0,
2009-02-24 00:00:00+00:00,3521000.0,3553000.0,3160500.0,2956624.5,2,0.0,
2009-02-25 00:00:00+00:00,3276500.0,3473500.0,3048000.0,2939310.75,1,0.0,
2009-02-26 00:00:00+00:00,3130000.0,3332500.0,2989500.0,3025881.75,2,0.0,
2009-02-27 00:00:00+00:00,3350000.0,3442000.0,3178000.0,3040006.25,2,0.0,
2009-03-02 00:00:00+00:00,3470000.0,3695000.0,3313500.0,3327057.25,1,0.0,
2009-03-03 00:00:00+00:00,3536500.0,3749500.0,3437500.0,3319311.5,2,0.0,
2009-03-04 00:00:00+00:00,3511500.0,3511500.0,3202000.0,3068711.5,2,0.0,
2009-03-05 00:00:00+00:00,3491500.0,3712500.0,3378000.0,3349383.25,2,0.0,
2009-03-06 00:00:00+00:00,3635500.0,4032000.0,3537500.0,3451901.75,1,0.0,
2009-03-09 00:00:00+00:00,3891000.0,4110000.0,3606500.0,3710247.25,1,0.0,
