date,ERY_Open,ERY_High,ERY_Low,ERY_Close,ERY_Volume,ERY_Dividends,ERY_Stock Splits
2008-11-19 00:00:00+00:00,84225.0,99045.0,81765.0,89666.9765625,170,0.0,
2008-11-20 00:00:00+00:00,108330.0,133140.0,102225.0,120561.6796875,265,0.0,
2008-11-21 00:00:00+00:00,122100.0,127455.0,84450.0,80847.71875,367,0.0,
2008-11-24 00:00:00+00:00,77700.0,86160.0,63150.0,64246.78125,214,0.0,
2008-11-25 00:00:00+00:00,69000.0,73500.0,65535.0,62799.65234375,182,0.0,
2008-11-26 00:00:00+00:00,70110.0,71475.0,55500.0,50540.0625,186,0.0,
2008-11-28 00:00:00+00:00,60315.0,61965.0,58275.0,53652.74609375,118,0.0,
2008-12-01 00:00:00+00:00,64500.0,76050.0,64500.0,67345.796875,224,0.0,
2008-12-02 00:00:00+00:00,71160.0,76890.0,65805.0,61925.91796875,345,0.0,
2008-12-03 00:00:00+00:00,74520.0,75765.0,66825.0,60997.57421875,427,0.0,
2008-12-04 00:00:00+00:00,71055.0,83850.0,68115.0,74226.46875,380,0.0,
2008-12-05 00:00:00+00:00,86025.0,94545.0,75000.0,68260.4921875,587,0.0,
2008-12-08 00:00:00+00:00,66870.0,69240.0,61185.0,58704.0234375,483,0.0,
2008-12-09 00:00:00+00:00,65370.0,67770.0,59445.0,58362.72265625,460,0.0,
2008-12-10 00:00:00+00:00,60750.0,61710.0,53685.0,50744.84375,596,0.0,
2008-12-11 00:00:00+00:00,55470.0,57750.0,49605.0,50676.58984375,475,0.0,
2008-12-12 00:00:00+00:00,61500.0,62955.0,55785.0,51973.54296875,504,0.0,
2008-12-15 00:00:00+00:00,52710.0,61065.0,52515.0,52424.05859375,333,0.0,
2008-12-16 00:00:00+00:00,56115.0,57330.0,51210.0,47359.1328125,277,0.0,
2008-12-17 00:00:00+00:00,52110.0,54585.0,49905.0,49147.5625,323,0.0,
2008-12-18 00:00:00+00:00,53565.0,64890.0,53565.0,57475.32421875,450,0.0,
2008-12-19 00:00:00+00:00,63315.0,64695.0,58155.0,58239.859375,394,0.0,
2008-12-22 00:00:00+00:00,63960.0,72435.0,61665.0,62485.66015625,512,0.0,
2008-12-23 00:00:00+00:00,68805.0,71490.0,65565.0,63414.00390625,453,0.0,
2008-12-24 00:00:00+00:00,70215.0,71820.0,68610.0,63113.6640625,155,0.0,
2008-12-26 00:00:00+00:00,67515.0,69330.0,64980.0,60055.578125,189,0.0,
2008-12-29 00:00:00+00:00,62235.0,65085.0,61050.0,56697.1640625,314,0.0,
2008-12-30 00:00:00+00:00,62850.0,63660.0,57945.0,53106.66796875,338,0.0,
2008-12-31 00:00:00+00:00,58395.0,59595.0,54045.0,50990.58984375,328,0.0,
2009-01-02 00:00:00+00:00,54990.0,55515.0,47265.0,44505.8359375,618,0.0,
2009-01-05 00:00:00+00:00,47715.0,49290.0,43905.0,42034.80859375,906,0.0,
2009-01-06 00:00:00+00:00,44565.0,46020.0,41760.0,41365.85546875,1369,0.0,
