date,PHM_Open,PHM_High,PHM_Low,PHM_Close,PHM_Volume,PHM_Dividends,PHM_Stock Splits
1980-03-17 00:00:00+00:00,0.0,0.1914059966802597,0.1855469942092895,0.1337143927812576,70400,0.0,
1980-03-18 00:00:00+00:00,0.0,0.1835940033197403,0.1777340024709701,0.1323069930076599,230400,0.0,
1980-03-19 00:00:00+00:00,0.0,0.1796880066394806,0.1757809966802597,0.1294920444488525,153600,0.0,
1980-03-20 00:00:00+00:00,0.0,0.1796880066394806,0.1757809966802597,0.1280839145183563,70400,0.0,
1980-03-21 00:00:00+00:00,0.1777340024709701,0.1777340024709701,0.1777340024709701,0.1280839145183563,0,0.0,
1980-03-24 00:00:00+00:00,0.0,0.1777340024709701,0.1699219942092895,0.1266765594482422,179200,0.0,
1980-03-25 00:00:00+00:00,0.0,0.1699219942092895,0.1640630066394806,0.1210467591881752,76800,0.0,
1980-03-26 00:00:00+00:00,0.0,0.1640630066394806,0.1582030057907104,0.1140089184045791,198400,0.0,
1980-03-27 00:00:00+00:00,0.0,0.15625,0.140625,0.1041562259197235,473600,0.0,
1980-03-28 00:00:00+00:00,0.0,0.1640630066394806,0.1503909975290298,0.1182319149374961,268800,0.0,
1980-03-31 00:00:00+00:00,0.0,0.1699219942092895,0.1640630066394806,0.1196393296122551,57600,0.0,
1980-04-01 00:00:00+00:00,0.0,0.1777340024709701,0.1699219942092895,0.1280839145183563,320000,0.0,
1980-04-02 00:00:00+00:00,0.0,0.1816409975290298,0.1777340024709701,0.1294920444488525,147200,0.0,
1980-04-03 00:00:00+00:00,0.0,0.1816409975290298,0.1816409975290298,0.1308995187282562,6400,0.0,
1980-04-07 00:00:00+00:00,0.0,0.1816409975290298,0.1757809966802597,0.1266765594482422,51200,0.0,
1980-04-08 00:00:00+00:00,0.0,0.1757809966802597,0.1699219942092895,0.1224541887640953,121600,0.0,
1980-04-09 00:00:00+00:00,0.0,0.171875,0.1699219942092895,0.1238616779446601,89600,0.0,
1980-04-10 00:00:00+00:00,0.0,0.1796880066394806,0.1757809966802597,0.1280839145183563,44800,0.0,
1980-04-11 00:00:00+00:00,0.0,0.1875,0.1777340024709701,0.1280839145183563,134400,0.0,
1980-04-14 00:00:00+00:00,0.1777340024709701,0.1777340024709701,0.1777340024709701,0.1280839145183563,0,0.0,
1980-04-15 00:00:00+00:00,0.0,0.1796880066394806,0.1796880066394806,0.1294920444488525,128000,0.0,
1980-04-16 00:00:00+00:00,0.0,0.1796880066394806,0.1757809966802597,0.1266765594482422,38400,0.0,
1980-04-17 00:00:00+00:00,0.0,0.1738280057907104,0.171875,0.1252691447734832,140800,0.0,
1980-04-18 00:00:00+00:00,0.0,0.1757809966802597,0.1738280057907104,0.1252691447734832,38400,0.0,
1980-04-21 00:00:00+00:00,0.0,0.171875,0.171875,0.1238616779446601,6400,0.0,
1980-04-22 00:00:00+00:00,0.0,0.171875,0.1660159975290298,0.1238616779446601,96000,0.0,
1980-04-23 00:00:00+00:00,0.0,0.171875,0.171875,0.1238616779446601,38400,0.0,
1980-04-24 00:00:00+00:00,0.0,0.1796880066394806,0.1757809966802597,0.1294920444488525,89600,0.0,
1980-04-25 00:00:00+00:00,0.0,0.1796880066394806,0.1796880066394806,0.1294920444488525,6400,0.0,
1980-04-28 00:00:00+00:00,0.0,0.1796880066394806,0.1796880066394806,0.1294920444488525,89600,0.0,
1980-04-29 00:00:00+00:00,0.0,0.1816409975290298,0.1816409975290298,0.1308995187282562,19200,0.0,
