date,AU_Open,AU_High,AU_Low,AU_Close,AU_Volume,AU_Dividends,AU_Stock Splits
1998-08-05 00:00:00+00:00,21.25,21.6875,21.0,13.567597389221191,107900,0.0,
1998-08-06 00:00:00+00:00,21.3125,21.8125,21.25,13.805624008178713,90700,0.0,
1998-08-07 00:00:00+00:00,21.75,22.125,21.75,13.964311599731444,89800,0.0,
1998-08-10 00:00:00+00:00,22.125,22.25,22.0625,14.123001098632812,73300,0.0,
1998-08-11 00:00:00+00:00,21.25,21.5,21.125,13.64693832397461,101500,0.0,
1998-08-12 00:00:00+00:00,20.9375,21.0,20.625,13.170886993408203,69200,0.0,
1998-08-13 00:00:00+00:00,19.4375,20.1875,19.4375,12.694830894470217,61500,0.0,
1998-08-14 00:00:00+00:00,20.125,20.375,20.0,12.893183708190918,28700,0.0,
1998-08-17 00:00:00+00:00,20.4375,20.4375,20.125,12.932857513427734,40000,0.0,
1998-08-18 00:00:00+00:00,20.25,20.375,20.125,12.893183708190918,20100,0.0,
1998-08-19 00:00:00+00:00,20.25,20.25,19.75,12.536144256591797,58000,0.0,
1998-08-20 00:00:00+00:00,19.9375,20.0,19.25,12.536144256591797,76700,0.0,
1998-08-21 00:00:00+00:00,19.625,20.0,19.5,12.655158042907717,102700,0.0,
1998-08-24 00:00:00+00:00,19.875,19.875,19.0625,12.536144256591797,73500,0.0,
1998-08-25 00:00:00+00:00,19.0,19.5,18.8125,11.98074722290039,53200,0.0,
1998-08-26 00:00:00+00:00,18.375,18.375,17.5,11.147649765014648,112300,0.0,
1998-08-27 00:00:00+00:00,17.0,17.125,16.5,10.671592712402344,98400,0.0,
1998-08-28 00:00:00+00:00,16.5625,17.125,16.0,10.354219436645508,109400,0.0,
1998-08-31 00:00:00+00:00,17.171875,17.171875,16.0625,10.31454849243164,117300,0.0,
1998-09-01 00:00:00+00:00,17.5,18.6875,17.375,11.861732482910156,109600,0.0,
1998-09-02 00:00:00+00:00,18.0625,18.6875,17.8125,11.742718696594238,45700,0.0,
1998-09-03 00:00:00+00:00,18.125,20.6875,18.0625,13.091544151306152,246900,0.0,
1998-09-04 00:00:00+00:00,20.3125,22.5,20.3125,13.805624008178713,214700,0.0,
1998-09-08 00:00:00+00:00,22.0,22.5,20.0,13.329566955566406,150700,0.0,
1998-09-09 00:00:00+00:00,20.8125,21.0,20.4375,13.289899826049805,52400,0.0,
1998-09-10 00:00:00+00:00,22.375,24.0625,22.25,14.83708381652832,308300,0.0,
1998-09-11 00:00:00+00:00,24.0625,24.375,22.625,14.361021995544434,217700,0.0,
1998-09-14 00:00:00+00:00,22.5,22.5,21.3125,13.964311599731444,97000,0.0,
1998-09-15 00:00:00+00:00,22.25,22.4375,22.125,14.123001098632812,29300,0.0,
1998-09-16 00:00:00+00:00,22.0,22.25,21.0,13.369248390197754,148500,0.0,
1998-09-17 00:00:00+00:00,22.25,22.6875,22.0,14.281682968139648,74000,0.0,
1998-09-18 00:00:00+00:00,22.5,22.5,21.75,14.043655395507812,35400,0.0,
1998-09-21 00:00:00+00:00,22.625,22.625,22.125,14.08332633972168,99000,0.0,
1998-09-22 00:00:00+00:00,21.75,22.0,21.5625,13.686614990234377,46800,0.0,
1998-09-23 00:00:00+00:00,21.5625,21.5625,20.75,13.488259315490724,136400,0.0,
1998-09-24 00:00:00+00:00,21.5,23.75,21.5,15.035442352294922,276000,0.0,
1998-09-25 00:00:00+00:00,25.0,25.375,24.4375,15.947879791259766,348100,0.0,
1998-09-28 00:00:00+00:00,24.5,26.3125,24.375,16.661970138549805,299000,0.0,
