date,BHLB_Open,BHLB_High,BHLB_Low,BHLB_Close,BHLB_Volume,BHLB_Dividends,BHLB_Stock Splits
2000-06-28 00:00:00+00:00,12.5,12.5,12.3125,6.700681686401367,2326700,0.0,
2000-06-29 00:00:00+00:00,12.125,12.25,12.125,6.6666693687438965,372500,0.0,
2000-06-30 00:00:00+00:00,12.1875,12.75,12.1875,6.938776016235352,213100,0.0,
2000-07-03 00:00:00+00:00,12.75,12.75,12.5,6.870750427246094,47300,0.0,
2000-07-05 00:00:00+00:00,12.5,12.625,12.5,6.836738109588623,90500,0.0,
2000-07-06 00:00:00+00:00,12.5,12.75,12.4375,6.870750427246094,176000,0.0,
2000-07-07 00:00:00+00:00,12.5,12.875,12.5,6.97279167175293,130500,0.0,
2000-07-10 00:00:00+00:00,12.75,12.9375,12.75,7.006806373596191,95500,0.0,
2000-07-11 00:00:00+00:00,12.75,12.75,12.625,6.870750427246094,64400,0.0,
2000-07-12 00:00:00+00:00,12.625,12.9375,12.625,7.0408196449279785,81500,0.0,
2000-07-13 00:00:00+00:00,12.875,12.875,12.875,7.006806373596191,43700,0.0,
2000-07-14 00:00:00+00:00,12.8125,12.9375,12.8125,7.006806373596191,62900,0.0,
2000-07-17 00:00:00+00:00,12.875,12.875,12.75,6.97279167175293,50900,0.0,
2000-07-18 00:00:00+00:00,12.6875,12.8125,12.625,6.938776016235352,13800,0.0,
2000-07-19 00:00:00+00:00,12.75,12.75,12.5625,6.836738109588623,48300,0.0,
2000-07-20 00:00:00+00:00,12.6875,12.6875,12.625,6.904765605926514,17100,0.0,
2000-07-21 00:00:00+00:00,12.625,12.75,12.625,6.938776016235352,37400,0.0,
2000-07-24 00:00:00+00:00,12.75,12.75,12.625,6.904765605926514,47400,0.0,
2000-07-25 00:00:00+00:00,12.625,12.625,12.5,6.836738109588623,11800,0.0,
2000-07-26 00:00:00+00:00,12.625,12.6875,12.5625,6.904765605926514,48400,0.0,
2000-07-27 00:00:00+00:00,12.6875,12.8125,12.625,6.97279167175293,60500,0.0,
2000-07-28 00:00:00+00:00,12.75,12.8125,12.625,6.870750427246094,36000,0.0,
2000-07-31 00:00:00+00:00,12.625,12.625,12.5625,6.836738109588623,27000,0.0,
2000-08-01 00:00:00+00:00,12.5625,12.6875,12.5625,6.870750427246094,38800,0.0,
2000-08-02 00:00:00+00:00,12.6875,12.75,12.625,6.938776016235352,45800,0.0,
2000-08-03 00:00:00+00:00,12.625,12.75,12.625,6.938776016235352,64500,0.0,
2000-08-04 00:00:00+00:00,12.6875,13.0,12.6875,7.074831962585449,241500,0.0,
2000-08-07 00:00:00+00:00,13.0,13.5,13.0,7.278913974761963,218700,0.0,
2000-08-08 00:00:00+00:00,13.3125,13.75,13.3125,7.482996940612793,60300,0.0,
2000-08-09 00:00:00+00:00,13.875,13.875,13.6875,7.448981761932373,15300,0.0,
2000-08-10 00:00:00+00:00,13.6875,13.6875,13.5,7.346939563751221,15200,0.0,
2000-08-11 00:00:00+00:00,13.6875,14.0,13.6875,7.482996940612793,20100,0.0,
2000-08-14 00:00:00+00:00,13.875,14.0,13.875,7.61904764175415,23000,0.0,
2000-08-15 00:00:00+00:00,13.9375,14.0,13.9375,7.585033416748047,31500,0.0,
2000-08-16 00:00:00+00:00,14.0,14.0,13.9375,7.585033416748047,24500,0.0,
2000-08-17 00:00:00+00:00,14.0,14.4375,14.0,7.789120674133301,48900,0.0,
2000-08-18 00:00:00+00:00,14.25,14.4375,14.25,7.755103588104248,49100,0.0,
2000-08-21 00:00:00+00:00,14.375,14.375,14.3125,7.789120674133301,7000,0.0,
2000-08-22 00:00:00+00:00,14.375,14.5,14.3125,7.891154766082764,45100,0.0,
2000-08-23 00:00:00+00:00,14.5,14.625,14.5,7.925171852111816,8800,0.0,
2000-08-24 00:00:00+00:00,14.75,15.0,14.75,8.095237731933594,36300,0.0,
2000-08-25 00:00:00+00:00,14.875,14.875,14.875,8.095237731933594,5300,0.0,
2000-08-28 00:00:00+00:00,14.875,14.875,14.75,8.095237731933594,9800,0.0,
2000-08-29 00:00:00+00:00,14.875,14.875,14.875,8.095237731933594,19800,0.0,
2000-08-30 00:00:00+00:00,14.75,14.75,14.6875,7.993197917938232,8000,0.0,
2000-08-31 00:00:00+00:00,14.625,14.625,14.5,7.959183216094971,9700,0.0,
2000-09-01 00:00:00+00:00,14.5,14.5,14.5,7.891154766082764,500,0.0,
2000-09-05 00:00:00+00:00,14.375,14.375,14.375,7.82313060760498,400,0.0,
2000-09-06 00:00:00+00:00,14.625,14.625,14.5,7.891154766082764,12300,0.0,
