date,VOOV_Open,VOOV_High,VOOV_Low,VOOV_Close,VOOV_Volume,VOOV_Dividends,VOOV_Stock Splits
2010-09-09 00:00:00+00:00,50.84000015258789,50.84999847412109,50.72999954223633,37.333797454833984,1200,0.0,
2010-09-10 00:00:00+00:00,50.65999984741211,50.84000015258789,50.65999984741211,37.40739440917969,28200,0.0,
2010-09-13 00:00:00+00:00,51.36000061035156,51.4900016784668,51.15999984741211,37.70912170410156,17500,0.0,
2010-09-14 00:00:00+00:00,51.34000015258789,51.5099983215332,51.02999877929688,37.77534866333008,49100,0.0,
2010-09-15 00:00:00+00:00,51.150001525878906,51.36000061035156,51.150001525878906,37.790077209472656,2400,0.0,
2010-09-16 00:00:00+00:00,51.18000030517578,51.36000061035156,51.11000061035156,37.79742431640625,13500,0.0,
2010-09-17 00:00:00+00:00,51.43000030517578,51.43000030517578,51.220001220703125,37.738555908203125,11500,0.0,
2010-09-20 00:00:00+00:00,51.869998931884766,52.04999923706055,51.86000061035156,38.30523300170898,3800,0.0,
2010-09-21 00:00:00+00:00,52.09999847412109,52.2400016784668,51.84999847412109,38.15803146362305,7100,0.0,
2010-09-22 00:00:00+00:00,51.59999847412109,51.7599983215332,51.560001373291016,38.09180068969727,9900,0.0,
2010-09-23 00:00:00+00:00,51.15999984741211,51.5099983215332,51.15999984741211,37.66496658325195,4100,0.0,
2010-09-24 00:00:00+00:00,51.63999938964844,52.060001373291016,51.63999938964844,38.30523300170898,2500,0.0,
2010-09-27 00:00:00+00:00,51.95000076293945,52.060001373291016,51.900001525878906,38.31256866455078,6700,0.0,
2010-09-28 00:00:00+00:00,51.630001068115234,52.09999847412109,51.43999862670898,38.34202194213867,24500,0.0,
2010-09-29 00:00:00+00:00,51.880001068115234,52.08000183105469,51.7599983215332,38.09180068969727,10500,0.0,
2010-09-30 00:00:00+00:00,52.18000030517578,52.380001068115234,51.619998931884766,38.10652160644531,14200,0.0,
2010-10-01 00:00:00+00:00,52.09999847412109,52.09999847412109,51.83000183105469,38.16539764404297,3700,0.0,
2010-10-04 00:00:00+00:00,52.0099983215332,52.0099983215332,51.88999938964844,38.187461853027344,3100,0.0,
2010-10-05 00:00:00+00:00,52.5,52.900001525878906,52.5,38.89395523071289,2600,0.0,
2010-10-06 00:00:00+00:00,52.84000015258789,52.84000015258789,52.65999984741211,38.75413131713867,400,0.0,
2010-10-07 00:00:00+00:00,52.7599983215332,52.7599983215332,52.7599983215332,38.82771682739258,2000,0.0,
2010-10-08 00:00:00+00:00,52.900001525878906,53.04999923706055,52.900001525878906,39.0411491394043,1400,0.0,
2010-10-11 00:00:00+00:00,53.040000915527344,53.09000015258789,52.91999816894531,38.94548416137695,2900,0.0,
