date,SPXS_Open,SPXS_High,SPXS_Low,SPXS_Close,SPXS_Volume,SPXS_Dividends,SPXS_Stock Splits
2008-11-19 00:00:00+00:00,111275.0,130000.0,107412.5,117190.9921875,1752,0.0,
2008-11-20 00:00:00+00:00,136237.5,158675.0,123200.0,138303.59375,2021,0.0,
2008-11-21 00:00:00+00:00,143762.5,164475.0,126812.5,116609.6015625,2061,0.0,
2008-11-24 00:00:00+00:00,118300.0,123537.5,96075.0,96511.578125,2222,0.0,
2008-11-25 00:00:00+00:00,97487.5,108462.5,96250.0,91267.6171875,2657,0.0,
2008-11-26 00:00:00+00:00,106125.0,106237.5,88800.0,81041.890625,2542,0.0,
2008-11-28 00:00:00+00:00,90500.0,90775.0,86450.0,79001.3125,627,0.0,
2008-12-01 00:00:00+00:00,93750.0,108862.5,93412.5,98882.7265625,2072,0.0,
2008-12-02 00:00:00+00:00,102762.5,108375.0,95637.5,87665.2421875,3522,0.0,
2008-12-03 00:00:00+00:00,104225.0,104225.0,88262.5,81076.09375,5374,0.0,
2008-12-04 00:00:00+00:00,93500.0,100462.5,87100.0,87425.8359375,5115,0.0,
2008-12-05 00:00:00+00:00,101037.5,105962.5,85150.0,77656.125,5493,0.0,
2008-12-08 00:00:00+00:00,78925.0,80725.0,73500.0,70394.375,3886,0.0,
2008-12-09 00:00:00+00:00,78962.5,82100.0,74112.5,73597.765625,4695,0.0,
2008-12-10 00:00:00+00:00,78325.0,81750.0,75450.0,71066.9921875,3290,0.0,
2008-12-11 00:00:00+00:00,80000.0,85875.0,76312.5,76880.953125,3287,0.0,
2008-12-12 00:00:00+00:00,92175.0,92500.0,81112.5,74783.3515625,3338,0.0,
2008-12-15 00:00:00+00:00,80675.0,88712.5,80475.0,77747.3359375,1921,0.0,
2008-12-16 00:00:00+00:00,83162.5,83262.5,72187.5,66153.6328125,2384,0.0,
2008-12-17 00:00:00+00:00,75000.0,76262.5,70687.5,67772.421875,2706,0.0,
2008-12-18 00:00:00+00:00,72812.5,80762.5,72500.0,71443.1796875,2802,0.0,
2008-12-19 00:00:00+00:00,77262.5,79300.0,73400.0,71249.3984375,2681,0.0,
2008-12-22 00:00:00+00:00,77762.5,86237.5,77700.0,74897.359375,2620,0.0,
2008-12-23 00:00:00+00:00,80762.5,85312.5,79525.0,76675.7265625,2162,0.0,
2008-12-24 00:00:00+00:00,83375.0,85000.0,82375.0,75672.5390625,836,0.0,
2008-12-26 00:00:00+00:00,81250.0,83362.5,80975.0,74144.9609375,580,0.0,
2008-12-29 00:00:00+00:00,81312.5,85787.5,80875.0,74863.1640625,1419,0.0,
2008-12-30 00:00:00+00:00,80450.0,81875.0,76250.0,69915.5859375,1785,0.0,
2008-12-31 00:00:00+00:00,76062.5,76425.0,71150.0,66575.421875,1451,0.0,
2009-01-02 00:00:00+00:00,72325.0,73825.0,65400.0,60738.671875,2569,0.0,
2009-01-05 00:00:00+00:00,67125.0,68625.0,64787.5,60807.07421875,2657,0.0,
2009-01-06 00:00:00+00:00,64687.5,66650.0,62900.0,59165.48828125,2617,0.0,
2009-01-07 00:00:00+00:00,68125.0,71550.0,67312.5,64375.23828125,3409,0.0,
2009-01-08 00:00:00+00:00,71850.0,72825.0,69487.5,63486.05078125,3746,0.0,
2009-01-09 00:00:00+00:00,69075.0,74500.0,68925.0,67179.6328125,3446,0.0,
2009-01-12 00:00:00+00:00,74887.5,80862.5,74500.0,72389.3671875,3729,0.0,
2009-01-13 00:00:00+00:00,80400.0,81475.0,77375.0,71830.765625,4270,0.0,
2009-01-14 00:00:00+00:00,83112.5,88137.5,82600.0,78989.9140625,5541,0.0,
2009-01-15 00:00:00+00:00,87312.5,94637.5,83300.0,78408.515625,6686,0.0,
2009-01-16 00:00:00+00:00,81600.0,90050.0,81250.0,76595.9375,5951,0.0,
2009-01-20 00:00:00+00:00,86375.0,97500.0,85625.0,88782.4375,5868,0.0,
2009-01-21 00:00:00+00:00,92450.0,97812.5,84250.0,77530.7265625,6122,0.0,
2009-01-22 00:00:00+00:00,89712.5,93600.0,84875.0,80939.296875,7101,0.0,
2009-01-23 00:00:00+00:00,95050.0,96025.0,84825.0,79799.3125,6879,0.0,
2009-01-26 00:00:00+00:00,86087.5,88587.5,80512.5,78454.1015625,5024,0.0,
2009-01-27 00:00:00+00:00,84700.0,86287.5,81662.5,75638.34375,4704,0.0,
2009-01-28 00:00:00+00:00,77825.0,78737.5,73412.5,68194.203125,5133,0.0,
2009-01-29 00:00:00+00:00,78250.0,82200.0,77575.0,74669.3359375,4640,0.0,
2009-01-30 00:00:00+00:00,80962.5,88700.0,79862.5,79206.515625,5927,0.0,
2009-02-02 00:00:00+00:00,90962.5,91862.5,85900.0,79833.515625,5168,0.0,
2009-02-03 00:00:00+00:00,86062.5,88900.0,82337.5,76379.34375,5202,0.0,
2009-02-04 00:00:00+00:00,82500.0,86112.5,79462.5,77576.3359375,5562,0.0,
2009-02-05 00:00:00+00:00,87325.0,88750.0,79312.5,74087.96875,7070,0.0,
2009-02-06 00:00:00+00:00,80275.0,80725.0,73412.5,67726.8046875,6510,0.0,
2009-02-09 00:00:00+00:00,74337.5,75775.0,72212.5,67236.625,3622,0.0,
2009-02-10 00:00:00+00:00,76000.0,85425.0,73950.0,76447.7421875,8671,0.0,
