date,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Volume,XLE_Dividends,XLE_Stock Splits
1998-12-22 00:00:00+00:00,23.3125,23.390625,23.1875,12.13345432281494,15200,0.0,
1998-12-23 00:00:00+00:00,23.34375,23.75,23.3125,12.386063575744627,67800,0.0,
1998-12-24 00:00:00+00:00,23.8125,23.8125,23.59375,12.32087516784668,12300,0.0,
1998-12-28 00:00:00+00:00,23.75,23.75,23.34375,12.25568675994873,13500,0.0,
1998-12-29 00:00:00+00:00,23.5625,23.734375,23.34375,12.377915382385254,22000,0.0,
1998-12-30 00:00:00+00:00,23.71875,23.71875,23.359375,12.190494537353516,21800,0.0,
1998-12-31 00:00:00+00:00,23.34375,23.34375,23.21875,12.174203872680664,13000,0.0,
1999-01-04 00:00:00+00:00,23.28125,23.75,23.28125,12.166048049926758,28600,0.0,
1999-01-05 00:00:00+00:00,23.46875,23.46875,23.171875,12.10085391998291,42700,0.0,
1999-01-06 00:00:00+00:00,23.46875,24.0,23.3125,12.500147819519045,56400,0.0,
1999-01-07 00:00:00+00:00,23.96875,23.984375,23.578125,12.443109512329102,72600,0.0,
1999-01-08 00:00:00+00:00,24.0,24.5625,23.375,12.500147819519045,421100,0.0,
1999-01-11 00:00:00+00:00,23.75,23.78125,23.4375,12.263833999633787,35000,0.0,
1999-01-12 00:00:00+00:00,23.5,23.59375,23.125,12.076414108276367,89200,0.0,
1999-01-13 00:00:00+00:00,22.75,23.1875,22.6875,11.897144317626951,42400,0.0,
1999-01-14 00:00:00+00:00,22.75,22.875,22.375,11.668974876403809,70000,0.0,
1999-01-15 00:00:00+00:00,22.5625,22.75,22.453125,11.848249435424805,10700,0.0,
1999-01-19 00:00:00+00:00,22.8125,22.8125,22.53125,11.848249435424805,12800,0.0,
1999-01-20 00:00:00+00:00,22.59375,22.8125,22.515625,11.750468254089355,15800,0.0,
1999-01-21 00:00:00+00:00,22.53125,22.90625,22.5,11.848249435424805,23900,0.0,
1999-01-22 00:00:00+00:00,22.75,22.8125,22.5625,11.783062934875488,19300,0.0,
1999-01-25 00:00:00+00:00,22.6875,22.6875,22.375,11.766761779785156,18200,0.0,
1999-01-26 00:00:00+00:00,22.59375,22.59375,22.15625,11.652677536010742,25700,0.0,
1999-01-27 00:00:00+00:00,22.375,22.375,21.875,11.440810203552246,37100,0.0,
1999-01-28 00:00:00+00:00,22.0,22.0,21.625,11.375617027282717,30800,0.0,
1999-01-29 00:00:00+00:00,21.6875,21.8125,21.4375,11.375617027282717,18600,0.0,
1999-02-01 00:00:00+00:00,21.8125,21.875,21.59375,11.26154327392578,23100,0.0,
