date,SIRI_Open,SIRI_High,SIRI_Low,SIRI_Close,SIRI_Volume,SIRI_Dividends,SIRI_Stock Splits
1994-09-13 00:00:00+00:00,4.5,4.875,4.5,3.980280876159668,74000,0.0,
1994-09-14 00:00:00+00:00,4.5,4.75,3.625,3.765130043029785,335100,0.0,
1994-09-15 00:00:00+00:00,4.5,4.546875,4.375,3.913046598434448,43600,0.0,
1994-09-16 00:00:00+00:00,4.375,4.75,4.25,4.087855815887451,171900,0.0,
1994-09-19 00:00:00+00:00,4.875,4.875,4.875,4.195431232452393,2100,0.0,
1994-09-20 00:00:00+00:00,4.5,4.546875,4.25,3.765130043029785,81000,0.0,
1994-09-21 00:00:00+00:00,4.125,4.171875,4.125,3.5903215408325195,8000,0.0,
1994-09-22 00:00:00+00:00,4.375,4.375,4.375,3.765130043029785,6100,0.0,
1994-09-23 00:00:00+00:00,4.375,4.375,4.125,3.549980401992798,6700,0.0,
1994-09-26 00:00:00+00:00,4.375,4.375,4.125,3.657555103302002,6600,0.0,
1994-09-27 00:00:00+00:00,4.25,4.25,3.75,3.4424052238464355,205500,0.0,
1994-09-28 00:00:00+00:00,4.125,4.125,4.125,3.549980401992798,11600,0.0,
1994-09-29 00:00:00+00:00,3.75,4.125,3.75,3.549980401992798,9600,0.0,
1994-09-30 00:00:00+00:00,4.125,4.125,4.125,3.549980401992798,1000,0.0,
1994-10-03 00:00:00+00:00,3.875,3.875,3.875,3.334830045700073,9000,0.0,
1994-10-04 00:00:00+00:00,4.0,4.0,3.625,3.1196796894073486,18300,0.0,
1994-10-05 00:00:00+00:00,3.75,3.875,3.6875,3.17346715927124,21100,0.0,
1994-10-06 00:00:00+00:00,3.875,3.875,3.625,3.334830045700073,4000,0.0,
1994-10-07 00:00:00+00:00,3.625,3.625,3.625,3.1196796894073486,1600,0.0,
1994-10-10 00:00:00+00:00,3.625,3.625,3.625,3.1196796894073486,0,0.0,
1994-10-11 00:00:00+00:00,3.625,3.625,3.625,3.1196796894073486,0,0.0,
1994-10-12 00:00:00+00:00,3.75,3.75,3.6875,3.227254867553711,7000,0.0,
