date,GUT_Open,GUT_High,GUT_Low,GUT_Close,GUT_Volume,GUT_Dividends,GUT_Stock Splits
1999-07-12 00:00:00+00:00,9.8125,9.8125,8.5,0.965963900089264,92500,0.0,
1999-07-13 00:00:00+00:00,8.5,8.5625,8.0,0.9166075587272644,61000,0.0,
1999-07-14 00:00:00+00:00,8.1875,8.1875,7.8125,0.8884040713310242,57300,0.0,
1999-07-15 00:00:00+00:00,7.875,8.0625,7.75,0.8884040713310242,51500,0.0,
1999-07-16 00:00:00+00:00,7.9375,8.0,7.8125,0.8884040713310242,32100,0.0,
1999-07-19 00:00:00+00:00,7.9375,8.0,7.875,0.8884040713310242,67400,0.0,
1999-07-20 00:00:00+00:00,7.9375,7.9375,7.875,0.8954547047615051,41000,0.0,
1999-07-21 00:00:00+00:00,7.875,8.0,7.8125,0.881352961063385,40300,0.0,
1999-07-22 00:00:00+00:00,7.875,7.875,7.75,0.881352961063385,62700,0.0,
1999-07-23 00:00:00+00:00,7.875,7.9375,7.8125,0.8884040713310242,31100,0.0,
1999-07-26 00:00:00+00:00,7.9375,8.0625,7.875,0.9025054574012756,17400,0.0,
1999-07-27 00:00:00+00:00,8.0,8.125,7.9375,0.9095566272735596,25100,0.0,
1999-07-28 00:00:00+00:00,8.125,8.5625,8.0625,0.9589123725891112,35100,0.0,
1999-07-29 00:00:00+00:00,8.625,8.875,8.625,0.9800645112991332,29700,0.0,
1999-07-30 00:00:00+00:00,8.6875,8.875,8.6875,0.9941669702529908,24300,0.0,
1999-08-02 00:00:00+00:00,8.8125,9.0,8.625,0.9800645112991332,58000,0.0,
1999-08-03 00:00:00+00:00,8.6875,8.75,8.375,0.9589123725891112,17600,0.0,
1999-08-04 00:00:00+00:00,8.375,8.4375,8.3125,0.9377599954605104,17600,0.0,
1999-08-05 00:00:00+00:00,8.4375,8.4375,8.1875,0.9448104500770568,14800,0.0,
1999-08-06 00:00:00+00:00,8.3125,8.4375,8.125,0.9236589670181274,17100,0.0,
1999-08-09 00:00:00+00:00,8.3125,8.3125,8.0625,0.9166075587272644,20300,0.0,
1999-08-10 00:00:00+00:00,8.125,8.1875,8.0,0.9095566272735596,18200,0.0,
1999-08-11 00:00:00+00:00,8.0,8.25,8.0,0.9166075587272644,20700,0.0,
1999-08-12 00:00:00+00:00,8.125,8.3125,8.0625,0.9377599954605104,11800,0.0,
1999-08-13 00:00:00+00:00,8.375,8.625,8.3125,0.9377599954605104,12200,0.0,
1999-08-16 00:00:00+00:00,8.25,8.5625,8.1875,0.9448104500770568,16300,0.0,
1999-08-17 00:00:00+00:00,8.375,8.4375,8.125,0.9236589670181274,16400,0.0,
1999-08-18 00:00:00+00:00,8.0625,8.25,8.0625,0.9236589670181274,19300,0.0,
1999-08-19 00:00:00+00:00,8.1875,8.25,8.0625,0.9166075587272644,11900,0.0,
1999-08-20 00:00:00+00:00,8.1875,8.1875,8.125,0.9166075587272644,12700,0.0,
1999-08-23 00:00:00+00:00,8.1875,8.3125,8.0625,0.9236589670181274,19300,0.0,
1999-08-24 00:00:00+00:00,8.125,8.3125,8.0625,0.9095566272735596,22100,0.0,
1999-08-25 00:00:00+00:00,8.0625,8.25,8.0,0.9166075587272644,15800,0.0,
1999-08-26 00:00:00+00:00,8.125,8.4375,8.125,0.9377599954605104,14500,0.0,
1999-08-27 00:00:00+00:00,8.25,8.25,8.0625,0.9307091236114502,12600,0.0,
1999-08-30 00:00:00+00:00,8.25,8.4375,8.0625,0.9448104500770568,17300,0.0,
1999-08-31 00:00:00+00:00,8.25,8.4375,8.0625,0.9236589670181274,26700,0.0,
1999-09-01 00:00:00+00:00,8.125,8.625,8.125,0.965963900089264,20900,0.0,
1999-09-02 00:00:00+00:00,8.625,8.625,8.5,0.9589123725891112,17100,0.0,
1999-09-03 00:00:00+00:00,8.5,8.625,8.3125,0.9589123725891112,9400,0.0,
1999-09-07 00:00:00+00:00,8.5,8.5625,8.25,0.9448104500770568,16100,0.0,
1999-09-08 00:00:00+00:00,8.5,8.625,8.25,0.9307091236114502,17100,0.0,
1999-09-09 00:00:00+00:00,8.3125,8.375,8.1875,0.9236589670181274,10900,0.0,
1999-09-10 00:00:00+00:00,8.125,8.3125,8.125,0.9166075587272644,15500,0.0,
1999-09-13 00:00:00+00:00,8.0625,8.1875,8.0,0.9095566272735596,17700,0.0,
1999-09-14 00:00:00+00:00,8.0625,8.375,7.9375,0.9448104500770568,18700,0.0,
1999-09-15 00:00:00+00:00,8.3125,8.5,8.0625,0.951862096786499,21400,0.0,
1999-09-16 00:00:00+00:00,8.4375,8.5,8.1875,0.9448104500770568,18900,0.0,
1999-09-17 00:00:00+00:00,8.3125,8.4375,8.3125,0.9448104500770568,4400,0.0,
1999-09-20 00:00:00+00:00,8.375,8.375,8.125,0.9236589670181274,13200,0.0,
1999-09-21 00:00:00+00:00,8.125,8.25,8.125,0.9236589670181274,5900,0.0,
1999-09-22 00:00:00+00:00,8.125,8.25,8.125,0.9236589670181274,10700,0.0,
1999-09-23 00:00:00+00:00,8.25,8.6875,8.1875,0.9589123725891112,24700,0.0,
1999-09-24 00:00:00+00:00,8.625,8.625,8.25,0.9589123725891112,15400,0.0,
1999-09-27 00:00:00+00:00,8.375,8.5,8.3125,0.9377599954605104,11700,0.0,
1999-09-28 00:00:00+00:00,8.375,8.375,8.25,0.9448104500770568,8200,0.0,
1999-09-29 00:00:00+00:00,8.3125,8.3125,8.1875,0.9307091236114502,8700,0.0,
1999-09-30 00:00:00+00:00,8.25,8.4375,8.1875,0.9448104500770568,9800,0.0,
1999-10-01 00:00:00+00:00,8.4375,8.5,8.1875,0.9589123725891112,23100,0.0,
1999-10-04 00:00:00+00:00,8.4375,8.5,8.375,0.9589123725891112,13000,0.0,
1999-10-05 00:00:00+00:00,8.4375,8.4375,8.25,0.9307091236114502,8300,0.0,
1999-10-06 00:00:00+00:00,8.3125,8.3125,8.125,0.9166075587272644,13800,0.0,
1999-10-07 00:00:00+00:00,8.125,8.1875,8.125,0.9166075587272644,3100,0.0,
1999-10-08 00:00:00+00:00,8.125,8.1875,8.0625,0.9166075587272644,7300,0.0,
1999-10-11 00:00:00+00:00,8.125,8.1875,8.0625,0.9166075587272644,9900,0.0,
1999-10-12 00:00:00+00:00,8.125,8.1875,8.0625,0.9095566272735596,16000,0.0,
1999-10-13 00:00:00+00:00,8.0625,8.125,8.0625,0.9166075587272644,6700,0.0,
1999-10-14 00:00:00+00:00,8.125,8.1875,8.0,0.9166075587272644,11300,0.0,
1999-10-15 00:00:00+00:00,8.0625,8.125,7.9375,0.9222832918167114,12000,0.05,
1999-10-18 00:00:00+00:00,8.0625,8.125,8.0,0.9151880741119384,7600,0.0,
1999-10-19 00:00:00+00:00,8.0625,8.0625,7.9375,0.908093273639679,11400,0.0,
1999-10-20 00:00:00+00:00,8.0,8.0625,8.0,0.908093273639679,10800,0.0,
1999-10-21 00:00:00+00:00,8.0,8.125,8.0,0.908093273639679,20400,0.0,
1999-10-22 00:00:00+00:00,8.0,8.0625,8.0,0.908093273639679,17400,0.0,
1999-10-25 00:00:00+00:00,8.0,8.0,8.0,0.908093273639679,12100,0.0,
1999-10-26 00:00:00+00:00,8.0,8.0,7.9375,0.9009998440742492,18100,0.0,
