date,SIGA_Open,SIGA_High,SIGA_Low,SIGA_Close,SIGA_Volume,SIGA_Dividends,SIGA_Stock Splits
1997-09-10 00:00:00+00:00,5.5,5.734375,5.015625,4.447675704956055,288900,0.0,
1997-09-11 00:00:00+00:00,5.5,5.5,5.125,4.447675704956055,104400,0.0,
1997-09-12 00:00:00+00:00,5.5,6.0,5.3125,4.649842739105225,108100,0.0,
1997-09-15 00:00:00+00:00,6.125,6.125,5.625,4.5487589836120605,85100,0.0,
1997-09-16 00:00:00+00:00,5.75,5.875,5.375,4.346591949462891,113200,0.0,
1997-09-17 00:00:00+00:00,5.375,5.625,5.375,4.346591949462891,24300,0.0,
1997-09-18 00:00:00+00:00,5.375,5.625,5.375,4.447675704956055,9200,0.0,
1997-09-19 00:00:00+00:00,5.5,5.75,5.375,4.447675704956055,20300,0.0,
1997-09-22 00:00:00+00:00,5.625,5.75,5.375,4.346591949462891,37000,0.0,
1997-09-23 00:00:00+00:00,5.5,5.625,5.375,4.346591949462891,23100,0.0,
1997-09-24 00:00:00+00:00,5.375,5.5,5.375,4.346591949462891,36200,0.0,
1997-09-25 00:00:00+00:00,5.5,5.875,5.4375,4.5487589836120605,53300,0.0,
1997-09-26 00:00:00+00:00,5.4375,5.625,5.4375,4.447675704956055,31800,0.0,
1997-09-29 00:00:00+00:00,5.75,5.75,5.5,4.447675704956055,5500,0.0,
1997-09-30 00:00:00+00:00,5.5,5.625,5.375,4.346591949462891,79200,0.0,
1997-10-01 00:00:00+00:00,5.375,5.5,5.375,4.346591949462891,7500,0.0,
1997-10-02 00:00:00+00:00,5.5,5.5,5.375,4.447675704956055,8400,0.0,
1997-10-03 00:00:00+00:00,5.5,5.625,5.375,4.5487589836120605,28100,0.0,
1997-10-06 00:00:00+00:00,5.625,5.625,5.375,4.346591949462891,5500,0.0,
1997-10-07 00:00:00+00:00,5.375,5.75,5.375,4.649842739105225,98200,0.0,
1997-10-08 00:00:00+00:00,5.75,7.0,5.75,5.079447746276856,176600,0.0,
1997-10-09 00:00:00+00:00,6.5,6.5625,6.25,5.205801963806152,117500,0.0,
1997-10-10 00:00:00+00:00,6.5,6.5,5.9375,4.852010250091553,183100,0.0,
1997-10-13 00:00:00+00:00,6.125,6.125,5.875,4.902551651000977,75400,0.0,
1997-10-14 00:00:00+00:00,6.0625,6.125,5.75,4.649842739105225,50800,0.0,
1997-10-15 00:00:00+00:00,5.875,6.0,5.75,4.852010250091553,14600,0.0,
1997-10-16 00:00:00+00:00,6.0,6.375,5.875,4.750926017761231,122100,0.0,
1997-10-17 00:00:00+00:00,5.875,6.0625,5.75,4.700384616851807,32500,0.0,
1997-10-20 00:00:00+00:00,6.0,6.0,5.6875,4.599300861358643,11500,0.0,
1997-10-21 00:00:00+00:00,5.875,5.875,5.625,4.5487589836120605,29500,0.0,
1997-10-22 00:00:00+00:00,5.75,5.75,5.75,4.649842739105225,4000,0.0,
1997-10-23 00:00:00+00:00,5.75,5.75,5.625,4.5487589836120605,15200,0.0,
1997-10-24 00:00:00+00:00,5.875,6.0,5.8125,4.700384616851807,35500,0.0,
1997-10-27 00:00:00+00:00,5.6875,6.0,5.5,4.447675704956055,35300,0.0,
1997-10-28 00:00:00+00:00,5.25,5.625,5.125,4.346591949462891,56800,0.0,
1997-10-29 00:00:00+00:00,5.625,5.625,5.25,4.245508670806885,40600,0.0,
1997-10-30 00:00:00+00:00,5.25,5.5,5.0,4.346591949462891,13600,0.0,
1997-10-31 00:00:00+00:00,5.125,5.5,5.125,4.144424915313721,25300,0.0,
1997-11-03 00:00:00+00:00,5.125,5.5,5.125,4.447675704956055,7900,0.0,
1997-11-04 00:00:00+00:00,5.5,5.5,5.25,4.245508670806885,23400,0.0,
1997-11-05 00:00:00+00:00,5.5,5.5,5.25,4.245508670806885,9100,0.0,
