date,PAAS_Open,PAAS_High,PAAS_Low,PAAS_Close,PAAS_Volume,PAAS_Dividends,PAAS_Stock Splits
1995-06-12 00:00:00+00:00,5.0,5.0,4.65625,3.852258682250977,13300,0.0,
1995-06-13 00:00:00+00:00,4.875,5.125,4.5,4.049808979034424,76000,0.0,
1995-06-14 00:00:00+00:00,5.125,5.125,4.890625,4.049808979034424,2500,0.0,
1995-06-15 00:00:00+00:00,5.125,5.25,4.875,3.963381052017212,29500,0.0,
1995-06-16 00:00:00+00:00,5.125,5.375,5.125,4.2473626136779785,14300,0.0,
1995-06-19 00:00:00+00:00,5.375,5.5,5.375,4.34613847732544,26800,0.0,
1995-06-20 00:00:00+00:00,5.5,5.875,5.5,4.605423927307129,29900,0.0,
1995-06-21 00:00:00+00:00,5.875,6.0,5.5,4.34613847732544,54500,0.0,
1995-06-22 00:00:00+00:00,5.875,5.875,5.5,4.444913864135742,17000,0.0,
1995-06-23 00:00:00+00:00,5.75,5.75,5.5,4.34613847732544,16400,0.0,
1995-06-26 00:00:00+00:00,5.75,5.75,5.5,4.34613847732544,34400,0.0,
1995-06-27 00:00:00+00:00,5.75,5.75,5.5,4.5436882972717285,23900,0.0,
1995-06-28 00:00:00+00:00,5.75,5.75,5.375,4.2473626136779785,35400,0.0,
1995-06-29 00:00:00+00:00,5.375,5.625,5.375,4.444913864135742,16300,0.0,
1995-06-30 00:00:00+00:00,5.625,5.625,5.25,4.444913864135742,24100,0.0,
1995-07-03 00:00:00+00:00,5.25,5.625,5.25,4.444913864135742,3300,0.0,
1995-07-05 00:00:00+00:00,5.625,5.75,5.375,4.2473626136779785,14900,0.0,
1995-07-06 00:00:00+00:00,5.375,5.75,5.375,4.34613847732544,18600,0.0,
1995-07-07 00:00:00+00:00,5.25,5.625,5.25,4.34613847732544,6000,0.0,
1995-07-10 00:00:00+00:00,5.625,5.625,5.375,4.444913864135742,9300,0.0,
1995-07-11 00:00:00+00:00,5.375,5.75,5.375,4.432565212249756,9900,0.0,
1995-07-12 00:00:00+00:00,5.625,5.625,5.375,4.2473626136779785,13100,0.0,
1995-07-13 00:00:00+00:00,5.5625,5.5625,5.25,4.197973251342773,18100,0.0,
1995-07-14 00:00:00+00:00,5.5625,5.5625,5.3125,4.34613847732544,17700,0.0,
1995-07-17 00:00:00+00:00,5.875,6.0,5.375,4.704198360443115,17100,0.0,
1995-07-18 00:00:00+00:00,6.0,6.0,5.8125,4.741242408752441,15200,0.0,
1995-07-19 00:00:00+00:00,6.0,6.0,5.625,4.5436882972717285,10500,0.0,
1995-07-20 00:00:00+00:00,5.75,5.875,5.5,4.506649017333984,4500,0.0,
1995-07-21 00:00:00+00:00,5.875,5.875,5.5,4.34613847732544,8900,0.0,
1995-07-24 00:00:00+00:00,5.5,5.875,5.5,4.45726203918457,8200,0.0,
1995-07-25 00:00:00+00:00,5.75,5.75,5.5,4.5436882972717285,11600,0.0,
