date,GVP_Open,GVP_High,GVP_Low,GVP_Close,GVP_Volume,GVP_Dividends,GVP_Stock Splits
1995-07-27 00:00:00+00:00,152.5,162.5,145.0,161.25,57060,,
1995-07-28 00:00:00+00:00,165.0,167.5,157.5,158.75,17280,,
1995-07-31 00:00:00+00:00,165.0,165.0,160.0,160.625,20700,,
1995-08-01 00:00:00+00:00,160.0,162.5,155.0,155.0,23240,,
1995-08-02 00:00:00+00:00,155.0,160.0,152.5,155.0,23560,,
1995-08-03 00:00:00+00:00,155.0,157.5,152.5,155.0,4070,,
1995-08-04 00:00:00+00:00,157.5,157.5,148.75,152.5,5350,,
1995-08-07 00:00:00+00:00,157.5,157.5,152.5,152.5,2370,,
1995-08-08 00:00:00+00:00,155.0,157.5,152.5,155.0,1830,,
1995-08-09 00:00:00+00:00,157.5,157.5,152.5,153.75,16010,,
1995-08-10 00:00:00+00:00,152.5,157.5,152.5,152.5,5930,,
1995-08-11 00:00:00+00:00,152.5,157.5,152.5,152.5,730,,
1995-08-14 00:00:00+00:00,152.5,157.5,152.5,157.5,1570,,
1995-08-15 00:00:00+00:00,157.5,157.5,152.5,157.5,3270,,
1995-08-16 00:00:00+00:00,153.75,155.0,152.5,154.375,1930,,
1995-08-17 00:00:00+00:00,153.75,153.75,152.5,152.5,840,,
1995-08-18 00:00:00+00:00,152.5,155.0,152.5,152.5,7940,,
1995-08-21 00:00:00+00:00,156.25,156.25,152.5,156.25,90,,
1995-08-22 00:00:00+00:00,152.5,153.75,152.5,152.5,470,,
1995-08-23 00:00:00+00:00,153.75,153.75,152.5,153.75,560,,
1995-08-24 00:00:00+00:00,153.75,153.75,152.5,153.75,2390,,
1995-08-25 00:00:00+00:00,152.5,153.75,152.5,152.5,2180,,
1995-08-28 00:00:00+00:00,152.5,155.0,152.5,152.5,2620,,
1995-08-29 00:00:00+00:00,152.5,152.5,152.5,152.5,2460,,
1995-08-30 00:00:00+00:00,155.0,155.0,147.5,150.0,7390,,
1995-08-31 00:00:00+00:00,150.0,152.5,150.0,151.25,720,,
1995-09-01 00:00:00+00:00,150.0,152.5,150.0,152.5,160,,
1995-09-05 00:00:00+00:00,150.0,150.0,150.0,150.0,4570,,
1995-09-06 00:00:00+00:00,150.0,155.0,150.0,152.5,13280,,
1995-09-07 00:00:00+00:00,150.0,151.25,150.0,151.25,1590,,
1995-09-08 00:00:00+00:00,150.0,151.25,147.5,150.0,2720,,
1995-09-11 00:00:00+00:00,150.0,150.0,147.5,150.0,1370,,
1995-09-12 00:00:00+00:00,147.5,150.0,147.5,150.0,1430,,
1995-09-13 00:00:00+00:00,147.5,150.0,147.5,147.5,2300,,
1995-09-14 00:00:00+00:00,150.0,150.0,147.5,147.5,520,,
1995-09-15 00:00:00+00:00,147.5,150.0,147.5,150.0,4970,,
1995-09-18 00:00:00+00:00,147.5,150.0,147.5,150.0,3310,,
1995-09-19 00:00:00+00:00,147.5,151.25,147.5,150.0,1450,,
1995-09-20 00:00:00+00:00,147.5,150.0,147.5,150.0,1930,,
1995-09-21 00:00:00+00:00,148.75,148.75,147.5,147.5,1200,,
1995-09-22 00:00:00+00:00,150.0,150.0,147.5,147.5,680,,
1995-09-25 00:00:00+00:00,147.5,147.5,147.5,147.5,2430,,
1995-09-26 00:00:00+00:00,147.5,150.0,147.5,147.5,2030,,
1995-09-27 00:00:00+00:00,147.5,147.5,140.0,140.0,2750,,
1995-09-28 00:00:00+00:00,140.0,147.5,140.0,141.25,1820,,
1995-09-29 00:00:00+00:00,147.5,147.5,140.0,140.0,260,,
1995-10-02 00:00:00+00:00,140.0,147.5,140.0,140.0,640,,
1995-10-03 00:00:00+00:00,140.0,147.5,140.0,140.0,1290,,
1995-10-04 00:00:00+00:00,140.0,145.0,140.0,140.0,450,,
1995-10-05 00:00:00+00:00,140.0,143.75,140.0,140.0,950,,
1995-10-06 00:00:00+00:00,140.0,140.0,140.0,140.0,440,,
1995-10-09 00:00:00+00:00,145.0,145.0,140.0,140.0,3300,,
1995-10-10 00:00:00+00:00,140.0,147.5,140.0,141.25,1800,,
1995-10-11 00:00:00+00:00,140.0,140.0,140.0,140.0,350,,
1995-10-12 00:00:00+00:00,140.0,140.0,140.0,140.0,380,,
1995-10-13 00:00:00+00:00,140.0,145.0,140.0,140.0,2440,,
1995-10-16 00:00:00+00:00,145.0,145.0,140.0,140.0,1000,,
1995-10-17 00:00:00+00:00,140.0,140.0,140.0,140.0,830,,
1995-10-18 00:00:00+00:00,140.0,140.0,140.0,140.0,120,,
1995-10-19 00:00:00+00:00,140.0,145.0,140.0,140.0,510,,
1995-10-20 00:00:00+00:00,140.0,140.0,140.0,140.0,280,,
1995-10-23 00:00:00+00:00,147.5,147.5,140.0,140.0,7750,,
1995-10-24 00:00:00+00:00,147.5,147.5,142.5,145.0,3770,,
1995-10-25 00:00:00+00:00,145.0,147.5,145.0,147.5,6120,,
1995-10-26 00:00:00+00:00,146.25,147.5,145.0,147.5,4460,,
1995-10-27 00:00:00+00:00,145.625,147.5,145.0,145.0,520,,
1995-10-30 00:00:00+00:00,145.0,145.0,145.0,145.0,260,,
1995-10-31 00:00:00+00:00,145.0,147.5,145.0,145.0,730,,
1995-11-01 00:00:00+00:00,146.25,146.25,145.0,145.0,530,,
1995-11-02 00:00:00+00:00,145.0,147.5,145.0,145.0,2470,,
1995-11-03 00:00:00+00:00,145.0,147.5,145.0,147.5,580,,
1995-11-06 00:00:00+00:00,145.0,145.0,145.0,145.0,20,,
1995-11-07 00:00:00+00:00,147.5,147.5,145.0,147.5,6300,,
1995-11-08 00:00:00+00:00,145.0,147.5,145.0,147.5,670,,
1995-11-09 00:00:00+00:00,147.5,147.5,145.0,145.0,3200,,
1995-11-10 00:00:00+00:00,145.0,145.0,145.0,145.0,360,,
1995-11-13 00:00:00+00:00,146.25,147.5,145.0,145.0,3310,,
1995-11-14 00:00:00+00:00,145.0,146.25,145.0,145.0,4620,,
1995-11-15 00:00:00+00:00,147.5,147.5,145.0,145.0,1660,,
1995-11-16 00:00:00+00:00,145.0,147.5,145.0,145.0,1160,,
1995-11-17 00:00:00+00:00,145.0,145.0,145.0,145.0,540,,
