date,NRC_Open,NRC_High,NRC_Low,NRC_Close,NRC_Volume,NRC_Dividends,NRC_Stock Splits
2013-05-23 00:00:00+00:00,18.100000381469727,20.0,18.100000381469727,16.304595947265625,1800,0.0,
2013-05-24 00:00:00+00:00,20.0,20.100000381469727,19.989999771118164,16.304595947265625,5500,0.0,
2013-05-28 00:00:00+00:00,20.309999465942383,21.309999465942383,17.149999618530273,16.353513717651367,18200,0.0,
2013-05-29 00:00:00+00:00,19.270000457763672,20.0,18.21999931335449,14.853492736816406,7100,0.0,
2013-05-30 00:00:00+00:00,18.190000534057617,18.190000534057617,14.0600004196167,13.646949768066406,87000,0.0,
2013-05-31 00:00:00+00:00,16.06999969482422,17.510000228881836,16.06999969482422,13.329009056091309,53200,0.0,
2013-06-03 00:00:00+00:00,16.329999923706055,16.75,13.68000030517578,12.636064529418944,136200,0.0,
2013-06-04 00:00:00+00:00,15.479999542236328,15.479999542236328,12.81999969482422,10.826253890991213,189200,0.0,
2013-06-05 00:00:00+00:00,13.289999961853027,13.289999961853027,12.449999809265137,10.157763481140137,148800,0.0,
2013-06-06 00:00:00+00:00,12.460000038146973,13.06999969482422,12.359999656677246,10.492011070251465,139800,0.0,
2013-06-07 00:00:00+00:00,12.90999984741211,14.109999656677246,12.699999809265137,11.160496711730955,47000,0.0,
2013-06-10 00:00:00+00:00,13.699999809265137,14.3100004196167,13.449999809265137,11.55180835723877,43200,0.0,
2013-06-11 00:00:00+00:00,13.529999732971191,14.649999618530272,13.43000030517578,11.160496711730955,36200,0.0,
2013-06-12 00:00:00+00:00,14.43000030517578,14.43000030517578,12.600000381469728,11.527351379394531,38100,0.0,
2013-06-13 00:00:00+00:00,13.9399995803833,14.649999618530272,13.800000190734863,11.76377010345459,50700,0.0,
2013-06-14 00:00:00+00:00,14.449999809265137,14.670000076293944,14.0,11.690399169921877,17900,0.0,
2013-06-17 00:00:00+00:00,14.510000228881836,14.609999656677246,13.350000381469728,11.054518699645996,54800,0.0,
2013-06-18 00:00:00+00:00,13.539999961853027,15.970000267028809,13.5,12.61160659790039,51600,0.0,
2013-06-19 00:00:00+00:00,15.420000076293944,16.889999389648438,14.34000015258789,13.581730842590332,59000,0.0,
2013-06-20 00:00:00+00:00,16.5,18.621000289916992,16.5,15.000228881835938,102700,0.0,
