date,LNG_Open,LNG_High,LNG_Low,LNG_Close,LNG_Volume,LNG_Dividends,LNG_Stock Splits
1994-04-04 00:00:00+00:00,24.0,24.0,24.0,23.323034286499023,167,0.0,
1994-04-05 00:00:00+00:00,33.0,36.0,33.0,34.984554290771484,167,0.0,
1994-04-06 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-07 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-08 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-11 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-12 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-13 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-14 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-15 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-18 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-19 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-20 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-21 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-22 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-25 00:00:00+00:00,36.0,36.0,36.0,34.984554290771484,0,0.0,
1994-04-26 00:00:00+00:00,24.0,24.0,24.0,23.323034286499023,125,0.0,
1994-04-28 00:00:00+00:00,21.0,21.0,18.0,17.492277145385742,292,0.0,
1994-04-29 00:00:00+00:00,18.0,18.0,18.0,17.492277145385742,0,0.0,
1994-05-02 00:00:00+00:00,18.0,18.0,18.0,17.492277145385742,0,0.0,
1994-05-03 00:00:00+00:00,18.0,18.0,18.0,17.492277145385742,0,0.0,
1994-05-04 00:00:00+00:00,18.0,18.0,18.0,17.492277145385742,0,0.0,
