date,ABM_Open,ABM_High,ABM_Low,ABM_Close,ABM_Volume,ABM_Dividends,ABM_Stock Splits
1980-03-17 00:00:00+00:00,0.0,0.949999988079071,0.9333329796791076,0.348933458328247,19500,0.0,
1980-03-18 00:00:00+00:00,0.0,0.9333329796791076,0.9083330035209656,0.3427027761936188,33000,0.0,
1980-03-19 00:00:00+00:00,0.9166669845581056,0.9166669845581056,0.9166669845581056,0.3427027761936188,0,0.0,
1980-03-20 00:00:00+00:00,0.0,0.9333329796791076,0.925000011920929,0.348933458328247,30000,0.0,
1980-03-21 00:00:00+00:00,0.0,0.9333329796791076,0.9333329796791076,0.348933458328247,10500,0.0,
1980-03-24 00:00:00+00:00,0.0,0.925000011920929,0.925000011920929,0.3458181619644165,25500,0.0,
1980-03-25 00:00:00+00:00,0.0,0.925000011920929,0.925000011920929,0.3458181619644165,18000,0.0,
1980-03-26 00:00:00+00:00,0.0,0.9416670203208924,0.9166669845581056,0.348933458328247,117000,0.0,
1980-03-27 00:00:00+00:00,0.0,0.9166669845581056,0.8999999761581421,0.3364719152450561,75000,0.0,
1980-03-28 00:00:00+00:00,0.0,0.9166669845581056,0.9083330035209656,0.3395871520042419,19500,0.0,
1980-03-31 00:00:00+00:00,0.0,0.925000011920929,0.9166669845581056,0.3427027761936188,22500,0.0,
1980-04-01 00:00:00+00:00,0.0,0.925000011920929,0.9166669845581056,0.3427027761936188,31500,0.0,
1980-04-02 00:00:00+00:00,0.0,0.9333329796791076,0.925000011920929,0.3458181619644165,33000,0.0,
1980-04-03 00:00:00+00:00,0.0,0.949999988079071,0.9416670203208924,0.3551646769046783,33000,0.0,
1980-04-07 00:00:00+00:00,0.0,0.9416670203208924,0.9166669845581056,0.3427027761936188,15000,0.0,
1980-04-08 00:00:00+00:00,0.0,0.925000011920929,0.9083330035209656,0.3458181619644165,6000,0.0,
1980-04-09 00:00:00+00:00,0.0,0.9083330035209656,0.8999999761581421,0.3395871520042419,3000,0.0,
1980-04-10 00:00:00+00:00,0.0,0.9083330035209656,0.8999999761581421,0.3395871520042419,7500,0.0,
1980-04-11 00:00:00+00:00,0.0,0.8999999761581421,0.8999999761581421,0.3364719152450561,3000,0.0,
1980-04-14 00:00:00+00:00,0.0,0.8999999761581421,0.8999999761581421,0.3364719152450561,6000,0.0,
1980-04-15 00:00:00+00:00,0.0,0.8916670083999634,0.8916670083999634,0.3333564400672912,4500,0.0,
1980-04-16 00:00:00+00:00,0.0,0.8999999761581421,0.875,0.32712522149086,16500,0.0,
1980-04-17 00:00:00+00:00,0.0,0.875,0.8666669726371765,0.32712522149086,37500,0.0,
1980-04-18 00:00:00+00:00,0.0,0.8666669726371765,0.8666669726371765,0.3240099847316742,1500,0.0,
1980-04-21 00:00:00+00:00,0.8666669726371765,0.8666669726371765,0.8666669726371765,0.3240099847316742,0,0.0,
1980-04-22 00:00:00+00:00,0.0,0.875,0.8666669726371765,0.32712522149086,9000,0.0,
1980-04-23 00:00:00+00:00,0.0,0.8916670083999634,0.8833330273628235,0.3333564400672912,13500,0.0,
1980-04-24 00:00:00+00:00,0.8916670083999634,0.8916670083999634,0.8916670083999634,0.3333564400672912,0,0.0,
1980-04-25 00:00:00+00:00,0.0,0.8916670083999634,0.8833330273628235,0.3333564400672912,6000,0.0,
1980-04-28 00:00:00+00:00,0.0,0.8833330273628235,0.8833330273628235,0.3302408158779144,3000,0.0,
1980-04-29 00:00:00+00:00,0.0,0.8916670083999634,0.8916670083999634,0.3333564400672912,4500,0.0,
1980-04-30 00:00:00+00:00,0.0,0.8999999761581421,0.8833330273628235,0.3364719152450561,16500,0.0,
1980-05-01 00:00:00+00:00,0.0,0.8999999761581421,0.875,0.32712522149086,27000,0.0,
1980-05-02 00:00:00+00:00,0.0,0.8666669726371765,0.8666669726371765,0.3240099847316742,12000,0.0,
1980-05-05 00:00:00+00:00,0.0,0.8833330273628235,0.8833330273628235,0.3302408158779144,4500,0.0,
1980-05-06 00:00:00+00:00,0.0,0.8999999761581421,0.8833330273628235,0.3364719152450561,24000,0.0,
1980-05-07 00:00:00+00:00,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.3364719152450561,0,0.0,
1980-05-08 00:00:00+00:00,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.3364719152450561,0,0.0,
1980-05-09 00:00:00+00:00,0.0,0.8999999761581421,0.8916670083999634,0.3364719152450561,10500,0.0,
1980-05-12 00:00:00+00:00,0.0,0.8833330273628235,0.8833330273628235,0.3302408158779144,3000,0.0,
1980-05-13 00:00:00+00:00,0.0,0.8999999761581421,0.8999999761581421,0.3364719152450561,54000,0.0,
