date,MEOH_Open,MEOH_High,MEOH_Low,MEOH_Close,MEOH_Volume,MEOH_Dividends,MEOH_Stock Splits
1992-05-19 00:00:00+00:00,10.5,10.625,10.375,5.982708930969238,14200,0.0,
1992-05-20 00:00:00+00:00,10.5,10.5,10.125,5.838545799255371,34200,0.0,
1992-05-21 00:00:00+00:00,10.125,10.25,10.125,5.910629749298096,11200,0.0,
1992-05-22 00:00:00+00:00,10.25,10.5,10.125,6.054791450500488,37400,0.0,
1992-05-26 00:00:00+00:00,10.375,10.5,10.125,5.910629749298096,58500,0.0,
1992-05-27 00:00:00+00:00,10.25,10.25,10.25,5.910629749298096,0,0.0,
1992-05-28 00:00:00+00:00,10.25,10.25,10.125,5.838545799255371,2600,0.0,
1992-05-29 00:00:00+00:00,10.25,10.25,10.25,5.910629749298096,19300,0.0,
1992-06-01 00:00:00+00:00,10.25,10.375,10.125,5.838545799255371,15500,0.0,
1992-06-02 00:00:00+00:00,10.0,10.125,9.625,5.622304916381836,146900,0.0,
1992-06-03 00:00:00+00:00,9.625,9.625,9.625,5.550222873687744,5000,0.0,
1992-06-04 00:00:00+00:00,9.75,9.875,9.5,5.622304916381836,116100,0.0,
1992-06-05 00:00:00+00:00,9.75,9.875,9.625,5.622304916381836,41500,0.0,
1992-06-08 00:00:00+00:00,9.75,9.75,9.5,5.622304916381836,15200,0.0,
1992-06-09 00:00:00+00:00,9.75,9.75,9.5,5.550222873687744,23600,0.0,
1992-06-10 00:00:00+00:00,9.625,9.625,9.125,5.261900424957275,59800,0.0,
1992-06-11 00:00:00+00:00,9.25,9.25,9.0,5.189819812774658,52400,0.0,
1992-06-12 00:00:00+00:00,9.125,9.125,9.0,5.189819812774658,14000,0.0,
1992-06-15 00:00:00+00:00,9.25,9.25,9.0,5.333983421325684,16800,0.0,
1992-06-16 00:00:00+00:00,9.0,9.125,8.375,4.829416751861572,49000,0.0,
1992-06-17 00:00:00+00:00,8.5,8.5,7.875,4.5410919189453125,56500,0.0,
1992-06-18 00:00:00+00:00,7.875,7.875,7.625,4.5410919189453125,345200,0.0,
1992-06-19 00:00:00+00:00,8.0,8.25,7.875,4.757336139678955,376900,0.0,
