date,ULH_Open,ULH_High,ULH_Low,ULH_Close,ULH_Volume,ULH_Dividends,ULH_Stock Splits
2005-02-11 00:00:00+00:00,21.0,22.649999618530277,20.5,15.017596244812012,3273100,0.0,
2005-02-14 00:00:00+00:00,22.239999771118164,23.239999771118164,22.0,15.284571647644045,546700,0.0,
2005-02-15 00:00:00+00:00,22.90999984741211,22.90999984741211,22.5,15.184455871582031,194400,0.0,
2005-02-16 00:00:00+00:00,22.700000762939453,22.700000762939453,21.76000022888184,14.530355453491213,246100,0.0,
2005-02-17 00:00:00+00:00,21.700000762939453,21.739999771118164,21.059999465942383,14.149913787841797,252800,0.0,
2005-02-18 00:00:00+00:00,21.200000762939453,22.100000381469727,21.100000381469727,14.283397674560549,143500,0.0,
2005-02-22 00:00:00+00:00,21.850000381469727,21.989999771118164,21.450000762939453,14.38351345062256,18300,0.0,
2005-02-23 00:00:00+00:00,21.5,21.96999931335449,21.5,14.350149154663086,67700,0.0,
2005-02-24 00:00:00+00:00,21.82999992370605,22.0,21.600000381469727,14.543703079223633,27600,0.0,
2005-02-25 00:00:00+00:00,22.0,22.75,21.979999542236328,15.184455871582031,27400,0.0,
2005-02-28 00:00:00+00:00,22.799999237060547,22.850000381469727,22.280000686645508,15.064318656921388,17600,0.0,
2005-03-01 00:00:00+00:00,22.799999237060547,23.229999542236328,22.5,15.03761386871338,34700,0.0,
2005-03-02 00:00:00+00:00,22.76000022888184,23.5,22.530000686645508,15.685039520263672,30900,0.0,
2005-03-03 00:00:00+00:00,23.5,23.5,22.149999618530277,15.324620246887209,7400,0.0,
2005-03-04 00:00:00+00:00,22.01000022888184,22.600000381469727,22.01000022888184,15.017596244812012,24800,0.0,
2005-03-07 00:00:00+00:00,22.489999771118164,22.489999771118164,22.0,14.757293701171877,24200,0.0,
2005-03-08 00:00:00+00:00,22.489999771118164,22.489999771118164,21.420000076293945,14.410219192504885,103900,0.0,
2005-03-09 00:00:00+00:00,21.93000030517578,21.93000030517578,21.5,14.450261116027832,11700,0.0,
2005-03-10 00:00:00+00:00,21.5,21.739999771118164,21.25,14.39686393737793,51600,0.0,
2005-03-11 00:00:00+00:00,21.739999771118164,22.25,21.5,14.850730895996094,19100,0.0,
2005-03-14 00:00:00+00:00,22.0,23.0,21.5,15.157756805419922,113800,0.0,
