date,IWB_Open,IWB_High,IWB_Low,IWB_Close,IWB_Volume,IWB_Dividends,IWB_Stock Splits
2000-05-19 00:00:00+00:00,75.40625,75.40625,74.3125,48.99189376831055,8100,0.0,
2000-05-22 00:00:00+00:00,74.609375,74.609375,72.078125,48.847694396972656,751300,0.0,
2000-05-23 00:00:00+00:00,74.125,74.125,72.84375,48.02359008789063,271200,0.0,
2000-05-24 00:00:00+00:00,72.890625,73.46875,72.0,48.435646057128906,17900,0.0,
2000-05-25 00:00:00+00:00,74.265625,74.359375,72.921875,48.07511520385742,2100,0.0,
2000-05-26 00:00:00+00:00,73.125,73.125,72.484375,47.78668594360352,1800,0.0,
2000-05-30 00:00:00+00:00,73.578125,73.953125,73.578125,48.75497055053711,600,0.0,
2000-05-31 00:00:00+00:00,73.953125,73.953125,73.953125,48.75497055053711,0,0.0,
2000-06-01 00:00:00+00:00,75.65625,76.6875,75.65625,50.279518127441406,400,0.0,
2000-06-02 00:00:00+00:00,78.59375,78.703125,78.375,51.67017364501953,5700,0.0,
2000-06-05 00:00:00+00:00,78.078125,78.34375,78.0,51.4229621887207,21000,0.0,
2000-06-06 00:00:00+00:00,77.953125,78.046875,77.53125,51.11394882202149,3200,0.0,
2000-06-07 00:00:00+00:00,77.5,78.28125,77.5,51.48476791381836,2700,0.0,
2000-06-08 00:00:00+00:00,78.03125,78.03125,77.5,51.09332656860352,600,0.0,
2000-06-09 00:00:00+00:00,78.078125,78.078125,77.75,51.2684326171875,1300,0.0,
2000-06-12 00:00:00+00:00,77.828125,77.84375,77.453125,51.06243515014648,1100,0.0,
2000-06-13 00:00:00+00:00,76.578125,77.90625,76.578125,51.36116027832031,1100,0.0,
2000-06-14 00:00:00+00:00,78.703125,78.703125,78.015625,51.433250427246094,1000,0.0,
2000-06-15 00:00:00+00:00,78.015625,78.015625,78.015625,51.433250427246094,0,0.0,
2000-06-16 00:00:00+00:00,78.3125,78.3125,78.15625,51.525970458984375,20200,0.0,
2000-06-19 00:00:00+00:00,78.71875,78.71875,77.921875,51.37143325805664,500,0.0,
2000-06-20 00:00:00+00:00,78.609375,78.890625,78.4375,51.71139144897461,500,0.0,
2000-06-21 00:00:00+00:00,78.34375,78.59375,78.3125,51.85538101196289,1900,0.062,
2000-06-22 00:00:00+00:00,78.328125,78.328125,77.0,50.80384063720703,13600,0.0,
2000-06-23 00:00:00+00:00,77.25,77.25,76.46875,50.45333480834961,13500,0.0,
2000-06-26 00:00:00+00:00,77.109375,77.109375,76.9375,50.76263046264648,12400,0.0,
2000-06-27 00:00:00+00:00,77.296875,77.375,77.265625,50.979122161865234,300,0.0,
