date,GILT_Open,GILT_High,GILT_Low,GILT_Close,GILT_Volume,GILT_Dividends,GILT_Stock Splits
1993-03-26 00:00:00+00:00,265.0,300.0,260.0,239.78173828125,112445,0.0,
1993-03-29 00:00:00+00:00,305.0,315.0,287.5,237.73228454589844,30790,0.0,
1993-03-30 00:00:00+00:00,295.0,295.0,285.0,237.73228454589844,16530,0.0,
1993-03-31 00:00:00+00:00,290.0,292.5,285.0,237.73228454589844,12920,0.0,
1993-04-01 00:00:00+00:00,290.0,292.5,285.0,233.63348388671875,3290,0.0,
1993-04-02 00:00:00+00:00,285.0,287.5,272.5,231.5840759277344,6370,0.0,
1993-04-05 00:00:00+00:00,270.0,282.5,270.0,225.43582153320312,1215,0.0,
1993-04-06 00:00:00+00:00,270.0,280.0,267.5,221.33697509765625,6930,0.0,
1993-04-07 00:00:00+00:00,270.0,285.0,265.0,229.5346221923828,4895,0.0,
1993-04-08 00:00:00+00:00,280.0,285.0,277.5,229.5346221923828,2390,0.0,
1993-04-12 00:00:00+00:00,277.5,290.0,277.5,229.5346221923828,2155,0.0,
1993-04-13 00:00:00+00:00,295.0,295.0,275.0,227.4852294921875,1800,0.0,
1993-04-14 00:00:00+00:00,285.0,290.0,275.0,233.63348388671875,2985,0.0,
1993-04-15 00:00:00+00:00,300.0,302.5,290.0,241.83116149902344,3080,0.0,
1993-04-16 00:00:00+00:00,305.0,317.5,295.0,260.2759094238281,8125,0.0,
1993-04-19 00:00:00+00:00,325.0,345.0,320.0,270.5229797363281,11540,0.0,
1993-04-20 00:00:00+00:00,330.0,345.0,325.0,272.5723876953125,3805,0.0,
1993-04-21 00:00:00+00:00,332.5,332.5,325.0,266.4241638183594,1980,0.0,
1993-04-22 00:00:00+00:00,327.5,332.5,320.0,266.4241638183594,2690,0.0,
1993-04-23 00:00:00+00:00,320.0,330.0,312.5,262.3252868652344,3805,0.0,
1993-04-26 00:00:00+00:00,320.0,320.0,310.0,262.3252868652344,2800,0.0,
1993-04-27 00:00:00+00:00,315.0,320.0,315.0,262.3252868652344,1175,0.0,
1993-04-28 00:00:00+00:00,310.0,315.0,300.0,252.0782165527344,4185,0.0,
1993-04-29 00:00:00+00:00,307.5,307.5,292.5,245.92996215820312,2845,0.0,
1993-04-30 00:00:00+00:00,300.0,305.0,297.5,245.92996215820312,2655,0.0,
1993-05-03 00:00:00+00:00,302.5,307.5,300.0,247.9794158935547,2900,0.0,
1993-05-04 00:00:00+00:00,307.5,315.0,300.0,256.17706298828125,3515,0.0,
1993-05-05 00:00:00+00:00,315.0,325.0,307.5,262.3252868652344,3365,0.0,
1993-05-06 00:00:00+00:00,327.5,330.0,310.0,262.3252868652344,4005,0.0,
1993-05-07 00:00:00+00:00,322.5,322.5,312.5,262.3252868652344,1160,0.0,
1993-05-10 00:00:00+00:00,335.0,335.0,325.0,272.5723876953125,4210,0.0,
1993-05-11 00:00:00+00:00,332.5,332.5,320.0,266.4241638183594,3040,0.0,
1993-05-12 00:00:00+00:00,332.5,332.5,310.0,256.17706298828125,2245,0.0,
1993-05-13 00:00:00+00:00,312.5,322.5,312.5,258.2264709472656,520,0.0,
1993-05-14 00:00:00+00:00,322.5,322.5,312.5,256.17706298828125,520,0.0,
1993-05-17 00:00:00+00:00,307.5,322.5,307.5,256.17706298828125,670,0.0,
1993-05-18 00:00:00+00:00,320.0,320.0,305.0,254.1276397705078,1850,0.0,
1993-05-19 00:00:00+00:00,300.0,315.0,300.0,254.1276397705078,825,0.0,
1993-05-20 00:00:00+00:00,315.0,315.0,305.0,250.02880859375,645,0.0,
1993-05-21 00:00:00+00:00,312.5,312.5,305.0,250.02880859375,345,0.0,
1993-05-24 00:00:00+00:00,310.0,310.0,295.0,247.9794158935547,240,0.0,
1993-05-25 00:00:00+00:00,300.0,305.0,300.0,245.92996215820312,1750,0.0,
1993-05-26 00:00:00+00:00,302.5,305.0,302.5,250.02880859375,370,0.0,
1993-05-27 00:00:00+00:00,312.5,312.5,300.0,254.1276397705078,165,0.0,
1993-05-28 00:00:00+00:00,305.0,305.0,300.0,245.92996215820312,335,0.0,
1993-06-01 00:00:00+00:00,300.0,305.0,295.0,241.83116149902344,4305,0.0,
1993-06-02 00:00:00+00:00,295.0,300.0,290.0,241.83116149902344,2090,0.0,
1993-06-03 00:00:00+00:00,295.0,295.0,280.0,233.63348388671875,2740,0.0,
1993-06-04 00:00:00+00:00,290.0,290.0,275.0,227.4852294921875,2725,0.0,
1993-06-07 00:00:00+00:00,277.5,290.0,277.5,229.5346221923828,930,0.0,
