date,VBFC_Open,VBFC_High,VBFC_Low,VBFC_Close,VBFC_Volume,VBFC_Dividends,VBFC_Stock Splits
1996-04-01 00:00:00+00:00,438.0,440.0,438.0,369.6166687011719,85181,0.0,
1996-04-02 00:00:00+00:00,438.0,440.0,436.0,369.6166687011719,19256,0.0,
1996-04-03 00:00:00+00:00,436.0,438.0,436.0,367.9288940429688,9725,0.0,
1996-04-04 00:00:00+00:00,434.0,434.0,424.0,361.177978515625,11088,0.0,
1996-04-08 00:00:00+00:00,420.0,424.0,418.0,357.8023986816406,4294,0.0,
1996-04-09 00:00:00+00:00,424.0,426.0,422.0,356.1147155761719,5244,0.0,
1996-04-10 00:00:00+00:00,428.0,430.0,426.0,359.4902038574219,11744,0.0,
1996-04-11 00:00:00+00:00,430.0,430.0,426.0,361.177978515625,20313,0.0,
1996-04-12 00:00:00+00:00,430.0,430.0,428.0,362.8656311035156,1838,0.0,
1996-04-15 00:00:00+00:00,434.0,436.0,432.0,366.2412109375,1238,0.0,
1996-04-16 00:00:00+00:00,440.0,442.0,440.0,372.9921569824219,1888,0.0,
1996-04-17 00:00:00+00:00,440.0,440.0,438.0,371.3043823242188,800,0.0,
1996-04-18 00:00:00+00:00,440.0,444.0,440.0,372.9921569824219,756,0.0,
1996-04-19 00:00:00+00:00,452.0,454.0,452.0,381.4308471679688,1538,0.0,
1996-04-22 00:00:00+00:00,456.0,456.0,454.0,383.11859130859375,931,0.0,
1996-04-23 00:00:00+00:00,456.0,456.0,452.0,381.4308471679688,938,0.0,
1996-04-24 00:00:00+00:00,450.0,450.0,444.0,374.679931640625,931,0.0,
1996-04-25 00:00:00+00:00,448.0,450.0,444.0,376.36761474609375,994,0.0,
1996-04-26 00:00:00+00:00,448.0,448.0,442.0,372.9921569824219,11719,0.0,
1996-04-29 00:00:00+00:00,446.0,446.0,444.0,374.679931640625,894,0.0,
1996-04-30 00:00:00+00:00,442.0,442.0,438.0,369.6166687011719,744,0.0,
1996-05-01 00:00:00+00:00,440.0,440.25,436.0,371.5153503417969,5819,0.0,
1996-05-02 00:00:00+00:00,432.0,432.0,428.0,361.177978515625,975,0.0,
1996-05-03 00:00:00+00:00,430.0,432.0,430.0,364.5534362792969,1463,0.0,
1996-05-06 00:00:00+00:00,438.0,438.0,434.0,366.2412109375,1094,0.0,
1996-05-07 00:00:00+00:00,442.0,442.0,440.0,371.3043823242188,925,0.0,
1996-05-08 00:00:00+00:00,442.0,442.0,440.0,371.3043823242188,1500,0.0,
1996-05-09 00:00:00+00:00,444.0,446.0,444.0,376.36761474609375,1431,0.0,
1996-05-10 00:00:00+00:00,448.0,450.0,448.0,378.0553894042969,925,0.0,
1996-05-13 00:00:00+00:00,448.0,448.0,448.0,378.0553894042969,444,0.0,
1996-05-14 00:00:00+00:00,452.0,458.0,452.0,386.4941101074219,1588,0.0,
1996-05-15 00:00:00+00:00,462.0,466.0,462.0,391.5574035644531,1613,0.0,
1996-05-16 00:00:00+00:00,462.0,464.0,462.0,389.86962890625,381,0.0,
1996-05-17 00:00:00+00:00,466.0,470.0,466.0,394.9328918457031,3269,0.0,
1996-05-20 00:00:00+00:00,472.0,476.0,472.0,401.6839294433594,306,0.0,
1996-05-21 00:00:00+00:00,472.0,472.0,470.0,398.308349609375,2056,0.0,
1996-05-22 00:00:00+00:00,464.0,464.0,458.0,386.4941101074219,481,0.0,
1996-05-23 00:00:00+00:00,462.0,464.0,462.0,389.86962890625,1325,0.0,
1996-05-24 00:00:00+00:00,448.0,450.0,446.0,382.4984436035156,137256,3.328,
1996-05-28 00:00:00+00:00,450.0,450.0,446.0,379.0984497070313,3356,0.0,
1996-05-29 00:00:00+00:00,446.0,446.0,444.0,377.39849853515625,200,0.0,
1996-05-30 00:00:00+00:00,444.0,446.5,442.0,377.39849853515625,7225,0.0,
1996-05-31 00:00:00+00:00,448.0,450.0,446.0,380.7984619140625,3500,0.0,
1996-06-03 00:00:00+00:00,452.0,452.0,448.0,382.4984436035156,5281,0.0,
1996-06-04 00:00:00+00:00,452.0,454.0,452.0,384.1983947753906,513,0.0,
1996-06-05 00:00:00+00:00,456.0,458.0,456.0,389.2984008789063,500,0.0,
1996-06-06 00:00:00+00:00,458.0,458.0,456.0,387.5984191894531,169,0.0,
1996-06-07 00:00:00+00:00,452.0,452.0,448.0,382.4984436035156,256,0.0,
1996-06-10 00:00:00+00:00,454.0,456.0,452.0,384.1983947753906,656,0.0,
1996-06-11 00:00:00+00:00,454.0,454.0,450.0,382.4984436035156,488,0.0,
1996-06-12 00:00:00+00:00,450.0,450.0,450.0,382.4984436035156,606,0.0,
1996-06-13 00:00:00+00:00,450.0,450.0,450.0,382.4984436035156,6,0.0,
1996-06-14 00:00:00+00:00,448.0,448.0,444.0,377.39849853515625,169,0.0,
1996-06-17 00:00:00+00:00,446.0,446.0,442.0,375.698486328125,7638,0.0,
1996-06-18 00:00:00+00:00,448.0,448.0,446.0,379.0984497070313,619,0.0,
1996-06-19 00:00:00+00:00,444.0,448.0,442.0,375.698486328125,106,0.0,
1996-06-20 00:00:00+00:00,444.0,448.0,444.0,377.39849853515625,188,0.0,
1996-06-21 00:00:00+00:00,444.0,444.0,442.0,375.698486328125,138,0.0,
