date,EVF_Open,EVF_High,EVF_Low,EVF_Close,EVF_Volume,EVF_Dividends,EVF_Stock Splits
1998-10-28 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,595300,0.0,
1998-10-29 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,55800,0.0,
1998-10-30 00:00:00+00:00,10.0625,10.0625,10.0,1.4924570322036743,43200,0.0,
1998-11-02 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,85400,0.0,
1998-11-03 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,111400,0.0,
1998-11-04 00:00:00+00:00,10.0625,10.0625,10.0,1.4924570322036743,97500,0.0,
1998-11-05 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,90900,0.0,
1998-11-06 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,95900,0.0,
1998-11-09 00:00:00+00:00,10.0625,10.125,10.0,1.5017845630645752,73300,0.0,
1998-11-10 00:00:00+00:00,10.0625,10.125,10.0,1.4924570322036743,51400,0.0,
1998-11-11 00:00:00+00:00,10.0625,10.125,10.0,1.5017845630645752,100400,0.0,
1998-11-12 00:00:00+00:00,10.0625,10.0625,10.0,1.5017845630645752,39300,0.0,
1998-11-13 00:00:00+00:00,10.0625,10.0625,10.0,1.4924570322036743,60900,0.0,
1998-11-16 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,41900,0.0,
1998-11-17 00:00:00+00:00,10.0625,10.125,10.0,1.5017845630645752,28800,0.0,
1998-11-18 00:00:00+00:00,10.0625,10.125,10.0,1.5017845630645752,24900,0.0,
1998-11-19 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,239000,0.0,
1998-11-20 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,161700,0.0,
1998-11-23 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,200600,0.0,
1998-11-24 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,135600,0.0,
1998-11-25 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,49300,0.0,
1998-11-27 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,53900,0.0,
1998-11-30 00:00:00+00:00,10.0625,10.0625,10.0,1.5017845630645752,190700,0.0,
1998-12-01 00:00:00+00:00,10.0625,10.0625,10.0,1.5017845630645752,64000,0.0,
1998-12-02 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,54300,0.0,
1998-12-03 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,63000,0.0,
1998-12-04 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,76700,0.0,
1998-12-07 00:00:00+00:00,10.0625,10.0625,10.0,1.4924570322036743,103400,0.0,
1998-12-08 00:00:00+00:00,10.0625,10.0625,10.0,1.4924570322036743,83000,0.0,
1998-12-09 00:00:00+00:00,10.0625,10.0625,10.0,1.5017845630645752,85200,0.0,
1998-12-10 00:00:00+00:00,10.0,10.0625,10.0,1.5017845630645752,55500,0.0,
1998-12-11 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,105400,0.0,
1998-12-14 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,55100,0.0,
1998-12-15 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,97200,0.0,
1998-12-16 00:00:00+00:00,10.0,10.0625,10.0,1.4924570322036743,169200,0.0,
1998-12-17 00:00:00+00:00,10.0,10.0625,9.9375,1.4924570322036743,266100,0.0,
1998-12-18 00:00:00+00:00,10.0,10.0,9.75,1.4551455974578855,163800,0.0,
1998-12-21 00:00:00+00:00,9.8125,9.9375,9.75,1.4644733667373655,80200,0.0,
1998-12-22 00:00:00+00:00,9.75,9.875,9.75,1.4551455974578855,93800,0.0,
1998-12-23 00:00:00+00:00,9.8125,9.875,9.75,1.4644733667373655,132100,0.0,
1998-12-24 00:00:00+00:00,9.8125,9.875,9.75,1.4738008975982666,31800,0.0,
