date,SQQQ_Open,SQQQ_High,SQQQ_Low,SQQQ_Close,SQQQ_Volume,SQQQ_Dividends,SQQQ_Stock Splits
2010-02-11 00:00:00+00:00,515008.0,520000.0,488384.0,430120.6875,8,0.0,
2010-02-12 00:00:00+00:00,507328.0,507712.0,486080.0,426544.78125,8,0.0,
2010-02-16 00:00:00+00:00,477952.0,485952.0,469760.0,411402.78125,7,0.0,
2010-02-17 00:00:00+00:00,464960.0,471936.0,462656.0,405088.9375,7,0.0,
2010-02-18 00:00:00+00:00,463424.0,465600.0,451520.0,395366.875,7,0.0,
2010-02-19 00:00:00+00:00,456960.0,460672.0,448000.0,396428.46875,7,0.0,
2010-02-22 00:00:00+00:00,449152.0,461952.0,448832.0,398886.96875,5,0.0,
2010-02-23 00:00:00+00:00,457856.0,480256.0,457792.0,414922.875,8,0.0,
2010-02-24 00:00:00+00:00,467072.0,469184.0,454784.0,401960.0,10,0.0,
2010-02-25 00:00:00+00:00,474944.0,483840.0,457216.0,399166.28125,9,0.0,
2010-02-26 00:00:00+00:00,460800.0,465216.0,453184.0,396987.1875,7,0.0,
2010-03-01 00:00:00+00:00,449408.0,449728.0,433280.0,379498.5625,9,0.0,
2010-03-02 00:00:00+00:00,430720.0,433984.0,423552.0,376593.03125,3,0.0,
2010-03-03 00:00:00+00:00,429824.0,434624.0,424000.0,376593.03125,4,0.0,
2010-03-04 00:00:00+00:00,428992.0,434944.0,424448.0,371899.59375,7,0.0,
2010-03-05 00:00:00+00:00,415360.0,418176.0,404992.0,355416.65625,9,0.0,
2010-03-08 00:00:00+00:00,404416.0,405184.0,401280.0,352511.21875,4,0.0,
2010-03-09 00:00:00+00:00,407296.0,407296.0,390400.0,346420.96875,13,0.0,
2010-03-10 00:00:00+00:00,393280.0,393984.0,384704.0,338095.65625,9,0.0,
2010-03-11 00:00:00+00:00,389632.0,391680.0,383232.0,334799.125,10,0.0,
2010-03-12 00:00:00+00:00,378624.0,386496.0,378624.0,334296.15625,8,0.0,
2010-03-15 00:00:00+00:00,385536.0,392896.0,382592.0,336307.6875,9,0.0,
2010-03-16 00:00:00+00:00,381824.0,384960.0,376448.0,329826.28125,8,0.0,
2010-03-17 00:00:00+00:00,376512.0,377600.0,369728.0,328261.8125,11,0.0,
2010-03-18 00:00:00+00:00,373824.0,376320.0,369984.0,324350.5,9,0.0,
2010-03-19 00:00:00+00:00,378240.0,381504.0,367232.0,330217.40625,14,0.0,
2010-03-22 00:00:00+00:00,381760.0,383360.0,362944.0,320942.25,23,0.0,
2010-03-23 00:00:00+00:00,365696.0,370112.0,359040.0,314572.53125,17,0.0,
