date,WTS_Open,WTS_High,WTS_Low,WTS_Close,WTS_Volume,WTS_Dividends,WTS_Stock Splits
1986-08-21 00:00:00+00:00,8.1875,8.3125,8.1875,5.484405517578125,3969000,0.0,
1986-08-22 00:00:00+00:00,8.1875,8.3125,8.0625,5.484405517578125,663000,0.0,
1986-08-25 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,207800,0.0,
1986-08-26 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,597400,0.0,
1986-08-27 00:00:00+00:00,8.0625,8.1875,8.0625,5.484405517578125,741600,0.0,
1986-08-28 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,166800,0.0,
1986-08-29 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,85600,0.0,
1986-09-02 00:00:00+00:00,8.1875,8.3125,8.0625,5.568136692047119,441400,0.0,
1986-09-03 00:00:00+00:00,8.3125,8.3125,8.1875,5.484405517578125,86000,0.0,
1986-09-04 00:00:00+00:00,8.1875,8.3125,8.1875,5.484405517578125,42200,0.0,
1986-09-05 00:00:00+00:00,8.1875,8.3125,8.0625,5.484405517578125,221600,0.0,
1986-09-08 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,36200,0.0,
1986-09-09 00:00:00+00:00,8.0625,8.1875,8.0625,5.484405517578125,86800,0.0,
1986-09-10 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,123200,0.0,
1986-09-11 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,516800,0.0,
1986-09-12 00:00:00+00:00,8.0625,8.0625,7.9375,5.3169426918029785,224800,0.0,
1986-09-15 00:00:00+00:00,7.9375,7.9375,7.9375,5.3169426918029785,85800,0.0,
1986-09-16 00:00:00+00:00,7.9375,7.9375,7.9375,5.3169426918029785,43200,0.0,
1986-09-17 00:00:00+00:00,7.9375,7.9375,7.9375,5.3169426918029785,171000,0.0,
1986-09-18 00:00:00+00:00,7.9375,7.9375,7.9375,5.3169426918029785,61600,0.0,
1986-09-19 00:00:00+00:00,7.9375,8.1875,7.9375,5.484405517578125,156000,0.0,
1986-09-22 00:00:00+00:00,8.1875,8.3125,8.1875,5.484405517578125,12400,0.0,
1986-09-23 00:00:00+00:00,8.1875,8.3125,8.1875,5.484405517578125,46200,0.0,
1986-09-24 00:00:00+00:00,8.1875,8.3125,8.1875,5.484405517578125,9200,0.0,
1986-09-25 00:00:00+00:00,8.1875,8.3125,8.1875,5.568136692047119,4000,0.0,
1986-09-26 00:00:00+00:00,8.3125,8.3125,8.1875,5.568136692047119,19200,0.0,
1986-09-29 00:00:00+00:00,8.3125,8.3125,8.0625,5.484405517578125,23000,0.0,
1986-09-30 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,6600,0.0,
1986-10-01 00:00:00+00:00,8.0625,8.1875,8.0625,5.484405517578125,14800,0.0,
1986-10-02 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,17400,0.0,
1986-10-03 00:00:00+00:00,8.0625,8.1875,8.0625,5.484405517578125,25800,0.0,
1986-10-06 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,188800,0.0,
1986-10-07 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,43800,0.0,
1986-10-08 00:00:00+00:00,8.0625,8.1875,8.0625,5.484405517578125,41000,0.0,
1986-10-09 00:00:00+00:00,8.1875,8.1875,8.1875,5.484405517578125,2200,0.0,
1986-10-10 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,12000,0.0,
1986-10-13 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,5800,0.0,
1986-10-14 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,7800,0.0,
1986-10-15 00:00:00+00:00,8.1875,8.1875,8.0625,5.484405517578125,85600,0.0,
1986-10-16 00:00:00+00:00,8.1875,8.1875,8.0625,5.400671005249023,36800,0.0,
1986-10-17 00:00:00+00:00,8.0625,8.1875,8.0625,5.400671005249023,28800,0.0,
1986-10-20 00:00:00+00:00,8.0625,8.1875,8.0625,5.400671005249023,20000,0.0,
1986-10-21 00:00:00+00:00,8.0625,8.1875,8.0625,5.400671005249023,7600,0.0,
1986-10-22 00:00:00+00:00,8.0625,8.0625,8.0625,5.400671005249023,10200,0.0,
1986-10-23 00:00:00+00:00,8.0625,8.0625,7.9375,5.3169426918029785,24600,0.0,
1986-10-24 00:00:00+00:00,7.9375,8.0625,7.9375,5.3169426918029785,73000,0.0,
1986-10-27 00:00:00+00:00,7.9375,8.0625,7.9375,5.3169426918029785,70800,0.0,
1986-10-28 00:00:00+00:00,7.9375,8.0625,7.9375,5.3169426918029785,14400,0.0,
1986-10-29 00:00:00+00:00,7.9375,8.0625,7.9375,5.400671005249023,2800,0.0,
1986-10-30 00:00:00+00:00,8.0625,8.0625,7.8125,5.3169426918029785,20800,0.0,
1986-10-31 00:00:00+00:00,7.9375,8.0625,7.8125,5.233208656311035,28000,0.0,
