date,DMRC_Open,DMRC_High,DMRC_Low,DMRC_Close,DMRC_Volume,DMRC_Dividends,DMRC_Stock Splits
1999-12-02 00:00:00+00:00,75.0,88.0,55.5,54.34857177734375,6383900,0.0,
1999-12-03 00:00:00+00:00,61.25,66.25,58.0625,56.62809753417969,1765300,0.0,
1999-12-06 00:00:00+00:00,64.9375,65.0,57.625,58.54769134521485,658100,0.0,
1999-12-07 00:00:00+00:00,62.0,64.5,60.125,60.58726501464844,479000,0.0,
1999-12-08 00:00:00+00:00,63.125,63.5,58.125,57.22796630859375,703300,0.0,
1999-12-09 00:00:00+00:00,61.5,61.75,55.125,55.608306884765625,356400,0.0,
1999-12-10 00:00:00+00:00,58.0,59.0,54.75,53.14881896972656,333700,0.0,
1999-12-13 00:00:00+00:00,55.0625,55.9375,49.875,48.70975875854492,604600,0.0,
1999-12-14 00:00:00+00:00,51.4375,51.5,42.5,43.67081069946289,281800,0.0,
1999-12-15 00:00:00+00:00,43.0,50.0,42.0,40.79142761230469,560600,0.0,
1999-12-16 00:00:00+00:00,43.0,51.5,43.0,49.18964767456055,342800,0.0,
1999-12-17 00:00:00+00:00,51.6875,61.375,51.0,57.70786285400391,593400,0.0,
1999-12-20 00:00:00+00:00,61.6875,61.8125,56.0,55.4283447265625,215900,0.0,
1999-12-21 00:00:00+00:00,57.5,64.1875,55.0,61.06715774536133,377900,0.0,
1999-12-22 00:00:00+00:00,63.6875,63.875,53.5,60.82720947265625,207800,0.0,
1999-12-23 00:00:00+00:00,63.25,65.5,59.25,59.80742645263672,357700,0.0,
1999-12-27 00:00:00+00:00,62.3125,63.8125,57.875,56.988014221191406,239700,0.0,
1999-12-28 00:00:00+00:00,58.5,60.0,55.0,52.84889221191406,123700,0.0,
1999-12-29 00:00:00+00:00,56.25,56.5,54.75,53.14881896972656,115800,0.0,
1999-12-30 00:00:00+00:00,56.25,56.5,50.25,49.42960357666016,175400,0.0,
1999-12-31 00:00:00+00:00,52.0,52.125,47.5625,47.98991012573242,157100,0.0,
2000-01-03 00:00:00+00:00,52.0,55.0,50.125,49.6695556640625,237600,0.0,
2000-01-04 00:00:00+00:00,52.625,55.0,51.125,49.06968307495117,149600,0.0,
2000-01-05 00:00:00+00:00,51.125,52.5,47.5,46.0703125,103800,0.0,
2000-01-06 00:00:00+00:00,48.0,49.5,46.625,44.750587463378906,61600,0.0,
2000-01-07 00:00:00+00:00,46.5,47.375,43.25,43.19091033935547,123100,0.0,
2000-01-10 00:00:00+00:00,46.0,46.5,43.0,42.4710693359375,150200,0.0,
2000-01-11 00:00:00+00:00,43.6875,46.625,42.75,41.0313720703125,193000,0.0,
2000-01-12 00:00:00+00:00,44.125,44.25,42.125,41.751220703125,174400,0.0,
2000-01-13 00:00:00+00:00,43.5625,44.0,42.5,41.27132415771485,61600,0.0,
2000-01-14 00:00:00+00:00,43.0,44.75,42.75,41.87119674682617,234400,0.0,
2000-01-18 00:00:00+00:00,43.75,43.75,40.75,39.11178207397461,204300,0.0,
2000-01-19 00:00:00+00:00,42.0,42.875,40.75,39.95159530639648,195500,0.0,
2000-01-20 00:00:00+00:00,40.5,46.75,40.5,43.67081069946289,350000,0.0,
2000-01-21 00:00:00+00:00,46.375,46.375,41.5,42.83099365234375,194800,0.0,
2000-01-24 00:00:00+00:00,45.125,49.875,45.125,44.63060760498047,382400,0.0,
2000-01-25 00:00:00+00:00,46.625,52.0,46.0,49.18964767456055,274300,0.0,
2000-01-26 00:00:00+00:00,52.0,62.0,51.9375,56.74806594848633,437800,0.0,
2000-01-27 00:00:00+00:00,59.25,59.25,54.75,54.708492279052734,162900,0.0,
2000-01-28 00:00:00+00:00,56.0,60.375,55.875,54.94844055175781,157000,0.0,
2000-01-31 00:00:00+00:00,57.9375,58.0,53.0,51.76911163330078,103300,0.0,
2000-02-01 00:00:00+00:00,55.9375,62.0,55.25,58.36772537231445,177900,0.0,
2000-02-02 00:00:00+00:00,61.8125,63.125,59.5,58.90760803222656,146000,0.0,
