date,FDP_Open,FDP_High,FDP_Low,FDP_Close,FDP_Volume,FDP_Dividends,FDP_Stock Splits
1997-10-24 00:00:00+00:00,18.0,18.0,16.0,11.943236351013184,6329200,0.0,
1997-10-27 00:00:00+00:00,16.0,16.4375,16.0,11.240694999694824,1118800,0.0,
1997-10-28 00:00:00+00:00,15.0,16.0,14.75,11.108970642089844,380200,0.0,
1997-10-29 00:00:00+00:00,15.9375,16.125,15.75,11.240694999694824,353100,0.0,
1997-10-30 00:00:00+00:00,15.375,15.875,15.1875,10.88942527770996,197000,0.0,
1997-10-31 00:00:00+00:00,15.5,16.125,15.125,11.328516960144045,117000,0.0,
1997-11-03 00:00:00+00:00,16.0,16.4375,15.75,11.328516960144045,153900,0.0,
1997-11-04 00:00:00+00:00,16.1875,16.1875,15.625,11.328516960144045,146300,0.0,
1997-11-05 00:00:00+00:00,16.375,16.5,15.9375,11.284602165222168,314700,0.0,
1997-11-06 00:00:00+00:00,16.0,16.0,15.0,10.757699012756348,266700,0.0,
1997-11-07 00:00:00+00:00,15.0625,15.0625,14.375,10.450334548950195,258000,0.0,
1997-11-10 00:00:00+00:00,15.0,15.0,14.75,10.494242668151855,100500,0.0,
1997-11-11 00:00:00+00:00,14.9375,14.9375,14.25,10.274701118469238,78500,0.0,
1997-11-12 00:00:00+00:00,14.625,14.625,13.875,9.835606575012209,170900,0.0,
1997-11-13 00:00:00+00:00,14.0,14.0625,13.125,9.22087860107422,398000,0.0,
1997-11-14 00:00:00+00:00,13.3125,14.25,13.125,9.74778938293457,300000,0.0,
1997-11-17 00:00:00+00:00,14.25,14.875,14.0625,10.362516403198242,140600,0.0,
1997-11-18 00:00:00+00:00,16.625,16.625,14.9375,10.5381498336792,962500,0.0,
1997-11-19 00:00:00+00:00,15.0,15.125,14.75,10.362516403198242,133400,0.0,
1997-11-20 00:00:00+00:00,14.8125,15.0,14.75,10.450334548950195,281300,0.0,
1997-11-21 00:00:00+00:00,14.8125,15.375,14.6875,10.625969886779783,181500,0.0,
1997-11-24 00:00:00+00:00,14.875,14.875,14.5,10.186881065368652,71000,0.0,
1997-11-25 00:00:00+00:00,14.625,14.625,14.25,10.186881065368652,74600,0.0,
1997-11-26 00:00:00+00:00,14.75,14.875,14.5,10.450334548950195,122200,0.0,
1997-11-28 00:00:00+00:00,15.0,15.0,14.625,10.362516403198242,23400,0.0,
1997-12-01 00:00:00+00:00,15.0,15.0,14.375,10.186881065368652,155300,0.0,
1997-12-02 00:00:00+00:00,14.625,15.25,14.625,10.713788032531738,235200,0.0,
1997-12-03 00:00:00+00:00,15.625,15.8125,15.1875,10.801608085632324,172200,0.0,
1997-12-04 00:00:00+00:00,15.375,15.5,15.125,10.625969886779783,64500,0.0,
1997-12-05 00:00:00+00:00,15.25,15.25,14.625,10.362516403198242,213500,0.0,
1997-12-08 00:00:00+00:00,14.8125,15.125,14.8125,10.582059860229492,64200,0.0,
1997-12-09 00:00:00+00:00,15.125,15.125,14.625,10.274701118469238,46100,0.0,
1997-12-10 00:00:00+00:00,14.6875,14.6875,13.625,9.835606575012209,114300,0.0,
1997-12-11 00:00:00+00:00,14.1875,14.1875,13.4375,9.74778938293457,71400,0.0,
1997-12-12 00:00:00+00:00,14.1875,14.375,14.1875,10.055155754089355,77200,0.0,
1997-12-15 00:00:00+00:00,14.4375,14.5,14.0,9.835606575012209,72100,0.0,
1997-12-16 00:00:00+00:00,14.125,14.1875,13.75,9.835606575012209,75100,0.0,
1997-12-17 00:00:00+00:00,13.9375,14.0,13.625,9.835606575012209,119800,0.0,
1997-12-18 00:00:00+00:00,13.9375,13.9375,13.625,9.61606216430664,409000,0.0,
1997-12-19 00:00:00+00:00,13.625,13.8125,13.3125,9.70388412475586,80000,0.0,
1997-12-22 00:00:00+00:00,13.8125,14.1875,13.8125,9.835606575012209,39300,0.0,
1997-12-23 00:00:00+00:00,14.0,14.1875,14.0,9.923428535461426,121000,0.0,
1997-12-24 00:00:00+00:00,14.25,14.375,14.125,10.01124382019043,33500,0.0,
1997-12-26 00:00:00+00:00,14.1875,14.375,14.1875,10.099061012268066,27900,0.0,
1997-12-29 00:00:00+00:00,14.375,14.375,14.0625,9.879511833190918,61200,0.0,
1997-12-30 00:00:00+00:00,14.1875,14.25,13.75,10.01124382019043,200100,0.0,
1997-12-31 00:00:00+00:00,14.375,14.875,14.375,10.274701118469238,195500,0.0,
1998-01-02 00:00:00+00:00,14.6875,14.6875,14.375,10.099061012268066,243900,0.0,
1998-01-05 00:00:00+00:00,14.5,14.75,14.4375,10.274701118469238,206500,0.0,
1998-01-06 00:00:00+00:00,14.375,14.375,14.125,9.967336654663086,166900,0.0,
1998-01-07 00:00:00+00:00,14.25,14.4375,14.1875,10.099061012268066,66200,0.0,
1998-01-08 00:00:00+00:00,14.4375,14.4375,14.0,9.879511833190918,75900,0.0,
1998-01-09 00:00:00+00:00,14.5,14.5,14.0,9.835606575012209,176200,0.0,
1998-01-12 00:00:00+00:00,13.875,14.875,13.5,9.572154998779297,291300,0.0,
1998-01-13 00:00:00+00:00,13.5625,14.0,13.5625,9.74778938293457,21400,0.0,
1998-01-14 00:00:00+00:00,13.875,13.9375,13.5,9.659975051879885,30500,0.0,
1998-01-15 00:00:00+00:00,13.625,13.625,13.25,9.484335899353027,54500,0.0,
1998-01-16 00:00:00+00:00,13.5,13.75,13.3125,9.572154998779297,72500,0.0,
1998-01-20 00:00:00+00:00,13.5,13.5,13.125,9.308698654174805,73900,0.0,
1998-01-21 00:00:00+00:00,13.1875,13.1875,12.75,9.089152336120604,267400,0.0,
1998-01-22 00:00:00+00:00,12.9375,13.0,12.375,8.737886428833008,454000,0.0,
1998-01-23 00:00:00+00:00,12.375,12.5,12.125,8.518341064453125,204000,0.0,
1998-01-26 00:00:00+00:00,12.0625,12.25,11.5,8.342704772949219,691900,0.0,
1998-01-27 00:00:00+00:00,11.375,11.9375,10.5,7.991434574127197,185400,0.0,
1998-01-28 00:00:00+00:00,11.5,12.0,11.5,8.254884719848633,344700,0.0,
1998-01-29 00:00:00+00:00,12.0,12.75,11.8125,8.913520812988281,68600,0.0,
1998-01-30 00:00:00+00:00,12.8125,13.5,12.75,9.484335899353027,122400,0.0,
1998-02-02 00:00:00+00:00,13.5,13.875,13.3125,9.39651870727539,50300,0.0,
1998-02-03 00:00:00+00:00,13.25,13.375,13.0625,9.39651870727539,64200,0.0,
1998-02-04 00:00:00+00:00,13.5,13.625,13.125,9.572154998779297,41600,0.0,
1998-02-05 00:00:00+00:00,13.625,13.875,13.4375,9.572154998779297,63300,0.0,
1998-02-06 00:00:00+00:00,13.875,14.25,13.625,9.835606575012209,46000,0.0,
1998-02-09 00:00:00+00:00,14.125,14.25,14.0,9.967336654663086,126900,0.0,
