date,BIS_Open,BIS_High,BIS_Low,BIS_Close,BIS_Volume,BIS_Dividends,BIS_Stock Splits
2010-04-09 00:00:00+00:00,4808.0,4808.0,4808.0,4543.54248046875,1,0.0,
2010-04-12 00:00:00+00:00,4803.2001953125,4840.0,4796.0,4548.0791015625,46,0.0,
2010-04-13 00:00:00+00:00,4800.0,4852.7998046875,4793.60009765625,4529.93505859375,23,0.0,
2010-04-14 00:00:00+00:00,4778.39990234375,4801.60009765625,4741.60009765625,4480.79443359375,14,0.0,
2010-04-15 00:00:00+00:00,4716.0,4728.0,4716.0,4467.94287109375,26,0.0,
2010-04-16 00:00:00+00:00,4728.0,4806.39990234375,4728.0,4513.30322265625,13,0.0,
2010-04-19 00:00:00+00:00,4749.60009765625,4866.39990234375,4749.60009765625,4558.662109375,81,0.0,
2010-04-20 00:00:00+00:00,4793.60009765625,4826.39990234375,4784.7998046875,4521.619140625,16,0.0,
2010-04-21 00:00:00+00:00,4897.60009765625,4976.7998046875,4888.0,4669.79443359375,61,0.0,
2010-04-22 00:00:00+00:00,4948.7998046875,5118.39990234375,4948.7998046875,4734.0537109375,125,0.0,
2010-04-23 00:00:00+00:00,4987.2001953125,4987.2001953125,4916.0,4645.60205078125,6,0.0,
2010-04-26 00:00:00+00:00,4887.2001953125,4968.0,4887.2001953125,4694.7421875,44,0.0,
2010-04-27 00:00:00+00:00,4960.7998046875,5088.0,4901.60009765625,4808.14208984375,24,0.0,
2010-04-28 00:00:00+00:00,5071.2001953125,5081.60009765625,5066.39990234375,4802.0947265625,11,0.0,
2010-04-29 00:00:00+00:00,5009.60009765625,5009.60009765625,4700.0,4491.37890625,80,0.0,
2010-04-30 00:00:00+00:00,4706.39990234375,4826.39990234375,4706.39990234375,4560.9296875,44,0.0,
2010-05-03 00:00:00+00:00,4826.39990234375,4826.39990234375,4753.60009765625,4492.134765625,16,0.0,
