date,LEO_Open,LEO_High,LEO_Low,LEO_Close,LEO_Volume,LEO_Dividends,LEO_Stock Splits
1987-09-23 00:00:00+00:00,0.0,9.875,9.75,0.9180684685707092,5195600,0.0,
1987-09-24 00:00:00+00:00,9.75,9.75,9.75,0.9180684685707092,2312000,0.0,
1987-09-25 00:00:00+00:00,9.75,9.75,9.75,0.9180684685707092,984800,0.0,
1987-09-28 00:00:00+00:00,9.75,9.75,9.75,0.9180684685707092,1666000,0.0,
1987-09-29 00:00:00+00:00,9.75,9.875,9.75,0.9298393130302428,457300,0.0,
1987-09-30 00:00:00+00:00,9.75,9.875,9.75,0.9180684685707092,371500,0.0,
1987-10-01 00:00:00+00:00,9.75,9.75,9.125,0.8945285081863403,397600,0.0,
1987-10-02 00:00:00+00:00,9.25,9.375,9.125,0.8709889650344849,177500,0.0,
1987-10-05 00:00:00+00:00,9.25,9.25,9.0,0.8592177033424377,195400,0.0,
1987-10-06 00:00:00+00:00,9.125,9.25,9.0,0.8709889650344849,144600,0.0,
1987-10-07 00:00:00+00:00,9.25,9.25,9.125,0.8709889650344849,137600,0.0,
1987-10-08 00:00:00+00:00,9.25,9.25,9.125,0.8592177033424377,99600,0.0,
1987-10-09 00:00:00+00:00,9.25,9.25,9.125,0.8592177033424377,102800,0.0,
1987-10-12 00:00:00+00:00,9.125,9.125,9.0,0.8474476933479309,103500,0.0,
1987-10-13 00:00:00+00:00,9.125,9.125,8.75,0.8474476933479309,182400,0.0,
1987-10-14 00:00:00+00:00,9.0,9.0,8.875,0.8474476933479309,65100,0.0,
1987-10-15 00:00:00+00:00,9.0,9.0,8.875,0.8474476933479309,109200,0.0,
1987-10-16 00:00:00+00:00,9.0,9.0,8.375,0.8121374249458313,103100,0.0,
1987-10-19 00:00:00+00:00,8.0,8.0,7.375,0.7532869577407837,249900,0.0,
1987-10-20 00:00:00+00:00,8.0,8.625,8.0,0.7885985374450684,222300,0.0,
1987-10-21 00:00:00+00:00,8.75,8.875,8.5,0.8121374249458313,187200,0.0,
1987-10-22 00:00:00+00:00,8.0,8.875,8.0,0.8121374249458313,147200,0.0,
