date,JEQ_Open,JEQ_High,JEQ_Low,JEQ_Close,JEQ_Volume,JEQ_Dividends,JEQ_Stock Splits
1992-08-14 00:00:00+00:00,9.0,9.375,8.875,3.811808824539185,241300,0.0,
1992-08-17 00:00:00+00:00,9.375,9.625,9.375,3.862633228302002,50800,0.0,
1992-08-18 00:00:00+00:00,8.875,9.25,8.875,3.760983943939209,70400,0.0,
1992-08-19 00:00:00+00:00,9.25,9.25,9.125,3.760983943939209,13000,0.0,
1992-08-20 00:00:00+00:00,9.375,9.5,9.25,3.862633228302002,30100,0.0,
1992-08-21 00:00:00+00:00,9.625,9.75,9.5,3.9134559631347656,96900,0.0,
1992-08-24 00:00:00+00:00,9.5,9.75,9.5,3.9642813205718994,44300,0.0,
1992-08-25 00:00:00+00:00,9.625,9.75,9.625,3.9642813205718994,17000,0.0,
1992-08-26 00:00:00+00:00,9.75,9.75,9.625,3.9642813205718994,19000,0.0,
1992-08-27 00:00:00+00:00,10.0,10.375,9.875,4.1167521476745605,489400,0.0,
1992-08-28 00:00:00+00:00,10.125,10.125,9.875,4.1167521476745605,91600,0.0,
1992-08-31 00:00:00+00:00,10.125,10.25,10.125,4.1167521476745605,167200,0.0,
1992-09-01 00:00:00+00:00,10.125,10.125,10.0,4.065930843353272,16400,0.0,
1992-09-02 00:00:00+00:00,10.0,10.125,9.875,4.1167521476745605,12900,0.0,
1992-09-03 00:00:00+00:00,10.125,10.25,10.125,4.167577743530273,240300,0.0,
1992-09-04 00:00:00+00:00,10.25,10.25,10.125,4.167577743530273,38800,0.0,
1992-09-08 00:00:00+00:00,10.125,10.125,10.0,4.065930843353272,39200,0.0,
1992-09-09 00:00:00+00:00,10.125,10.25,10.0,4.1167521476745605,115600,0.0,
1992-09-10 00:00:00+00:00,10.125,10.25,9.875,4.065930843353272,54000,0.0,
1992-09-11 00:00:00+00:00,10.0,10.0,9.75,4.065930843353272,16000,0.0,
1992-09-14 00:00:00+00:00,10.125,10.125,10.0,4.1167521476745605,32600,0.0,
1992-09-15 00:00:00+00:00,10.125,10.125,10.0,4.065930843353272,80100,0.0,
1992-09-16 00:00:00+00:00,9.875,10.0,9.75,3.9642813205718994,28100,0.0,
1992-09-17 00:00:00+00:00,9.875,10.125,9.75,4.1167521476745605,10700,0.0,
1992-09-18 00:00:00+00:00,10.125,10.125,9.875,4.0151047706604,3400,0.0,
1992-09-21 00:00:00+00:00,10.0,10.125,9.875,4.065930843353272,19600,0.0,
1992-09-22 00:00:00+00:00,9.875,10.125,9.875,4.1167521476745605,30900,0.0,
1992-09-23 00:00:00+00:00,10.125,10.125,10.0,4.1167521476745605,17700,0.0,
1992-09-24 00:00:00+00:00,10.125,10.125,10.0,4.065930843353272,322700,0.0,
1992-09-25 00:00:00+00:00,10.125,10.125,10.0,4.065930843353272,15000,0.0,
1992-09-28 00:00:00+00:00,10.0,10.0,9.875,4.0151047706604,28800,0.0,
1992-09-29 00:00:00+00:00,10.0,10.0,9.875,4.065930843353272,8400,0.0,
1992-09-30 00:00:00+00:00,9.875,9.875,9.75,3.9642813205718994,14600,0.0,
